variant,ts,GC,SI,HG,PL,PA
EW_1N,2025-08-11 00:00:00+00:00,0.2,0.2,0.2,0.2,0.2
INV_VOL_30D_DAILY,2025-08-11 00:00:00+00:00,0.40079655978174145,0.2585604844281644,0.08102245225455705,0.14996385183019192,0.10965665170534505
LS_MINVAR_G125_B25,2025-08-11 00:00:00+00:00,0.75,0.19272075331201166,0.023011164416729714,0.027736557068955937,0.006531525202302763
LS_MINVAR_G150_B25,2025-08-11 00:00:00+00:00,0.75,0.19272075379069797,0.023011164723252445,0.027736556006647976,0.0065315254794015756
LS_MINVAR_G200_B25,2025-08-11 00:00:00+00:00,0.75,0.19272075379069797,0.023011164723252445,0.027736556006647976,0.0065315254794015756
MINVAR_30D_SHRINK25,2025-08-11 00:00:00+00:00,0.8243425272349271,0.13256002686334314,0.020543567411915504,0.01823237352159453,0.004321504968219638
MINVAR_CAP40_SHRINK25,2025-08-11 00:00:00+00:00,0.4000000000000001,0.4000000000000001,0.04716499438092966,0.11994096380632346,0.03289404181274668
MINVAR_CAP50_SHRINK25,2025-08-11 00:00:00+00:00,0.4999999999999999,0.3950314353123606,0.03130924254592803,0.05969556058740429,0.013963761554307064
MINVAR_CAP60_SHRINK25,2025-08-11 00:00:00+00:00,0.5999999999999999,0.3141071770377753,0.027990010997486606,0.04691194986157195,0.010990862103166164
EW_1N,2025-08-12 00:00:00+00:00,0.2,0.2,0.2,0.2,0.2
INV_VOL_30D_DAILY,2025-08-12 00:00:00+00:00,0.39844000725453077,0.2584232178033765,0.08273716927520744,0.15006485521473448,0.11033475045215077
LS_MINVAR_G125_B25,2025-08-12 00:00:00+00:00,0.75,0.1908549572513803,0.02458086952609319,0.027742939955104413,0.0068212332674221785
LS_MINVAR_G150_B25,2025-08-12 00:00:00+00:00,0.75,0.19085495563078858,0.024580869658827706,0.02774294184937639,0.006821232861007319
LS_MINVAR_G200_B25,2025-08-12 00:00:00+00:00,0.75,0.19085495563078858,0.024580869658827706,0.02774294184937639,0.006821232861007319
MINVAR_30D_SHRINK25,2025-08-12 00:00:00+00:00,0.8207291086400924,0.13363337862685531,0.022098126784284973,0.018825818801182014,0.00471356714758524
MINVAR_CAP40_SHRINK25,2025-08-12 00:00:00+00:00,0.39999999999999997,0.4,0.04943905516728345,0.11765792210470248,0.032903022728014014
MINVAR_CAP50_SHRINK25,2025-08-12 00:00:00+00:00,0.4999999999999999,0.3931112303774636,0.03335637312978064,0.05926142551621713,0.014270970976538557
MINVAR_CAP60_SHRINK25,2025-08-12 00:00:00+00:00,0.6000000000000001,0.3122087341295845,0.02984617091908864,0.046654025220532226,0.011291069730794719
EW_1N,2025-08-13 00:00:00+00:00,0.2,0.2,0.2,0.2,0.2
INV_VOL_30D_DAILY,2025-08-13 00:00:00+00:00,0.3947713498186567,0.25901604792816457,0.08410028346117626,0.1500473114458945,0.11206500734610804
LS_MINVAR_G125_B25,2025-08-13 00:00:00+00:00,0.7500000000000001,0.1920021343764399,0.025990870191712246,0.025500743243749673,0.006506252188098182
LS_MINVAR_G150_B25,2025-08-13 00:00:00+00:00,0.75,0.19200213372734107,0.025990870371603043,0.02550074347308915,0.006506252427966754
LS_MINVAR_G200_B25,2025-08-13 00:00:00+00:00,0.75,0.19200213372734107,0.025990870371603043,0.02550074347308915,0.006506252427966754
MINVAR_30D_SHRINK25,2025-08-13 00:00:00+00:00,0.8164501725967422,0.13842074256391468,0.02362074594220471,0.0172591702442034,0.00424916865293486
MINVAR_CAP40_SHRINK25,2025-08-13 00:00:00+00:00,0.4,0.39999999999999997,0.0513202415469399,0.11409911716817975,0.03458064128488027
MINVAR_CAP50_SHRINK25,2025-08-13 00:00:00+00:00,0.5,0.39358757367530545,0.03490772101398966,0.05650671304290751,0.014997992267797508
MINVAR_CAP60_SHRINK25,2025-08-13 00:00:00+00:00,0.6,0.312953416950412,0.03134097664787318,0.0441042529004879,0.011601353501226883
EW_1N,2025-08-14 00:00:00+00:00,0.2,0.2,0.2,0.2,0.2
INV_VOL_30D_DAILY,2025-08-14 00:00:00+00:00,0.38983515218137477,0.26446733060129474,0.08294291925734497,0.14892878110828772,0.11382581685169789
LS_MINVAR_G125_B25,2025-08-14 00:00:00+00:00,0.75,0.19740749909153074,0.024624656673671582,0.020700603018086225,0.007267241216711523
LS_MINVAR_G150_B25,2025-08-14 00:00:00+00:00,0.75,0.19740749907696098,0.02462465645823157,0.020700603898449375,0.007267240566358155
LS_MINVAR_G200_B25,2025-08-14 00:00:00+00:00,0.75,0.19740749907696098,0.02462465645823157,0.020700603898449375,0.007267240566358155
MINVAR_30D_SHRINK25,2025-08-14 00:00:00+00:00,0.8005902152671447,0.15592950745349135,0.023027330892065066,0.015020815093939096,0.0054321312933597885
MINVAR_CAP40_SHRINK25,2025-08-14 00:00:00+00:00,0.4,0.4000000000000001,0.04991301219339452,0.11062398234968733,0.039463005456918054
MINVAR_CAP50_SHRINK25,2025-08-14 00:00:00+00:00,0.4999999999999999,0.40237798679146397,0.032518078737122286,0.04876825050203108,0.01633568396938258
MINVAR_CAP60_SHRINK25,2025-08-14 00:00:00+00:00,0.6,0.3203897829457206,0.029360708580797864,0.03754120319829883,0.012708305275182689
EW_1N,2025-08-15 00:00:00+00:00,0.2,0.2,0.2,0.2,0.2
INV_VOL_30D_DAILY,2025-08-15 00:00:00+00:00,0.3880264247404491,0.264723758578178,0.08291510110144867,0.14933216445092945,0.11500255112899485
LS_MINVAR_G125_B25,2025-08-15 00:00:00+00:00,0.75,0.19616049149816997,0.024953806337510792,0.02140135858216121,0.0074843435821580736
LS_MINVAR_G150_B25,2025-08-15 00:00:00+00:00,0.75,0.19616049145432343,0.024953806673880384,0.021401357973886113,0.00748434389791014
LS_MINVAR_G200_B25,2025-08-15 00:00:00+00:00,0.75,0.19616049145432343,0.024953806673880384,0.021401357973886113,0.00748434389791014
MINVAR_30D_SHRINK25,2025-08-15 00:00:00+00:00,0.7990667300312195,0.15593322901594514,0.023442953824162907,0.015849654748111553,0.005707432380560822
MINVAR_CAP40_SHRINK25,2025-08-15 00:00:00+00:00,0.4000000000000001,0.4000000000000001,0.049607384624566604,0.11047660598900733,0.03991600938642593
MINVAR_CAP50_SHRINK25,2025-08-15 00:00:00+00:00,0.5,0.4011227982720811,0.0326518043373488,0.049687667934666106,0.01653772945590404
MINVAR_CAP60_SHRINK25,2025-08-15 00:00:00+00:00,0.6000000000000001,0.3191378956155466,0.029572608065490696,0.03837313236730356,0.01291636395165913
EW_1N,2025-08-16 00:00:00+00:00,0.2,0.2,0.2,0.2,0.2
INV_VOL_30D_DAILY,2025-08-16 00:00:00+00:00,0.39437597007348457,0.26313885024641964,0.08135220493971854,0.14681068366510933,0.1143222910752679
LS_MINVAR_G125_B25,2025-08-16 00:00:00+00:00,0.7500000000000001,0.1984642161451467,0.024015713604768566,0.020515843982585033,0.007004226267499758
LS_MINVAR_G150_B25,2025-08-16 00:00:00+00:00,0.7500000000000001,0.19846421300996409,0.024015713927907238,0.020515845680252782,0.007004227381875768
LS_MINVAR_G200_B25,2025-08-16 00:00:00+00:00,0.7500000000000001,0.19846421300996409,0.024015713927907238,0.020515845680252782,0.007004227381875768
MINVAR_30D_SHRINK25,2025-08-16 00:00:00+00:00,0.8152534591292606,0.1446313329056017,0.022045058606830484,0.013333414468127462,0.004736734890179836
MINVAR_CAP40_SHRINK25,2025-08-16 00:00:00+00:00,0.39999999999999986,0.3999999999999999,0.048987121396204716,0.11034493311440115,0.04066794548939417
MINVAR_CAP50_SHRINK25,2025-08-16 00:00:00+00:00,0.5,0.4047102955738969,0.031565727328502574,0.04803274068806465,0.015691236409535837
MINVAR_CAP60_SHRINK25,2025-08-16 00:00:00+00:00,0.5999999999999999,0.32221192855031533,0.028545721075645254,0.03702593177759615,0.012216418596443315
EW_1N,2025-08-17 00:00:00+00:00,0.2,0.2,0.2,0.2,0.2
INV_VOL_30D_DAILY,2025-08-17 00:00:00+00:00,0.3938689343390734,0.2637504201670171,0.0801816671569066,0.14707850031163905,0.11512047802536368
LS_MINVAR_G125_B25,2025-08-17 00:00:00+00:00,0.75,0.1992010729086668,0.023202219127689848,0.019794523663738555,0.007802184299904852
LS_MINVAR_G150_B25,2025-08-17 00:00:00+00:00,0.75,0.19920107318507005,0.023202218884586956,0.019794524192477583,0.007802183737865433
LS_MINVAR_G200_B25,2025-08-17 00:00:00+00:00,0.75,0.19920107318507005,0.023202218884586956,0.019794524192477583,0.007802183737865433
MINVAR_30D_SHRINK25,2025-08-17 00:00:00+00:00,0.8136538317528422,0.14664392900286366,0.021401213543246218,0.01279086990392403,0.005510155797123794
MINVAR_CAP40_SHRINK25,2025-08-17 00:00:00+00:00,0.4,0.4,0.047226175154268836,0.11036885887089033,0.042404965974840794
MINVAR_CAP50_SHRINK25,2025-08-17 00:00:00+00:00,0.5000000000000001,0.40561939557986093,0.030275581421737138,0.04730116453000392,0.016803858468398065
MINVAR_CAP60_SHRINK25,2025-08-17 00:00:00+00:00,0.6000000000000001,0.3230520674325659,0.02744623607715462,0.03629850806706265,0.0132031884232168
EW_1N,2025-08-18 00:00:00+00:00,0.2,0.2,0.2,0.2,0.2
INV_VOL_30D_DAILY,2025-08-18 00:00:00+00:00,0.3906652572389974,0.2640780015412667,0.0791665415019893,0.1485151224128122,0.11757507730493441
LS_MINVAR_G125_B25,2025-08-18 00:00:00+00:00,0.7499999999999999,0.19814354013409843,0.022438538861993075,0.02030385374324525,0.009114067260663217
LS_MINVAR_G150_B25,2025-08-18 00:00:00+00:00,0.75,0.19814353850402772,0.022438538823898155,0.02030385569480472,0.009114066977269426
LS_MINVAR_G200_B25,2025-08-18 00:00:00+00:00,0.75,0.19814353850402772,0.022438538823898155,0.02030385569480472,0.009114066977269426
MINVAR_30D_SHRINK25,2025-08-18 00:00:00+00:00,0.8078606805081573,0.1505682361748341,0.020898289530437337,0.013849980439469627,0.006822813347101746
