variant,root,mean_weight,median_weight,min_weight,p10_weight,p90_weight,max_weight
BLEND_MINVAR_FVD20_T2P5_10,PA,0.02150615844576582,0.007496000053067029,-0.05000000000000002,-0.010304988928414315,0.08108160293237272,0.16996761379528125
BLEND_MINVAR_FVD20_T2P5_20,GC,0.7329660545337044,0.7525041947269777,0.1777865726231728,0.5464411800945996,0.9010589652832625,1.0785652495286675
BLEND_MINVAR_FVD20_T2P5_20,SI,0.006085261744348297,1.908785758689634e-18,-0.10000000000000003,-0.025,0.05462987590187543,0.26313357160378326
BLEND_MINVAR_FVD20_T2P5_20,HG,0.2158092051748696,0.18556241755159286,-0.09079706763778292,0.057409384524572046,0.39879334824331913,0.7448542932899653
BLEND_MINVAR_FVD20_T2P5_20,PL,0.0233577147995789,0.000805222837585754,-0.10000000000000003,-0.025,0.1,0.3696379073523171
BLEND_MINVAR_FVD20_T2P5_20,PA,0.0217817637474989,0.00634820369284593,-0.10000000000000003,-0.02499999999999987,0.0974502845815373,0.21996761379528124
BLEND_MINVAR_FVD60_T2P5_10,GC,0.7330410092435312,0.7503948644521378,0.26854716689071845,0.5448858796123208,0.8977461535783264,0.9848561275122112
BLEND_MINVAR_FVD60_T2P5_10,SI,0.006270689539724273,1.6597861773806887e-18,-0.05000000000000002,-0.0125,0.044116258243367394,0.1653361880091208
BLEND_MINVAR_FVD60_T2P5_10,HG,0.21513856992373526,0.18390814488396506,0.008398289530437336,0.06857854709017375,0.400457287735511,0.7205148534426412
BLEND_MINVAR_FVD60_T2P5_10,PL,0.024037635209564832,0.0015996096365055185,-0.05000000000000002,-0.012499999999999999,0.08067766851480467,0.35269870556885824
BLEND_MINVAR_FVD60_T2P5_10,PA,0.021512096083444558,0.008382502789579003,-0.05000000000000002,-0.006754578250298898,0.07916587789897031,0.16548366237595918
BLEND_MINVAR_FVD60_T2P5_20,GC,0.7343548893545788,0.7519423822011594,0.21854716689071846,0.5435081970292669,0.9010667748992055,1.0086386910374894
BLEND_MINVAR_FVD60_T2P5_20,SI,0.006796865482586072,1.177112850696365e-18,-0.10000000000000003,-0.025,0.056450231668458375,0.1653361880091208
BLEND_MINVAR_FVD60_T2P5_20,HG,0.21440696334600426,0.18289610274533286,-0.009393947846293493,0.05301154781980907,0.4156002194591039,0.7330148534426413
BLEND_MINVAR_FVD60_T2P5_20,PL,0.022647642793974507,0.0004097778262219451,-0.10000000000000003,-0.025,0.09087982892490604,0.35903590061496043
BLEND_MINVAR_FVD60_T2P5_20,PA,0.02179363902285637,0.0068411599282165066,-0.10000000000000003,-0.024572986579412277,0.09716247678310518,0.21001977602992133
BLEND_MINVAR_FVD20_RANK_10,GC,0.7323512830837825,0.7473593722825397,0.23603189071707917,0.5522410311699142,0.8998654106214232,1.0348561275122112
BLEND_MINVAR_FVD20_RANK_10,SI,0.007666719520396651,0.005471215758249912,-0.05000000000000002,-0.028992537597622773,0.03988502987283384,0.21146057778251945
BLEND_MINVAR_FVD20_RANK_10,HG,0.2161119225969483,0.18779509795418073,-0.028370578451231133,0.061499308921194956,0.401319359088446,0.7193157795384982
BLEND_MINVAR_FVD20_RANK_10,PL,0.021422755285795687,0.007901095904774927,-0.05000000000000002,-0.03208252843960935,0.08980662755310101,0.35211848097786225
BLEND_MINVAR_FVD20_RANK_10,PA,0.022447319513076807,0.016143692555266664,-0.05000000000000002,-0.02215415507756542,0.07846052178204849,0.18402661286431704
BLEND_MINVAR_FVD20_RANK_20,GC,0.7329754370350817,0.745698771590153,0.19076685938482368,0.5451087048945492,0.9100442400085919,1.0848561275122113
BLEND_MINVAR_FVD20_RANK_20,SI,0.009588925443930826,0.010160673016633863,-0.10000000000000003,-0.05798507519524557,0.07452373000275621,0.2597875839612557
BLEND_MINVAR_FVD20_RANK_20,HG,0.21635366869243033,0.19441282933328946,-0.07837057845123112,0.052960828244699,0.42014230885273834,0.7398872496293893
BLEND_MINVAR_FVD20_RANK_20,PL,0.017417882946436206,0.006509781390265985,-0.10000000000000003,-0.06700005837862752,0.11192117106446652,0.37021100212561864
BLEND_MINVAR_FVD20_RANK_20,PA,0.02366408588212087,0.024675569036878557,-0.10000000000000003,-0.04652083603148949,0.09308282868669526,0.22598967211971463
