strategy,split,cost_bps,nobs,years,active_fraction,cum_log_return,gross_cum_log_return,cost_cum_log_return,cagr,annual_log_return,annual_vol,sharpe,period_tstat,max_drawdown,hit_rate_active,mean_active_return_bp,annual_turnover
hf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state,2023_2024,1.0,141891,1.9957696402768272,0.04465399496796837,0.011920989116669833,0.028836108878488427,0.016915119761818594,0.005991003505498602,0.005973128800083515,0.023087210206605927,0.258720250157138,0.36549852477716577,-0.042847884405037506,0.501104797979798,0.03159878332807739,84.75487060456709
hf_event_252D_pure_exhaust_30m_flip5_hold_state,2023_2024,1.0,141891,1.9957696402768272,0.06723470833245238,0.0039245772998862775,0.009734670984201305,0.00581009368431502,0.0019683827681604127,0.001966448041238823,0.021738404703662013,0.09045962976793595,0.12779386697403045,-0.03756666287406074,0.4319706498951782,0.006944001362564252,29.112045634230203
hf_event_252D_pure_exhaust_60m_confirm15_hold_state,2023_2024,1.0,141891,1.9957696402768272,0.06664975227463335,0.0013131540297954738,0.006922711327886612,0.0056095572980911345,0.0006581852460323217,0.0006579687371200466,0.02155266361155244,0.030528418620488693,0.0431280194062557,-0.03847755268247233,0.4306862641429629,0.004137838669552167,28.107238354988944
hf_event_252D_pure_state_hold,2023_2024,1.0,141891,1.9957696402768272,0.06791128401378523,0.00017588734326746524,0.005986456151017695,0.005810568807750225,8.813396617948453e-05,8.813008260966853e-05,0.021909064663906158,0.004022539709550333,0.005682710683857354,-0.03811479388765815,0.43202573682025736,0.0029845240175046433,29.114426286914842
hf_event_60D_agree_120D_state_hold,2023_2024,1.0,141891,1.9957696402768272,0.21438991902234814,-0.003319583144720242,0.017835818840219494,0.021155401984939745,-0.0016619272386276358,-0.0016633097716927854,0.038179065602226565,-0.0435660157066752,-0.06154645591729806,-0.04658338012808161,0.5016436554898094,0.0017441080357427886,106.00122157387537
hf_event_120D_agree_60D_carry_state_hold,2023_2024,1.0,141891,1.9957696402768272,0.03188362898281075,-0.0015552666493871977,0.007302733355274908,0.008858000004662105,-0.0007789780844535208,-0.0007792816455367421,0.015030379960438177,-0.051847102174922256,-0.07324528848203976,-0.020515602154622448,0.5053050397877984,0.005624963197641035,44.38387991228005
hf_event_120D_carry_tailwind_state_hold,2023_2024,1.0,141891,1.9957696402768272,0.03205277290314396,-0.0017232234756084782,0.007534776529053627,0.009258000004662106,-0.0008630654092271853,-0.0008634380646102298,0.01521278395636412,-0.05675740003190007,-0.08018215029263182,-0.020515602154622448,0.5057167985927881,0.005665735541757967,46.388119238941606
hf_event_60D_agree_120D_exhaust_30m_flip5_hold_state,2023_2024,1.0,141891,1.9957696402768272,0.21197257049425264,-0.008385675222895956,0.01270850232014106,0.021094177543037003,-0.00419291011927665,-0.004201725015584867,0.037955828340547317,-0.11070039040871789,-0.15638833590361848,-0.04865704855455566,0.5014130398643482,0.00013775468866710392,105.69445048833938
hf_event_60D_agree_120D_exhaust_60m_confirm15_hold_state,2023_2024,1.0,141891,1.9957696402768272,0.20886455095812984,-0.012615007759049366,0.006916010844797971,0.01953101860384733,-0.006300938965951706,-0.006320873664206845,0.03756037533802679,-0.16828568956837556,-0.23774007346155293,-0.04810250473455291,0.5004723984343367,-0.001523487568851857,97.86208893897314
hf_event_60D_pure_state_hold,2023_2024,1.0,141891,1.9957696402768272,0.22690656912700594,-0.018261917538715852,0.0002865301929120944,0.018548447731627955,-0.00910857660919966,-0.00915031332783617,0.04003803791685444,-0.22854050307955395,-0.32286307962625355,-0.06115630757759627,0.5018946452975525,-0.0030941475769399487,92.9388209806376
