strategy,split,cost_bps,nobs,years,active_fraction,cum_log_return,gross_cum_log_return,cost_cum_log_return,cagr,annual_log_return,annual_vol,sharpe,period_tstat,max_drawdown,hit_rate_active,mean_active_return_bp,annual_turnover
hf_event_60D_pure_exhaust_60m_confirm15_hold_state,full,0.25,704270,9.944558521560575,0.15572578698510514,0.09390580643319581,0.11046757784758063,0.016561771414384825,0.009487658829794701,0.009442933663631295,0.03764637069566127,0.25083251025628317,0.7910001728112945,-0.08555664151112341,0.5020378762320717,0.009227960066123456,66.6164169217874
hf_event_252D_pure_state_hold,full,0.25,704270,9.944558521560575,0.09293026822099479,0.04472514678023711,0.053642756377889365,0.008917609597652289,0.004507577904726017,0.00449744920131643,0.04092568014579537,0.10989308388509433,0.3465477750673601,-0.09218305136239002,0.48520963207431855,0.007471602918383618,35.8693031101108
hf_event_252D_pure_exhaust_30m_flip5_hold_state,full,0.25,704270,9.944558521560575,0.09219191503258693,0.03755675224207743,0.04627414736195143,0.008717395119874044,0.0037837537169525524,0.0037766133268411542,0.04078164642019077,0.09260571012580242,0.29203205213701944,-0.09912564442461569,0.4849987678659438,0.0064119874695166045,35.06398037066826
hf_event_252D_pure_exhaust_60m_confirm15_hold_state,full,0.25,704270,9.944558521560575,0.09121359705794653,0.03129882597699101,0.03941276390438897,0.008113937927397985,0.0031522899200356414,0.0031473318709053523,0.04054389063247887,0.07762777133144914,0.24479913100336967,-0.10178574256236639,0.4847678201715469,0.005459896009743459,32.636694368307396
hf_event_120D_agree_60D_carry_state_hold,full,0.25,704270,9.944558521560575,0.05997699745836114,0.020789027099641186,0.04247443954708664,0.02168541244744547,0.002092679313932333,0.0020904927106184714,0.032096566510818374,0.06513135010605749,0.20539167405646888,-0.08837165357704835,0.49976325757575757,0.0069625712527550355,87.22523941280978
hf_event_120D_carry_tailwind_state_hold,full,0.25,704270,9.944558521560575,0.07897539296008634,0.02149704111071841,0.04665209542266917,0.02515505431195078,0.0021640269673332663,0.0021616888335576844,0.0345390038230211,0.06258689001669658,0.19736772066884975,-0.07412221716046885,0.4999640417116145,0.005679132639479245,101.18118067247597
hf_event_120D_agree_60D_carry_exhaust_30m_flip5_hold_state,full,0.25,704270,9.944558521560575,0.057963565109972026,-0.023948240726434346,-0.003049483211619991,0.02089875751481439,-0.0024052780247933382,-0.002408175352833683,0.0313261797729537,-0.07687421097266531,-0.2424227788574188,-0.09818149752334415,0.4981382587820293,-0.0038022756517974736,84.06107709861331
hf_event_120D_carry_tailwind_exhaust_30m_flip5_hold_state,full,0.25,704270,9.944558521560575,0.07648913058912064,-0.04244534312986388,-0.01833479503152,0.0241105480983439,-0.004259102021936954,-0.004268197832798619,0.033650845918735475,-0.12683775745507345,-0.39998279315329305,-0.08236969600445943,0.49863557890437915,-0.0060598399950244405,96.97986309224432
hf_event_120D_agree_60D_carry_exhaust_60m_confirm15_hold_state,full,0.25,704270,9.944558521560575,0.055982790691070185,-0.04918523924452523,-0.029665264163946572,0.019519975080578664,-0.004933733928788885,-0.00494594497461982,0.03116834554589243,-0.15868487364327327,-0.500412655226072,-0.09849648710705305,0.4971466254089837,-0.010467938850506111,78.51520020022141
hf_event_120D_carry_tailwind_exhaust_60m_confirm15_hold_state,full,0.25,704270,9.944558521560575,0.07433086742300538,-0.07244462390933212,-0.050043919506609906,0.022400704402722217,-0.0072583804715830825,-0.0072848506801248695,0.033381345889555124,-0.21823118529215046,-0.6881919138094685,-0.09698558415673064,0.4977936541290187,-0.012093130178360108,90.10235840698509
hf_event_20D_agree_60D_carry_confirm_30m_momo_exit,full,0.25,704270,9.944558521560575,0.029715876013460745,-0.31306433130931716,-0.09741126912870364,0.2156530621806135,-0.030990601799722847,-0.03148096827330941,0.02319995155442869,-1.3569411211679852,-4.2791130234352925,-0.28020673049268896,0.4791188837920489,-0.09993204793681543,867.4213609907807
hf_event_252D_pure_confirm_30m_momo_exit,full,0.25,704270,9.944558521560575,0.04159626279693868,-0.6631846729590644,-0.3715652637742412,0.2916194091848232,-0.06451315607678938,-0.0666881965168417,0.02822185620781505,-2.36299823887469,-7.451713549383673,-0.48708149498928277,0.47120669056152925,-0.17664607371874527,1172.9808158001972
hf_event_120D_agree_60D_carry_confirm_30m_momo_exit,full,0.25,704270,9.944558521560575,0.02882985218737132,-0.4901059448459937,-0.2843646659749627,0.205741278871031,-0.04808909078933574,-0.0492838313318189,0.019963795848879237,-2.468660354217441,-7.784918967653928,-0.391194512590457,0.47118794326241137,-0.1945920031770182,827.5531927333642
hf_event_120D_carry_tailwind_confirm_30m_momo_exit,full,0.25,704270,9.944558521560575,0.03760489584960314,-0.5833503364143766,-0.3167082393457332,0.2666420970686434,-0.05697289629843519,-0.05866025476642606,0.021986277865867893,-2.6680393618372245,-8.413660550318221,-0.44443993822784444,0.4716054976589639,-0.17329104645402887,1072.5145676021418
hf_event_60D_pure_confirm_30m_momo_exit,full,0.25,704270,9.944558521560575,0.07433654706291622,-0.9380473878763905,-0.43463966506847457,0.5034077228079159,-0.09001549358420555,-0.09432770553289328,0.02733335081758655,-3.4510114095561932,-10.88276243993902,-0.6114704159502136,0.4750635111645942,-0.13311308202958458,2024.8569977902544
hf_event_60D_agree_120D_confirm_30m_momo_exit,full,0.25,704270,9.944558521560575,0.07355559657517713,-1.0551740896504822,-0.541537576852722,0.5136365127977605,-0.10067039316269538,-0.1061056745116219,0.028400857995114694,-3.736002430978438,-11.781481457519064,-0.6529905783266616,0.4731193174140494,-0.15914849198931277,2066.000262089691
hf_event_20D_agree_60D_carry_state_hold,full,0.5,704270,9.944558521560575,0.061254916438297814,0.34421351260955657,0.40648685385669825,0.0622733412471417,0.03521926264694444,0.03461325224878258,0.03241776389790948,1.0677248547366551,3.367069698216891,-0.04692156301963524,0.5082985628187298,0.08653792631562535,125.24103732132151
