strategy,root,side,event_count,hit_rate,mean_trade_return_bp,median_trade_return_bp,p10_trade_return_bp,p90_trade_return_bp,mean_duration_hours,median_duration_hours,trade_tstat
hf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state,HG,long_cheap,209,0.5358851674641149,4.092567507790562,1.6343968496626942,-31.466073130834026,35.57690997775468,8.600079744816586,1.9166666666666667,1.4766504451309022
hf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state,PA,long_cheap,165,0.6303030303030303,8.715390752244232,6.13953500295734,-24.10729388177693,51.83203789665321,10.426767676767676,1.9166666666666667,2.9552755090516305
hf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state,HG,short_rich,123,0.6016260162601627,9.405074155048384,3.080816279410249,-23.08144456310679,45.99553536533952,15.015582655826558,2.8333333333333335,2.809109090658167
hf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state,SI,short_rich,111,0.5405405405405406,2.704954068925982,0.5178048570689872,-14.593169202228372,18.472725481746597,3.7950450450450446,1.0,1.4816701955403608
hf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state,HG,long_cheap,189,0.5555555555555556,3.529905588366812,2.4208810550489637,-31.812794174321677,37.617314168302954,9.238095238095237,1.9166666666666667,1.2123537834386064
hf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state,PA,long_cheap,155,0.6258064516129033,7.713615694992586,4.2195846034421844,-23.280400679612164,45.47844634992743,10.770430107526881,1.75,2.5697490677600583
hf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state,HG,short_rich,115,0.6,9.075695363975939,3.5086314429551617,-21.857731765272977,48.55535764150024,15.692028985507246,3.0,2.730191800916601
hf_event_20D_agree_60D_carry_state_hold,SI,short_rich,141,0.5886524822695035,2.267800504689802,2.135890946607551,-13.059857582435558,17.405404494124586,3.6595744680851063,1.0,1.2001353814242224
hf_event_20D_agree_60D_carry_state_hold,HG,long_cheap,216,0.5694444444444444,5.592333178426104,3.8631386802706578,-32.208052028682715,44.5521967709558,8.625,2.0,2.0783555792754655
hf_event_20D_agree_60D_carry_state_hold,HG,short_rich,126,0.5952380952380952,9.153660268750171,3.3829509759153984,-25.539006137956882,43.35127906849798,14.929894179894179,3.0,2.7953353185880903
hf_event_20D_agree_60D_carry_state_hold,PA,long_cheap,171,0.6783625730994152,10.425578699344014,8.085440506810643,-25.320309017817568,53.507316129458694,10.364522417153998,2.0,3.5996589215248735
hf_event_252D_pure_confirm_30m_momo_exit,HG,long_cheap,5829,0.30811459941670954,-0.6374425523661712,-1.7871270654629146,-8.520680298882006,8.146005876942008,0.5845342254246011,0.3333333333333333,-4.805902700806994
hf_event_252D_pure_exhaust_30m_flip5_hold_state,HG,long_cheap,163,0.50920245398773,2.838904746131993,0.0063705445493638345,-46.75999993382738,56.63424972019463,49.45245398773006,3.5,0.4434430034750321
hf_event_252D_pure_exhaust_60m_confirm15_hold_state,HG,long_cheap,151,0.5695364238410596,2.6101168148602025,1.8257863398851846,-53.5664387164806,55.85134626759058,52.34657836644592,4.0,0.3788957644745087
hf_event_252D_pure_state_hold,HG,long_cheap,167,0.5508982035928144,3.2121411004724214,1.7901587665692362,-48.92635160772972,58.282189897152534,48.539421157684636,3.0,0.510771465929688
hf_event_60D_agree_120D_confirm_30m_momo_exit,PL,long_cheap,2797,0.28494815874150875,-1.3251288431929296,-2.0542180322370247,-8.944497828486297,6.060141765202054,0.5195447503277321,0.25,-6.728882146387815
hf_event_60D_agree_120D_confirm_30m_momo_exit,GC,short_rich,3082,0.31440622972096044,-0.5221116134157151,-1.2613867009639042,-5.474929842231819,5.4742765929060155,0.6282176076141034,0.3333333333333333,-4.60671275219605
hf_event_60D_agree_120D_confirm_30m_momo_exit,SI,short_rich,2578,0.3060512024825446,-0.3888588578124488,-1.1793457257986026,-5.326279368317292,5.335617740742974,0.6071243858288079,0.3333333333333333,-2.6978240923786756
hf_event_60D_agree_120D_confirm_30m_momo_exit,HG,short_rich,2899,0.33149361848913417,-0.14406119928380087,-1.6749663119109048,-7.780602403201274,8.299673599236282,0.6500804875244338,0.3333333333333333,-0.8103495636313405
hf_event_60D_agree_120D_exhaust_30m_flip5_hold_state,GC,short_rich,130,0.5384615384615384,-3.65272240005909,1.5943689520601285,-39.061983972575824,24.856375147773864,35.114102564102566,3.9166666666666665,-0.9058050863359406
hf_event_60D_agree_120D_exhaust_30m_flip5_hold_state,PL,long_cheap,104,0.5192307692307693,1.7405948905173902,0.4603388217125065,-37.845862468705285,31.687529346106686,32.94871794871795,3.2916666666666665,0.3646900743825355
hf_event_60D_agree_120D_exhaust_30m_flip5_hold_state,SI,short_rich,75,0.68,9.025962281802368,3.3363959008308184,-22.479413524313347,57.542008012800416,48.76333333333334,2.9166666666666665,1.1337250373168668
hf_event_60D_agree_120D_exhaust_30m_flip5_hold_state,HG,short_rich,96,0.6770833333333334,15.237577048313014,7.515312235100303,-34.12915696879352,47.940482607125844,40.09809027777778,4.916666666666667,1.7515270373592682
hf_event_60D_agree_120D_exhaust_60m_confirm15_hold_state,GC,short_rich,126,0.5714285714285714,-4.698426444571047,1.1795929357336374,-35.18864802070844,27.224522608342113,34.73743386243386,3.791666666666667,-1.1685562935794982
