root,asset,asset_class,horizon_vol_bars,horizon,beta_bps_per_full_ofi_high,beta_bps_per_full_ofi_low,beta_bps_per_full_ofi_spread,corr_high,corr_low,corr_spread,hit_rate_high,hit_rate_low,hit_rate_spread,n_high,n_low,n_spread,nw_tstat_high,nw_tstat_low,nw_tstat_spread,r2_high,r2_low,r2_spread,abs_corr_high_minus_low
6J,Japanese Yen,FX,0,same_vol_bar,13.698999810354664,10.04528511260228,1.5007048314537925,0.33778153654518644,0.2557383231128717,0.05219772718801598,0.584,0.616,0.48412698412698413,125,125,126,3.8379233156254786,2.815485052715362,0.6568077758227674,0.11409636643082699,0.06540208990858354,0.002724602723594538,0.08204321343231474
6J,Japanese Yen,FX,1,next_1_vol_bar,-2.7392754738185565,-1.6933762497502824,-0.4712488117232998,-0.06755429838725263,-0.043142977334394324,-0.016388219731064666,0.49193548387096775,0.49193548387096775,0.448,124,124,125,-0.6273978028251278,-0.5422948700956391,-0.1935875158586588,0.004563583230594137,0.0018613164932759219,0.0002685737459536819,0.024411321052858308
6J,Japanese Yen,FX,3,next_3_vol_bars,-5.3957115574538586,2.7381352922587374,-4.2125751251341255,-0.0887910574819736,0.0460044125224168,-0.09635458671554581,0.47540983606557374,0.48360655737704916,0.4878048780487805,122,122,123,-1.1267462926469316,0.45318221356275995,-0.9696597086916185,0.007883851888767168,0.00211640597153262,0.009284206381123816,0.04278664495955681
6J,Japanese Yen,FX,6,next_6_vol_bars,-0.3996818645331671,13.445081721886563,-7.447369590261376,-0.004568187133086962,0.15500648670776535,-0.11645905194961552,0.46218487394957986,0.4957983193277311,0.4583333333333333,119,119,120,-0.06668776101836875,1.4240626608048517,-1.167231309091946,2.0868333682866336e-05,0.024027010921484515,0.01356271078100324,-0.15043829957467839
6J,Japanese Yen,FX,12,next_12_vol_bars,-6.613566015541623,21.04537411786382,-14.528996595946767,-0.050947625027812964,0.16071406014111464,-0.15279206976545337,0.4778761061946903,0.4690265486725664,0.49122807017543857,113,113,114,-0.7889982494006536,1.2734637613695037,-1.422832513775066,0.0025956604959744833,0.02582900912704178,0.023345416583210987,-0.10976643511330167
6L,Brazilian Real,FX,0,same_vol_bar,24.73957705115326,30.747179032303038,12.729363355019373,0.3741119803710223,0.2979085672974953,0.18919751849492203,0.6102941176470589,0.5227272727272727,0.5661764705882353,136,132,136,4.899058087886059,4.790056560166174,2.3885437118201005,0.139959773857128,0.08874951446924617,0.03579570100463636,0.07620341307352696
6L,Brazilian Real,FX,1,next_1_vol_bar,-1.1131933729428656,-15.926977105322775,5.412085756570178,-0.01684215176569948,-0.15452028836204432,0.0804286779516465,0.5037037037037037,0.45038167938931295,0.5037037037037037,135,131,135,-0.2601452117293317,-1.69810804276553,1.0312494988947867,0.0002836580760988694,0.023876519515489303,0.00646877223704978,-0.13767813659634484
6L,Brazilian Real,FX,3,next_3_vol_bars,6.107362793956211,0.06851594039827093,6.242896938550574,0.05822637295184307,0.00041605077653662266,0.05857582541395023,0.46616541353383456,0.5038759689922481,0.5037593984962406,133,129,133,0.7741128814468012,0.0036836180942377496,0.9687041206212983,0.0033903105071273476,1.7309824873468216e-07,0.003431127322925609,0.05781032217530645
6L,Brazilian Real,FX,6,next_6_vol_bars,27.653413090232263,10.816712760375507,24.42032979202189,0.17282918376355,0.043559738994798106,0.1488685513447347,0.6153846153846154,0.5714285714285714,0.6,130,126,130,1.9080049054112842,0.3984773820468139,2.210296145445914,0.02986992676037481,0.0018974508612948915,0.022161845579479866,0.1292694447687519
6L,Brazilian Real,FX,12,next_12_vol_bars,33.512950947888555,21.48835092155292,25.179387381685302,0.1308676972264852,0.054291585760572685,0.09746397430365031,0.6048387096774194,0.525,0.5967741935483871,124,120,124,1.2687580388290562,0.5267962441930784,1.210860690825297,0.017126354177362857,0.0029475762843976794,0.009499226287062346,0.0765761114659125
