root,asset,asset_class,feature,horizon_vol_bars,horizon,n,beta_bps_per_full_ofi,nw_tstat,r2,corr,hit_rate
NQ,E-mini Nasdaq-100,Equity,spread,12,next_12_vol_bars,167,113.43012226703087,0.4337783183615129,0.00158434485331993,0.039803829631332666,0.49101796407185627
YM,E-mini Dow,Equity,low,0,same_vol_bar,156,76.34472621492122,1.51134588114439,0.010311262423131184,0.1015443864678462,0.5384615384615384
YM,E-mini Dow,Equity,high,0,same_vol_bar,153,161.9384099090532,5.9007741237464595,0.14525373121923302,0.38112167508452366,0.673202614379085
YM,E-mini Dow,Equity,spread,0,same_vol_bar,156,125.7262219044596,4.867251680541383,0.0943778095890726,0.307209715974402,0.6666666666666666
YM,E-mini Dow,Equity,low,1,next_1_vol_bar,156,-75.42282166571434,-1.4540954661599284,0.010035246378409912,-0.10017607687671705,0.44871794871794873
YM,E-mini Dow,Equity,high,1,next_1_vol_bar,153,14.313095090806687,0.46728733036958603,0.001124710261726447,0.03353670022119887,0.46405228758169936
YM,E-mini Dow,Equity,spread,1,next_1_vol_bar,156,34.963124215264976,1.204229754094799,0.007277921407055854,0.08531073441868875,0.46153846153846156
YM,E-mini Dow,Equity,low,3,next_3_vol_bars,156,-70.16477407904199,-0.7731989833973772,0.0032941677197405594,-0.05739484053240891,0.46794871794871795
YM,E-mini Dow,Equity,high,3,next_3_vol_bars,153,-31.912270656491764,-0.7028848149818704,0.0022008710220104977,-0.04691344180520481,0.5032679738562091
YM,E-mini Dow,Equity,spread,3,next_3_vol_bars,156,-7.349991649747246,-0.17289013485315677,0.0001219959866101128,-0.01104517933807064,0.4935897435897436
YM,E-mini Dow,Equity,low,6,next_6_vol_bars,156,132.96129309041336,0.7536866171452681,0.00588744576661937,0.07672969286149427,0.5
YM,E-mini Dow,Equity,high,6,next_6_vol_bars,153,-26.33476846694832,-0.3427128798239305,0.00072370375532671,-0.026901742607620353,0.49673202614379086
YM,E-mini Dow,Equity,spread,6,next_6_vol_bars,156,-61.96734526918262,-0.7333236563610847,0.0043158530484080915,-0.06569515239656677,0.47435897435897434
YM,E-mini Dow,Equity,low,12,next_12_vol_bars,156,578.1348252044642,2.1144329363566503,0.05380395760671508,0.23195680116503378,0.532051282051282
YM,E-mini Dow,Equity,high,12,next_12_vol_bars,153,9.010714060430395,0.07027160329866827,4.100116391037023e-05,0.006403215122927935,0.49673202614379086
YM,E-mini Dow,Equity,spread,12,next_12_vol_bars,156,-162.0074664718387,-1.0789313783458918,0.01425904463476757,-0.11941124165993582,0.4551282051282051
RTY,E-mini Russell 2000,Equity,low,0,same_vol_bar,168,110.5766036493411,1.4576463409158091,0.013234666354078106,0.11504201994957314,0.5416666666666666
RTY,E-mini Russell 2000,Equity,high,0,same_vol_bar,168,145.37359505988152,6.877064751625639,0.1830965184713922,0.4278977897481971,0.625
