,kmeans_3,dbscan,spectral_3
30095,0,-1,0
30141,0,0,0
30187,0,0,2
30234,0,0,0
30280,0,0,0
30326,0,0,0
30373,0,0,0
30419,0,0,2
30465,2,0,1
30512,0,0,0
30558,0,0,2
30604,2,0,1
30650,0,0,0
30697,0,0,2
30743,2,0,1
30789,0,0,2
30836,0,0,2
30882,0,0,2
30928,0,0,0
30975,0,0,2
31021,0,0,0
31067,0,0,2
31113,0,0,0
31160,0,0,0
31206,0,0,2
31252,0,0,0
31299,0,0,2
31345,0,0,0
31391,0,0,0
31438,0,0,2
31484,0,0,0
31530,0,0,2
31576,0,0,2
31623,0,0,2
31669,0,0,2
31715,0,0,2
31762,0,0,0
31808,0,0,0
31854,0,0,0
31901,1,-1,0
31947,0,0,2
31993,0,0,0
32039,0,0,0
32086,0,0,0
32132,1,-1,0
32178,0,0,0
32225,0,0,0
32271,0,0,0
32317,0,0,0
32364,0,0,0
32410,0,0,0
32456,0,0,0
32502,2,0,0
32549,2,0,1
32595,0,0,0
32641,0,0,0
32688,0,0,0
32734,0,0,0
32780,0,0,0
32827,0,0,0
32873,0,0,0
32919,0,-1,0
32965,0,0,0
33012,0,0,0
33058,0,0,0
33104,0,0,0
33151,0,0,2
33197,0,0,0
33243,0,0,2
33289,0,0,2
33336,0,0,2
33382,0,0,0
33428,0,0,2
33475,0,0,2
33521,0,0,0
33567,0,0,2
33614,0,0,0
33660,0,0,0
33706,0,0,0
33752,0,0,0
33799,0,0,2
33845,0,0,0
33891,0,0,0
33938,0,-1,0
33984,0,0,0
34030,0,0,2
34077,0,0,0
34123,0,0,0
34169,0,0,0
34215,0,0,2
34262,0,0,0
34308,0,0,2
34354,0,0,2
34401,0,0,2
34447,0,0,0
34493,0,0,2
34540,0,0,2
34586,0,0,2
34632,0,0,2
34678,0,0,2
34725,0,0,2
34771,0,0,0
34817,0,0,0
34864,2,0,0
34910,0,0,2
34956,0,0,0
35003,0,0,2
35049,0,0,0
35095,0,0,2
35141,1,-1,0
35188,0,0,2
35234,1,-1,0
35280,0,0,2
35327,0,0,2
35373,0,0,0
35419,0,-1,0
35466,0,0,2
35512,2,0,0
35558,0,0,2
35604,0,0,0
35651,0,0,2
35697,0,0,2
35743,0,0,2
35790,0,0,2
35836,0,0,2
35882,0,0,0
35929,0,0,0
35975,0,0,2
36021,0,0,0
36067,0,0,0
36114,0,0,0
36160,0,0,0
36206,0,0,2
36253,0,-1,0
36299,1,-1,0
36345,0,0,2
36392,0,0,2
36438,0,0,0
36484,0,0,0
36530,0,0,0
36577,0,0,2
36623,2,0,1
36669,0,0,2
36716,2,0,0
36762,0,0,2
36808,0,0,0
36855,0,0,0
36901,0,0,0
36947,0,0,2
36993,0,0,0
37040,0,0,2
37086,0,0,0
37132,0,0,0
37179,0,0,0
37225,0,0,0
37271,0,0,0
37318,0,0,0
37364,0,0,0
37410,0,0,0
37456,0,0,0
37503,0,0,2
37549,0,0,2
37595,0,0,2
37642,0,0,2
37688,0,0,0
37734,1,-1,0
37781,0,0,0
37827,0,0,0
37873,0,0,2
37919,0,0,0
37966,0,0,0
38012,0,0,0
38058,0,0,0
38105,0,0,0
38151,0,0,0
38197,0,0,2
38244,1,-1,0
38290,0,0,0
38336,0,0,0
38382,0,0,2
38429,1,-1,0
38475,0,0,2
38521,1,-1,0
38568,1,0,0
38614,0,0,0
38660,0,0,2
38707,0,0,0
38753,0,0,2
38799,0,-1,0
38845,0,0,0
38892,0,0,0
38938,0,0,2
38984,0,0,2
39031,0,0,2
39077,0,0,2
39123,0,0,2
39170,0,0,0
39216,0,0,2
39262,0,0,0
39308,0,0,0
39355,0,0,0
39401,0,0,0
39447,0,0,0
39494,0,0,2
39540,0,0,0
39586,0,0,0
39633,0,0,2
39679,1,-1,0
39725,0,0,0
39771,0,0,0
39818,0,0,0
39864,0,0,0
39910,0,0,2
39957,0,0,2
40003,0,0,0
40049,0,0,0
40096,0,0,0
40142,1,-1,0
40188,0,0,0
40234,1,-1,0
40281,0,0,2
40327,1,-1,0
40373,1,-1,0
40420,0,0,0
40466,0,0,0
40512,0,0,0
40559,0,0,0
40605,0,0,0
40651,0,-1,0
40697,0,0,0
40744,1,0,0
40790,0,0,0
40836,0,0,0
40883,0,0,0
40929,0,0,2
40975,0,0,2
41022,0,0,0
41068,2,0,1
41114,0,0,0
41160,0,0,0
41207,1,-1,0
41253,0,0,0
41299,1,-1,0
41346,0,0,0
41392,0,0,2
41438,0,0,2
41485,0,0,2
41531,0,0,0
41577,2,0,1
41623,0,0,0
41670,0,0,0
41716,2,0,0
41762,0,0,0
41809,0,0,2
41855,0,0,0
41901,0,0,0
41948,0,0,0
41994,1,0,0
42040,2,0,0
42086,0,-1,0
42133,2,0,0
42179,0,0,0
42225,0,0,2
42272,0,0,0
42318,0,0,0
42364,0,0,0
42411,0,0,2
42457,0,0,0
42503,0,0,0
42549,2,0,1
42596,0,0,0
42642,0,0,0
42688,0,0,0
42735,2,0,0
42781,0,0,0
42827,2,0,1
42874,0,0,0
42920,0,0,2
42966,0,0,0
43012,2,0,1
43059,2,-1,0
43105,0,0,0
43151,0,0,0
43198,0,0,0
43244,0,0,0
43290,0,0,2
43337,2,0,0
43383,2,-1,0
43429,0,0,0
43475,0,0,0
43522,1,-1,0
43568,0,0,0
43614,0,0,2
43661,0,0,2
43707,0,0,2
43753,0,0,0
43800,0,0,0
43846,0,0,0
43892,0,0,0
43938,0,0,0
43985,0,0,0
44031,0,0,2
44077,0,0,0
44124,0,0,2
44170,0,0,0
44216,2,0,0
44263,0,0,0
44309,0,0,0
44355,0,0,0
44401,0,0,2
44448,1,-1,0
44494,0,0,0
44540,0,0,0
44587,0,0,0
44633,2,0,1
44679,0,0,0
44726,0,0,0
44772,1,0,0
44818,0,0,2
44864,2,0,0
44911,1,-1,0
44957,0,0,0
45003,0,0,2
45050,0,0,2
45096,2,0,0
45142,0,0,0
45189,0,0,0
45235,0,0,0
45281,0,0,0
45327,1,-1,0
45374,1,-1,0
45420,0,0,0
45466,1,0,0
45513,0,0,0
45559,0,0,2
45605,0,0,0
45652,0,0,0
45698,1,-1,0
45744,0,0,0
45790,0,0,0
45837,0,0,0
45883,2,0,1
45929,2,0,1
45976,0,0,0
46022,0,0,0
46068,0,0,0
46115,0,0,0
46161,1,-1,0
46207,1,-1,0
46253,0,0,0
46300,0,0,0
46346,0,0,0
46392,0,0,2
46439,0,0,0
46485,0,0,0
46531,0,0,0
46578,0,0,0
46624,0,0,0
46670,1,-1,0
46716,0,-1,0
46763,0,0,0
46809,0,0,0
46855,0,0,0
46902,0,0,0
46948,0,0,0
46994,0,0,0
47041,2,0,1
47087,0,0,0
47133,2,0,1
47179,0,0,0
47226,0,0,0
47272,0,0,0
47318,0,0,0
47365,1,-1,0
47411,2,0,0
47457,1,-1,0
47504,0,0,0
47550,1,-1,0
47596,0,0,0
47642,0,0,0
47689,2,0,1
47735,2,0,1
47781,2,0,1
47828,0,0,0
47874,0,0,0
47920,2,0,1
47967,1,-1,0
48013,2,0,0
48059,2,0,1
48105,0,0,0
48152,2,-1,0
48198,2,0,1
48244,2,0,1
48291,2,0,0
48337,2,0,0
48383,0,0,0
48430,1,-1,0
48476,0,0,0
