variant,base_variant,detector,target_months,min_volume,cost_multiplier,net_return,net_return_baseline,net_delta,sharpe,sharpe_baseline,sharpe_delta,tstat,tstat_baseline,tstat_delta,cost_return,cost_return_baseline,cost_delta,event_count,event_count_baseline,hazard_exit_count,hazard_exit_fraction,event_tstat,event_tstat_baseline,active_fraction,active_fraction_baseline
mad_z_target3m_minv500_lb126_entry1p5_contango_only_costx1p0_hazardexp_minh8_tail4,mad_z_target3m_minv500_lb126_entry1p5_contango_only_costx1p0,mad_z,3,500.0,1.0,0.0017306180116796227,0.0022595310275414,-0.0005289130158617774,0.169141088354378,0.2206405321944653,-0.05149944384008731,0.2925931061783987,0.3816807571225647,-0.08908765094416604,0.00819522676650157,0.0077851175749293,0.0004101091915722707,40,38,3,0.075,0.608757605743452,0.6496688277869314,0.3915900131406045,0.3955321944809461
mad_z_target3m_minv500_lb126_entry1p5_both_costx1p0_hazardexp_minh8_tail4,mad_z_target3m_minv500_lb126_entry1p5_both_costx1p0,mad_z,3,500.0,1.0,0.012524934879787316,0.0130538478956491,-0.0005289130158617848,0.6081498423748779,0.6339899986669444,-0.025840156292066485,1.0520238052953461,1.0967240710154664,-0.044700265720120314,0.014464700489399277,0.014054591297827,0.00041010919157227765,74,69,3,0.04054054054054054,1.9955682940551565,1.6767478546480223,0.7306176084099869,0.7306176084099869
mad_z_target1m_minv500_lb126_entry1p5_contango_only_costx1p0_hazardexp_minh8_tail4,mad_z_target1m_minv500_lb126_entry1p5_contango_only_costx1p0,mad_z,1,500.0,1.0,0.005693797424843393,0.0062227104407052,-0.0005289130158618073,0.7123946509588875,0.7753638514917974,-0.06296920053290989,1.232354395829698,1.3412833033869946,-0.10892890755729656,0.012776566797331393,0.0123664576057591,0.00041010919157229327,73,71,3,0.0410958904109589,1.5073513839784505,1.540854095319628,0.4305210918114144,0.4305210918114144
quantile_band_target6m_minv10_lb252_entry0p05_backwardation_only_costx3p0_hazardexp_minh8_tail4,quantile_band_target6m_minv10_lb252_entry0p05_backwardation_only_costx3p0,quantile_band,6,10.0,3.0,0.0010464296907097938,0.0016011426336756,-0.0005547129429658061,0.05305841929051051,0.0809051190804644,-0.02784669978995389,0.09178448513113463,0.1399558222534849,-0.04817133712235028,0.03637420373342139,0.0362420145707295,0.00013218916269188558,84,76,11,0.13095238095238096,0.7132937855239048,0.7055130437075392,0.4901506373117034,0.5689455388180765
quantile_band_target1m_minv500_lb126_entry0p1_both_costx1p0_hazardexp_minh8_tail4,quantile_band_target1m_minv500_lb126_entry0p1_both_costx1p0,quantile_band,1,500.0,1.0,0.020238928770640284,0.0208106192274201,-0.0005716904567798151,1.0983669581556377,1.1265741039974992,-0.02820714584186157,1.900038619458008,1.948833483548072,-0.04879486409006417,0.030223018056420907,0.0293387689385237,0.000884249117897206,210,170,14,0.06666666666666667,3.833131792499726,3.783053237303993,0.8362282878411911,0.8424317617866005
rank_pct_target1m_minv1000_lb252_entry0p1_backwardation_only_costx3p0_hazardexp_minh8_tail4,rank_pct_target1m_minv1000_lb252_entry0p1_backwardation_only_costx3p0,rank_pct,1,1000.0,3.0,-0.008595087766192333,-0.0080225190490097,-0.0005725687171826335,-0.5324744500257003,-0.4947038076032721,-0.03777064242242817,-0.921114761702558,-0.8557762345814759,-0.06533852712108212,0.024242088019476152,0.0243742771821679,-0.0001321891626917468,51,50,4,0.0784313725490196,-0.1932846346374128,-0.0871067325759881,0.6743589743589744,0.691025641025641
quantile_band_target1m_minv1000_lb252_entry0p1_backwardation_only_costx3p0_hazardexp_minh8_tail4,quantile_band_target1m_minv1000_lb252_entry0p1_backwardation_only_costx3p0,quantile_band,1,1000.0,3.0,-0.008595087766192333,-0.0080225190490097,-0.0005725687171826335,-0.5324744500257003,-0.4947038076032721,-0.03777064242242817,-0.921114761702558,-0.8557762345814759,-0.06533852712108212,0.024242088019476152,0.0243742771821679,-0.0001321891626917468,51,50,4,0.0784313725490196,-0.1932846346374128,-0.0871067325759881,0.6743589743589744,0.691025641025641
rank_pct_target1m_minv1000_lb252_entry0p1_both_costx3p0_hazardexp_minh8_tail4,rank_pct_target1m_minv1000_lb252_entry0p1_both_costx3p0,rank_pct,1,1000.0,3.0,-0.01082428513450474,-0.0102517164173221,-0.0005725687171826404,-0.6153103006434736,-0.5807558874373873,-0.03455441320608632,-1.0644105100685803,-1.0046356606188844,-0.05977484944969591,0.03936462019600924,0.039496809358701,-0.00013218916269176068,90,79,4,0.044444444444444446,0.2662751786042997,0.5666407320688216,0.8051282051282052,0.8217948717948718
quantile_band_target1m_minv1000_lb252_entry0p1_both_costx3p0_hazardexp_minh8_tail4,quantile_band_target1m_minv1000_lb252_entry0p1_both_costx3p0,quantile_band,1,1000.0,3.0,-0.011022624999153494,-0.0104500562819708,-0.0005725687171826942,-0.6263201887306379,-0.5917424660844482,-0.034577722646189635,-1.0834562510262746,-1.0236410791360089,-0.05981517189026575,0.03936462019600924,0.039496809358701,-0.00013218916269176068,90,79,4,0.044444444444444446,0.22847260549764198,0.5249665591200697,0.8051282051282052,0.8217948717948718
mad_z_target6m_minv10_lb126_entry2p0_both_costx3p0_hazardexp_minh8_tail4,mad_z_target6m_minv10_lb126_entry2p0_both_costx3p0,mad_z,6,10.0,3.0,-0.0017274723154313458,-0.0011504338453069,-0.0005770384701244459,-0.0869978464357867,-0.0578984796443488,-0.029099366791437903,-0.15049548496546192,-0.1001571892848017,-0.050338295680660214,0.045790856782488766,0.044865532643646,0.0009253241388427688,107,97,11,0.102803738317757,0.44176245085149124,0.3463248655880611,0.5550405561993047,0.5666280417149478
