variant,base_variant,detector,target_months,min_volume,lookback,side_mode,cost_multiplier,entry_level,exit_level,md_entry,component_entry,hazard_exit,hazard_min_history_events,hazard_min_tail_events,gross_return,cost_return,net_return,ann_return,ann_vol,sharpe,tstat,max_drawdown,mean_spread_exposure,mean_leg_gross_exposure,mean_turnover,active_fraction,event_count,hazard_exit_count,hazard_exit_fraction,event_win_rate,mean_event_net_return,event_tstat,bars,periods_per_year
mad_z_target1m_minv500_lb126_entry1p5_backwardation_only_costx1p0_hazardexp_minh8_tail4,mad_z_target1m_minv500_lb126_entry1p5_backwardation_only_costx1p0,mad_z,1,500.0,126,backwardation_only,1.0,1.5,0.25,,1.25,True,8,4,0.026645630691877593,0.011729137790096825,0.014948508269157093,0.004995372960027108,0.005404419803301177,0.9243125334149261,1.5989460506773308,-0.007616599687627695,0.17344913151364766,0.3468982630272953,0.04466501240694789,0.6191066997518611,90,2,0.022222222222222223,0.8888888888888888,0.00021780088262203986,4.551967690936812,806,269.3426349496798
rank_pct_target3m_minv500_lb126_entry0p1_both_costx1p0_hazardexp_minh8_tail4,rank_pct_target3m_minv500_lb126_entry0p1_both_costx1p0,rank_pct,3,500.0,126,both,1.0,0.1,0.25,,1.25,True,8,4,0.03126301251789202,0.0173688473012545,0.014551179264718168,0.004862596730501657,0.007052413839464811,0.6894939578404926,1.1927390368513364,-0.009213644134272241,0.2596583442838371,0.5193166885676742,0.05151116951379764,0.78580814717477,99,6,0.06060606060606061,0.7171717171717171,0.00019929701947246883,2.30494737440064,761,254.30489478499544
curve_md_target3m_minv500_lb252_md3p0_comp1p25_both_costx1p0_hazardexp_minh8_tail4,curve_md_target3m_minv500_lb252_md3p0_comp1p25_both_costx1p0,curve_md,3,500.0,252,both,1.0,1.25,0.25,3.0,1.25,True,8,4,0.02407950076864587,0.009906516685699645,0.014426370135218712,0.004820889013621807,0.006396886316443151,0.7536305594848145,1.3036874035516919,-0.006964307281743499,0.12720105124835743,0.25440210249671485,0.031011826544021025,0.5229960578186597,60,0,0.0,0.7166666666666667,0.00029367948792408176,2.217234885088145,761,254.30489478499544
quantile_band_target3m_minv500_lb126_entry0p1_both_costx1p0_hazardexp_minh8_tail4,quantile_band_target3m_minv500_lb126_entry0p1_both_costx1p0,quantile_band,3,500.0,126,both,1.0,0.1,0.25,,1.25,True,8,4,0.031092519642151,0.0173688473012545,0.014380686388977153,0.004805622784605586,0.007052673848845222,0.6813901915218212,1.178720526139403,-0.009213644134272241,0.2599211563731932,0.5198423127463864,0.05151116951379764,0.78580814717477,99,6,0.06060606060606061,0.7171717171717171,0.00019757486921245855,2.286423702506024,761,254.30489478499544
curve_md_target3m_minv500_lb252_md2p5_comp1p25_both_costx1p0_hazardexp_minh8_tail4,curve_md_target3m_minv500_lb252_md2p5_comp1p25_both_costx1p0,curve_md,3,500.0,252,both,1.0,1.25,0.25,2.5,1.25,True,8,4,0.026261543060036446,0.012370985158797861,0.01427848661878046,0.004771470482625401,0.006566185583057692,0.726673107585768,1.2570543549971558,-0.008499572677022588,0.14822601839684627,0.29645203679369253,0.039421813403416564,0.5821287779237845,76,1,0.013157894736842105,0.7105263157894737,0.00024292741501714634,2.3161796910692036,761,254.30489478499544
mad_z_target1m_minv1000_lb252_entry1p5_both_costx1p0_hazardexp_minh8_tail4,mad_z_target1m_minv1000_lb252_entry1p5_both_costx1p0,mad_z,1,1000.0,252,both,1.0,1.5,0.25,,1.25,True,8,4,0.025886568058576278,0.011733523351871038,0.01415304470670524,0.0047295513075243266,0.005620882692809369,0.8414250156073712,1.455560924480689,-0.008215467890112713,0.2541025641025641,0.5082051282051282,0.036923076923076927,0.7730769230769231,72,1,0.013888888888888888,0.8055555555555556,0.0002485572155365979,3.7872535937756124,780,260.6541628545288
quantile_band_target6m_minv10_lb126_entry0p05_contango_only_costx1p0_hazardexp_minh8_tail4,quantile_band_target6m_minv10_lb126_entry0p05_contango_only_costx1p0,quantile_band,6,10.0,126,contango_only,1.0,0.05,0.25,,1.25,True,8,4,0.023178051186367538,0.012493916556176798,0.01368918137576179,0.004574541168798714,0.004244361096027213,1.077792644240509,1.8644476079865415,-0.0025783071137497515,0.11100811123986096,0.22201622247972191,0.03707995365005794,0.44727694090382386,80,1,0.0125,0.65,0.000197252974673124,2.7345331481888024,863,288.39043915828
mad_z_target6m_minv10_lb252_entry2p0_backwardation_only_costx1p0_hazardexp_minh8_tail4,mad_z_target6m_minv10_lb252_entry2p0_backwardation_only_costx1p0,mad_z,6,10.0,252,backwardation_only,1.0,2.0,0.25,,1.25,True,8,4,0.02140225524818673,0.009560089783026082,0.013672820571834098,0.004569073846168715,0.006368068507115947,0.7174975961805438,1.2411818582020242,-0.006670962551585677,0.12305909617612977,0.24611819235225954,0.0287369640787949,0.5643105446118193,62,6,0.0967741935483871,0.5806451612903226,0.00023791096766846543,1.5807433268650297,863,288.39043915828
curve_md_target3m_minv500_lb126_md2p5_comp1p25_both_costx1p0_hazardexp_minh8_tail4,curve_md_target3m_minv500_lb126_md2p5_comp1p25_both_costx1p0,curve_md,3,500.0,126,both,1.0,1.25,0.25,2.5,1.25,True,8,4,0.025114942838662793,0.012153266065313702,0.013317590123514644,0.004450365775492886,0.0066325919834184874,0.6709844034758691,1.1607198033332442,-0.009001457574282445,0.13324572930354797,0.26649145860709594,0.04467805519053877,0.5295663600525624,86,1,0.011627906976744186,0.7325581395348837,0.00020540727695751886,2.182223234194009,761,254.30489478499544
quantile_band_target1m_minv500_lb126_entry0p1_backwardation_only_costx1p0_hazardexp_minh8_tail4,quantile_band_target1m_minv500_lb126_entry0p1_backwardation_only_costx1p0,quantile_band,1,500.0,126,backwardation_only,1.0,0.1,0.25,,1.25,True,8,4,0.026243087169161176,0.01306849488165419,0.013206607654883304,0.004413278541579256,0.005410438292308818,0.8156970476593237,1.411054730682258,-0.007616599687627695,0.17766749379652605,0.3553349875930521,0.049131513647642684,0.6290322580645161,99,2,0.020202020202020204,0.8787878787878788,0.00018456770619151752,4.258406334041738,806,269.3426349496798
rank_pct_target6m_minv10_lb126_entry0p05_contango_only_costx1p0_hazardexp_minh8_tail4,rank_pct_target6m_minv10_lb126_entry0p05_contango_only_costx1p0,rank_pct,6,10.0,126,contango_only,1.0,0.05,0.25,,1.25,True,8,4,0.022190752180909247,0.01184135123877963,0.01313069232689515,0.004387909764316975,0.004215792229862221,1.0408268541403856,1.8005013755662278,-0.0025783071137497515,0.10915411355735806,0.21830822711471612,0.036152954808806495,0.4391657010428737,78,1,0.01282051282051282,0.6410256410256411,0.0001938361747062848,2.629149927617455,863,288.39043915828
rank_pct_target1m_minv500_lb126_entry0p1_backwardation_only_costx1p0_hazardexp_minh8_tail4,rank_pct_target1m_minv500_lb126_entry0p1_backwardation_only_costx1p0,rank_pct,1,500.0,126,backwardation_only,1.0,0.1,0.25,,1.25,True,8,4,0.025658966061854766,0.012742681999186779,0.012948299430044313,0.004326959164523042,0.005407118268650056,0.8002338675686694,1.384305346850453,-0.00770598575203347,0.17196029776674937,0.34392059553349874,0.049131513647642684,0.6116625310173698,99,5,0.050505050505050504,0.8585858585858586,0.0001814257159844853,4.187116528488802,806,269.3426349496798
