time_bin,time_utc,signal_window,horizon,n_days,momentum_ls_mean,momentum_ls_tstat,momentum_ls_p_value,mean_daily_ic,daily_ic_tstat,daily_ic_p_value,split_date,train_n,train_mean,train_tstat,test_n,test_mean,test_tstat,momentum_ls_q_value,daily_ic_q_value
1170,19:30,15,60,2474,-0.0004312912051626798,-8.190282253341483,2.606142681444049e-16,-0.12028062577417405,-10.168360109039405,2.7449094347849058e-24,2023-07-11 00:00:00+00:00,1731,-0.0004134985633637381,-6.819819561673707,743,-0.0004727435106188952,-4.548725641989614,1.0443875486379485e-14,4.183087335827138e-23
1140,19:00,15,15,2488,-0.0002693437141481021,-8.164996323806397,3.214450065480044e-16,-0.1267160651254948,-10.90860653521057,1.048511913532249e-27,2023-07-10 00:00:00+00:00,1741,-0.0002840074113633466,-7.371358934793836,747,-0.00023516768087937295,-3.713238747910191,1.2421553467319314e-14,2.3152854906977414e-26
270,04:30,5,5,2511,-0.00014142196314054017,-8.132366392822394,4.209900905367277e-16,-0.1367565729449079,-11.360468974299508,6.579050381270892e-30,2023-07-13 00:00:00+00:00,1757,-0.0001249854292854215,-7.054225182515523,754,-0.00017972301086394005,-4.42668893277922,1.570728544692205e-14,1.9773701423708624e-28
1080,18:00,60,60,2527,-0.0005783436126766293,-8.11177903588591,4.988395259852106e-16,-0.11786347868858646,-10.522408345173224,6.810999944441006e-26,2023-07-06 00:00:00+00:00,1768,-0.0006598456088054284,-7.920600561117518,759,-0.00038849443065328693,-2.8451528611380104,1.7991478903866595e-14,1.2928950771728366e-24
300,05:00,5,5,2517,-0.00014006355997959511,-8.050990448061535,8.212668054375207e-16,-0.138249176177239,-11.874411465062357,1.607614581984551e-32,2023-07-11 00:00:00+00:00,1761,-0.00013520960815724002,-7.38506403489879,756,-0.00015137018585150954,-3.860320472827623,2.866486075752895e-14,6.7180933284544265e-31
1260,21:00,5,rest,2459,-0.00056327064707676,-7.993216051412466,1.31463449721875e-15,-0.154487207901939,-12.210095788012682,2.7456573142238573e-34,2023-07-03 00:00:00+00:00,1721,-0.000621431847966155,-7.963524807181149,738,-0.00042763998755013575,-2.8826942333010015,4.4451078937208986e-14,1.2916527017348754e-32
1230,20:30,15,15,2451,-0.00023101941003503227,-7.915383712269549,2.464916901794169e-15,-0.12083661704630724,-10.057340165441188,8.527101045358143e-24,2023-07-06 00:00:00+00:00,1715,-0.00020460339444811656,-6.411817042408471,736,-0.00029257303331160897,-4.675784900558615,8.081939659822093e-14,1.2638799083667824e-22
240,04:00,5,5,2512,-0.00014579282327947574,-7.767056851020165,8.033079451107041e-15,-0.14070605875830747,-11.681086035876387,1.5924774315801754e-31,2023-07-13 00:00:00+00:00,1758,-0.00013920151267692455,-6.674469170141552,754,-0.00016116089229709505,-4.0967293866356735,2.556409401793476e-13,6.153787789177678e-30
1230,20:30,5,15,2451,-0.00022641315129037496,-7.745863424526908,9.493450948954912e-15,-0.12844260650151137,-10.961750323698283,5.835957781587187e-28,2023-07-06 00:00:00+00:00,1715,-0.0002106023279893829,-6.452536139229023,736,-0.00026325494743331164,-4.331928866997425,2.915652318813983e-13,1.3155221499327785e-26
1110,18:30,60,15,2507,-0.0003282882599640302,-7.743116909712234,9.700876476645417e-15,-0.12262257682766217,-10.38203386385412,2.9932924857990417e-25,2023-07-12 00:00:00+00:00,1754,-0.0003427962613429376,-6.854019564810293,753,-0.0002944940575488859,-3.693073873289847,2.915652318813983e-13,5.489394016329768e-24
1140,19:00,5,15,2488,-0.0002573799736921,-7.703142155138764,1.3276052758481913e-14,-0.13079153983486477,-11.194081501878097,4.358960963819731e-29,2023-07-10 00:00:00+00:00,1741,-0.0002710310291275003,-6.856344861066183,747,-0.00022556406002003585,-3.6121659066915957,3.8823484012641706e-13,1.122951372107845e-27
1080,18:00,60,120,2527,-0.000674608640628733,-7.654747096025794,1.936930449197435e-14,-0.1029427739847075,-9.166994476831741,4.86390699747894e-20,2023-07-06 00:00:00+00:00,1768,-0.0008043446812231131,-8.562430787583446,759,-0.0003724040032494659,-1.9083202904030097,5.515154594820065e-13,4.536851182131218e-19
1080,18:00,30,5,2527,-0.00022797835259872706,-7.644367306689125,2.0997521962858892e-14,-0.10445536760771221,-8.934689239485337,4.083242189973505e-19,2023-07-06 00:00:00+00:00,1768,-0.00023441109618371476,-6.5723860369842235,759,-0.00021299404343106144,-3.914788617176208,5.825466349695724e-13,3.272642999667654e-18
1260,21:00,15,15,2459,-0.0001414806363096764,-7.624404489285522,2.451635053130973e-14,-0.2205620224190056,-11.114798873521917,1.0628986936588968e-28,2023-07-03 00:00:00+00:00,1721,-0.0001472054018455401,-7.907539579168112,738,-0.00012813060719420023,-2.9089873909625252,6.631672818719283e-13,2.555680858975392e-27
1350,22:30,15,5,1651,-0.00019361820622781705,-7.610170375151156,2.7373483547875175e-14,-0.13835698928766313,-9.339693540128001,9.661335037098963e-21,2023-07-10 00:00:00+00:00,1155,-0.00018106238471653953,-5.956712628367367,496,-0.00022285605672282827,-4.790968761304551,7.223929072878278e-13,9.679226398278775e-20
300,05:00,5,15,2517,-0.00020460206024188835,-7.6047950535231035,2.8535573444661984e-14,-0.13351257650291476,-11.246863611032897,2.3997422496199945e-29,2023-07-11 00:00:00+00:00,1761,-0.00017902014303107882,-6.177072124310266,756,-0.00026419168485595655,-4.489137236568136,7.351307254077206e-13,6.832950300233774e-28
1080,18:00,60,5,2527,-0.00022595015655576248,-7.575263935804944,3.583982431684724e-14,-0.09848336786767159,-8.58405211638515,9.158844693197313e-18,2023-07-06 00:00:00+00:00,1768,-0.0002521281989495598,-7.148489622029225,759,-0.00016497152816019776,-2.958706656350097,9.018299979262492e-13,5.728248530658666e-17
270,04:30,15,5,2511,-0.00012846050938858928,-7.558690177126224,4.071484006631587e-14,-0.1223817228866059,-10.173351771356378,2.6077737354176185e-24,2023-07-13 00:00:00+00:00,1757,-0.0001279586176555651,-7.0374789934558635,754,-0.0001296300369415382,-3.452522404630327,1.0012149307216767e-12,4.030873116745519e-23
1260,21:00,30,5,2459,-8.867606006490864e-05,-7.553763133266511,4.2285891434917795e-14,-0.1972485131661591,-10.174565413920854,2.5754705233729126e-24,2023-07-03 00:00:00+00:00,1721,-9.243670491725568e-05,-7.06900983587748,738,-7.990631780083108e-05,-3.26022612344649,1.01674076739069e-12,4.030873116745519e-23
1200,20:00,60,5,2464,-0.0001732647238931497,-7.509086956264927,5.954116769209249e-14,-0.11316669851591857,-9.77119668838584,1.4967358433201483e-22,2023-07-03 00:00:00+00:00,1724,-0.00019488364960877633,-7.1306476570244675,740,-0.00012289846992863575,-2.860236736147977,1.4005118139748712e-12,1.883102537758605e-21
1260,21:00,60,60,2459,-0.00031999328911153785,-7.497690727985307,6.495192674906373e-14,-0.17947150331703562,-14.427717142071522,3.4635644575810417e-47,2023-07-03 00:00:00+00:00,1721,-0.00034875266963268114,-8.674464093649448,738,-0.0002529270372458364,-2.365168655433478,1.4952762711167436e-12,5.3536810615752673e-45
