root,time_bin,time_utc,signal_window,horizon,n,ic,ic_tstat,ic_p_value,signed_mean,signed_tstat,signed_p_value,quintile_spread_mean,quintile_spread_tstat,quintile_spread_p_value,split_date,train_n,train_mean,train_tstat,test_n,test_mean,test_tstat,ic_q_value,signed_q_value,quintile_spread_q_value
PL,1350,22:30,30,60,1630,-0.18817908280300896,-7.730854112619148,1.068273916319668e-14,-0.00024330645607365033,-4.524897456290549,6.0424796039912e-06,-0.0005294716250445057,-4.690059222023,2.731259864178103e-06,2024-05-16 00:00:00+00:00,456,-0.0005843791829737525,-4.927192779968284,196,-0.0004017275106785031,-1.5750448521986198,2.1645550139660687e-13,0.0006286502818767767,0.0004766488988775335
PA,1080,18:00,60,60,2275,-0.14582829204063194,-7.027634160490704,2.1006479602911046e-12,-0.00040049729044769946,-4.667948867202714,3.0422158438767785e-06,-0.0007715572813374415,-4.680954847694247,2.8554183027073427e-06,2024-01-02 00:00:00+00:00,637,-0.0007856111740717148,-4.2161463166096755,273,-0.0007387648649574705,-2.1956089659535647,3.148062455727113e-11,0.0004220099414198301,0.0004827441568014601
PA,1260,21:00,5,60,1909,-0.12283043463687365,-5.404835368054417,6.486794578168357e-08,-0.0002188077067154934,-4.690426388848643,2.7263630169858607e-06,-0.00044016824455763473,-4.661161408280219,3.14430008524705e-06,2024-03-22 00:00:00+00:00,534,-0.0004898594379551184,-5.0830722420464305,230,-0.00032479825640869436,-1.4759549185419967,5.086022995346495e-07,0.00039863848437550015,0.0005154746503389861
PL,180,03:00,5,5,2528,-0.25967720085229923,-13.514820987976258,1.2786635178506694e-41,-9.20287984373981e-05,-4.701508193586548,2.582468994308372e-06,-0.00019253052695871354,-4.649743408083206,3.323482437291497e-06,2024-04-17 00:00:00+00:00,708,-0.0001327248132466934,-3.994831455522724,304,-0.00033181488652486566,-2.915382806122321,1.6470403884695528e-39,0.0003880877016446748,0.000528824705463147
PA,1080,18:00,60,120,2275,-0.12419994811740118,-5.967561020673003,2.4082623584930414e-09,-0.00043677732589269804,-3.935323385817358,8.308474513725368e-05,-0.0010058445450020028,-4.63010299623975,3.65483890707405e-06,2024-01-02 00:00:00+00:00,637,-0.0008724238263645397,-3.9194474642107373,273,-0.0013171595551560833,-2.6088995229867287,2.3560035008042232e-08,0.0037555536927145307,0.0005649336710648746
PL,780,13:00,60,5,2537,-0.13176480235209845,-6.692549794623046,2.1931508284660327e-11,-0.00016856482046434643,-3.995814254985207,6.447227038754596e-05,-0.0003527273953746226,-4.611866668631388,3.990689512940379e-06,2023-08-08 00:00:00+00:00,711,-0.00032192647443297684,-3.4105942786763643,305,-0.0004245288864877704,-3.302155828861928,2.8317293513129446e-10,0.003201073361128334,0.0005845959677294049
PA,630,10:30,30,15,2236,-0.26819496855060515,-13.158352057831907,1.52373057438618e-39,-0.0003092458857416646,-4.991663049942698,5.986161849272986e-07,-0.0006024317118000916,-4.6114779383782105,3.99816096228983e-06,2024-02-01 00:00:00+00:00,627,-0.0007386169536109096,-4.343887079295561,269,-0.0002850036574678131,-1.5960237278726577,1.7173713348810904e-37,0.0001295405424182674,0.0005845959677294049
PL,1260,21:00,5,5,2448,-0.14746182727932164,-7.3736377392048915,1.6603397366000376e-13,-3.9002922917601856e-05,-4.402898954042736,1.0681392256627616e-05,-7.627471794706323e-05,-4.575489076197105,4.751087581947628e-06,2023-03-21 00:00:00+00:00,686,-9.388231146416101e-05,-5.097296826442877,294,-3.519033307383509e-05,-1.0007860169822071,2.9069378559890624e-12,0.0009320376146508936,0.0006764048373246492
PA,1200,20:00,15,30,2181,-0.14121319379019542,-6.658521659659678,2.7659553283896627e-11,-0.00019947304754217235,-4.405905650788805,1.0534281115307576e-05,-0.00041367424091436246,-4.5551472991838216,5.234888236382488e-06,2024-02-13 00:00:00+00:00,611,-0.0005281988465843786,-5.259419496529626,263,-0.00014761137374942027,-0.7738874021776472,3.512633409997201e-10,0.0009320376146508936,0.0007214975712762564
PL,1350,22:30,60,5,1630,-0.20989292308731727,-8.661807983711926,4.6434003484819575e-18,-0.0001060631763670479,-5.135655174186188,2.811627752558195e-07,-0.0001952498074175666,-4.551181609558285,5.334547661931656e-06,2024-05-30 00:00:00+00:00,456,-0.0001531268101079286,-3.0792526465930083,196,-0.00029325025013794893,-3.518956885006891,1.3505804239401824e-16,8.005740074389386e-05,0.0007214975712762564
HG,1260,21:00,15,60,2406,-0.13701905881903945,-6.7820929447035105,1.1844722675745522e-11,-0.0001188400323681392,-5.121657074146621,3.028623045696303e-07,-0.00022800906466911606,-4.524220565269233,6.061848286617301e-06,2023-04-28 00:00:00+00:00,674,-0.0001760898948832077,-4.545210263519128,290,-0.0003486763765163651,-2.469343249709052,1.6019987418945816e-10,8.192425338608499e-05,0.0007998682739170633
PA,1260,21:00,60,5,1909,-0.1871302159927605,-8.318779169462081,8.88739586923713e-17,-6.495747114934176e-05,-4.579463900456051,4.6616923474377e-06,-0.00012483250937082182,-4.49430256183981,6.979832882873531e-06,2024-09-10 00:00:00+00:00,534,-0.00010855466125464238,-3.473186773750072,230,-0.0001626254263014297,-2.8523219531887154,2.322744524278883e-15,0.0005043951119927592,0.0008990689499129952
HG,1260,21:00,30,120,2406,-0.13384812389879006,-6.622242067424933,3.5379105424155056e-11,-0.00012354304322125307,-4.563604014918568,5.028287966028501e-06,-0.00023864985113469922,-4.4808087032367885,7.436073930926635e-06,2024-01-29 00:00:00+00:00,674,-0.0002148521295861698,-3.758592257609773,290,-0.00029395903845783305,-2.509582484102229,4.400022076889169e-10,0.0005333928999257685,0.0009355618596817
PL,780,13:00,30,5,2537,-0.18422967524677633,-9.437275794490747,3.825969548778068e-21,-0.0001662523041854273,-3.9466010379110203,7.926847924238825e-05,-0.000347112369187036,-4.4615841963744955,8.135596918615118e-06,2023-09-13 00:00:00+00:00,711,-0.0002962838418220185,-3.1476326712523077,305,-0.0004656011657658144,-3.3764750017582847,1.6692334886201087e-19,0.0036653202794984653,0.0009847846293827107
PA,1260,21:00,30,5,1909,-0.17895179091957913,-7.94289905667499,1.975096766593866e-15,-7.156094898604942e-05,-5.145307487090761,2.6708297293897834e-07,-0.0001285156587771327,-4.460120213890741,8.191369375641771e-06,2024-04-19 00:00:00+00:00,534,-0.00014056241476022733,-4.047426225392254,230,-0.00010054623401638251,-1.947073781717087,4.4521972946970063e-14,8.005740074389386e-05,0.0009847846293827107
PL,300,05:00,5,5,2510,-0.10764394532621203,-5.422308173213287,5.883433712961642e-08,-7.888853776342128e-05,-4.800570165908796,1.5821452844897502e-06,-0.0001454367408446896,-4.438157442866215,9.0732242946782e-06,2024-01-12 00:00:00+00:00,702,-0.00013444034142660017,-4.009369424116069,302,-0.00017099790770395707,-2.244116397129193,4.6534176004565035e-07,0.000278802957646873,0.0010670900746567187
