root,time_bin,time_utc,horizon,n,mean,tstat,p_value,split_date,train_n,train_mean,train_tstat,test_n,test_mean,test_tstat,q_value
HG,990,16:30,60,2504,4.893487320448772e-05,0.7015589552398463,0.4829542560543995,2023-07-07 00:00:00+00:00,1752,-1.185690116251292e-05,-0.18421265334252823,752,0.0001905667730595211,1.0745486229436694,0.8220497975394034
SI,1080,18:00,120,2440,7.508745427699408e-05,0.6984198160968796,0.48491468729932946,2023-07-31 00:00:00+00:00,1708,0.00012741908099704678,1.1996323284578192,732,-4.7019674736462203e-05,-0.1815832892890389,0.82435496840886
GC,780,13:00,5,2471,1.2537348890961017e-05,0.6973342492473421,0.4855936390171948,2023-07-13 00:00:00+00:00,1729,5.617175024128679e-07,0.0278888948042363,742,4.044282957937038e-05,1.087776837284708,0.8244785880941135
PL,60,01:00,60,2535,6.227243413404107e-05,0.6928743176857571,0.4883884281450143,2023-06-26 00:00:00+00:00,1774,-2.2540768753272043e-05,-0.30009604866505823,761,0.00025998415807897336,1.0706961201838612,0.8262172977855051
PL,630,10:30,rest,2534,0.00020406894539080992,0.6897845922850633,0.49032965942450707,2023-06-23 00:00:00+00:00,1773,6.624103591232435e-05,0.20015224125935374,761,0.0005251844296291212,0.856302492773888,0.8262172977855051
PA,690,11:30,15,2192,-4.3880759824318827e-05,-0.6889561245289724,0.4908508786880312,2023-11-07 00:00:00+00:00,1534,-4.1513983696997225e-05,-0.5255570167593485,658,-4.9398441555795024e-05,-0.46832775201009347,0.8262172977855051
SI,540,09:00,5,2441,1.680516974975158e-05,0.688612557780583,0.49106711635691874,2023-07-31 00:00:00+00:00,1708,1.4487195096020321e-05,0.5668688277006011,733,2.220639854725907e-05,0.40130036381977763,0.8262172977855051
SI,60,01:00,5,2440,2.9453625528187405e-05,0.688318161330781,0.4912524474091657,2023-08-02 00:00:00+00:00,1708,3.317801155601241e-05,0.7886596234498817,732,2.0763391463262377e-05,0.2005284343408138,0.8262172977855051
SI,1290,21:30,15,795,3.015279413862159e-05,0.6872640203914078,0.4919163674815765,2023-11-13 00:00:00+00:00,556,6.171283992392491e-05,2.1300125206533402,239,-4.3267228692460617e-05,-0.33406544675724575,0.8262172977855051
GC,1350,22:30,15,1579,-1.3071304906083486e-05,-0.6864336807583006,0.49243967159506635,2023-08-01 00:00:00+00:00,1105,-3.111871534562182e-05,-1.5890540721938775,474,2.900124474727064e-05,0.6588084659284135,0.8262172977855051
HG,300,05:00,120,2474,6.170791232568024e-05,0.684740615455377,0.49350761461816006,2023-07-19 00:00:00+00:00,1731,3.4471015667912635e-05,0.3285842620290435,743,0.0001251629165175991,0.7185779176046405,0.8262172977855051
GC,1350,22:30,60,1579,2.6905647118859428e-05,0.6823178791901883,0.4950379700098724,2023-08-01 00:00:00+00:00,1105,2.3185181894711185e-07,0.005585728763680764,474,8.908822898890818e-05,1.002671480665561,0.8262172977855051
