window,root,side,start_ts,end_ts,observations,max_abs_z,max_abs_deviation_bp,end_z,end_deviation_bp,duration_hours
20D,HG,cheap,2023-06-26 01:45:00+00:00,2023-06-26 01:45:00+00:00,1,2.6239425634119975,90.82164509248342,-2.6239425634119975,-90.82164509248342,0.0
20D,HG,cheap,2023-07-10 10:15:00+00:00,2023-07-10 10:15:00+00:00,1,2.6234276210238137,96.8162868971334,-2.6234276210238137,-96.8162868971334,0.0
20D,HG,cheap,2023-07-31 03:15:00+00:00,2023-07-31 03:15:00+00:00,1,2.5650826654777203,54.42763895023295,-2.5650826654777203,-54.42763895023295,0.0
20D,HG,cheap,2023-07-31 06:15:00+00:00,2023-08-01 00:15:00+00:00,18,3.6211223116654443,77.76779532379734,-2.9201317170049474,-66.97035882532343,18.0
20D,HG,cheap,2023-08-01 18:15:00+00:00,2023-08-01 20:15:00+00:00,3,2.5271811854710817,66.7086271796885,-2.500080403697258,-66.53462509157909,2.0
20D,HG,rich,2023-08-13 22:15:00+00:00,2023-08-14 01:15:00+00:00,4,2.7198961422203554,105.90422955841228,2.5618974505876464,99.75225579409802,3.0
20D,HG,rich,2023-08-14 07:15:00+00:00,2023-08-14 10:15:00+00:00,4,2.702991431641426,109.18925709515138,2.519425483781364,105.6315793689061,3.0
20D,HG,rich,2023-08-14 12:15:00+00:00,2023-08-15 06:15:00+00:00,18,3.082516947655552,129.24023183395417,2.658714406487767,115.00747685697948,18.0
20D,HG,rich,2023-08-15 09:15:00+00:00,2023-08-15 12:15:00+00:00,4,2.6061076596717414,122.33362586085761,2.5817160439972335,122.33362586085761,3.0
20D,HG,rich,2023-09-07 08:45:00+00:00,2023-09-07 09:45:00+00:00,2,2.715795346004468,56.73404907352436,2.6123094088724796,54.631525465190514,1.0
20D,HG,rich,2023-09-07 13:45:00+00:00,2023-09-08 20:45:00+00:00,31,3.642126731706948,86.93116777487158,3.439457277160035,84.70821249485061,31.0
