date,spd_velocity,top_eigen_share,effective_rank,average_correlation,edge_persistence,stable,transition,spd_velocity_q40,spd_velocity_q80,edge_persistence_q60
2011-04-12,0.02556081717162772,0.38697972952145804,5.122565036439003,0.31476438361037584,1.0,False,False,,,
2011-04-13,0.024236691699195123,0.38972985962644907,5.112721565082297,0.3180058746935478,1.0,False,False,,,
2011-04-14,0.032051558371498055,0.38887688257617037,5.110638394931313,0.3169767361526819,1.0,False,False,,,
2011-04-15,0.03223461269160397,0.38953824169603246,5.110402494434208,0.31786041484680694,1.0,False,False,,,
2011-04-17,0.027244423289088424,0.3879218011259812,5.112676666562345,0.3159554729709957,1.0,False,False,,,
2011-04-18,0.017518218746454324,0.3882491140445437,5.107102280902064,0.3162577410292819,1.0,False,False,,,
2011-04-19,0.04445962935032744,0.38950980974067445,5.116295373420714,0.3176472015545862,1.0,False,False,,,
2011-04-20,0.01570063423008582,0.38932923054089286,5.120576455859932,0.3174551408186397,1.0,False,False,,,
2011-04-21,0.026115552268125307,0.3896522291293492,5.1114318984129365,0.3175788205227275,1.0,False,False,,,
2011-04-24,0.052861901159037016,0.38531210118146386,5.136792007602933,0.3131073938704298,0.8,False,False,,,
2011-04-25,0.011036683211049354,0.3855634628903933,5.134613092558071,0.31339819517540296,1.0,False,False,,,
2011-04-26,0.059410487343168325,0.3867225477979505,5.148907709262266,0.31467135540671864,0.6363636363636364,False,False,,,
2011-04-27,0.027769125664772878,0.3868399153142429,5.149452714013993,0.3148624453649892,1.0,False,False,,,
2011-04-28,0.05384598292191718,0.3858401780105262,5.165117418333333,0.3138756913463956,1.0,False,False,,,
2011-04-29,0.013320696884631405,0.3848310118749004,5.169965825086006,0.31272530512922503,1.0,False,False,,,
2011-05-01,0.10576303262251509,0.3835468094498273,5.1798099123221055,0.3114669581652821,0.8,False,False,,,
2011-05-02,0.11606640353540444,0.38053173573725085,5.225962566952844,0.30791995971811675,1.0,False,False,,,
2011-05-03,0.044033389401278204,0.3807175772651485,5.234158464031043,0.3080842229451361,1.0,False,False,,,
2011-05-04,0.13235003684750116,0.3781517145079354,5.286229987662601,0.3049458404014231,1.0,False,False,,,
2011-05-05,0.03114929894782848,0.38142464806313375,5.258453482719178,0.3088190562297687,1.0,False,False,,,
2011-05-06,0.12380653474534234,0.39086555481179863,5.170155523806071,0.3196641249787931,0.8,False,False,,,
2011-05-08,0.04087143431534955,0.3876287818497791,5.185765010279698,0.3158910568505225,1.0,False,False,,,
2011-05-09,0.01937958395562942,0.3862052773618447,5.192650782193058,0.31425863452073777,1.0,False,False,,,
2011-05-10,0.03230107324381143,0.38601997938422783,5.181872450560927,0.3139870623175623,1.0,False,False,,,
2011-05-11,0.0361658708805079,0.3819941180505992,5.203497894752677,0.30960422703734963,1.0,False,False,,,
2011-05-12,0.06543654595118316,0.3869535824616267,5.184929322746883,0.3151531181011097,1.0,False,False,,,
2011-05-13,0.019138529335419745,0.38707569410079146,5.187242810841114,0.3153265961308227,1.0,False,False,,,
2011-05-15,0.029963249851308667,0.3871808531612505,5.195889427371725,0.31552053461878454,1.0,False,False,,,
2011-05-16,0.029487201460475645,0.38751115851626217,5.186946733921836,0.31575483941469684,1.0,False,False,,,
2011-05-17,0.029135954342777378,0.3848326320753126,5.20553064247276,0.31281753615865376,1.0,False,False,,,
2011-05-18,0.02469849722588954,0.3846880240458625,5.202964749658053,0.31273835264121885,1.0,False,False,,,
2011-05-19,0.014062023430811237,0.38653183948298786,5.19496032157209,0.31480554207483785,1.0,False,False,,,
2011-05-20,0.01584394028897822,0.38700009441912364,5.1897864840126795,0.3153588654140511,1.0,False,False,,,
2011-05-22,0.03024656398538394,0.3880148977822523,5.202761254795034,0.3165658024617723,1.0,False,False,,,
2011-05-23,0.01987217105818229,0.3886288448376744,5.1969050471355684,0.3171640208810198,1.0,False,False,,,
2011-05-24,0.040017551531648314,0.39024865935619074,5.187465107585456,0.3188460253887578,1.0,False,False,,,
2011-05-25,0.02595946886314686,0.39191390637860857,5.1876018109594755,0.32066982808858946,1.0,False,False,,,
2011-05-26,0.021625729877178517,0.39192205911591127,5.187268045712952,0.32061184935164766,1.0,False,False,,,
2011-05-27,0.03316861130217552,0.3914310200426861,5.190125378272333,0.320338965597283,1.0,False,False,,,
2011-05-29,0.028898861288010225,0.3913731206771768,5.184729820739596,0.3203536086550348,1.0,False,False,,,
2011-05-30,0.017505893613512315,0.3916712879760695,5.1805053198729984,0.32064407613212453,1.0,False,False,,,
2011-05-31,0.018910375940780638,0.3913460197014168,5.179012209545644,0.3202428193207544,1.0,False,False,,,
2011-06-01,0.03325986726509334,0.39172804630326263,5.176458454641609,0.320704482396671,1.0,False,False,,,
2011-06-02,0.042071839082486684,0.39397104694298124,5.170117808470808,0.3230090386896721,1.0,False,False,,,
2011-06-03,0.023908480657006563,0.3942595904232905,5.166863517900883,0.32327763757504013,1.0,False,False,,,
2011-06-05,0.024790319860500554,0.39309522172029937,5.172850575804328,0.32207885919423795,1.0,False,False,,,
2011-06-06,0.03730347794735227,0.3916540403347123,5.179025413794902,0.32068488987795324,1.0,False,False,,,
2011-06-07,0.03566644499273734,0.3914989098475336,5.175241292546722,0.32044345433854193,1.0,False,False,,,
2011-06-08,0.025848115439269247,0.39132757464198725,5.176094859443415,0.32020236907371813,1.0,False,False,,,
2011-06-09,0.024237278629757015,0.39148211473439315,5.181099231490511,0.32043816156711585,1.0,False,False,,,
2011-06-10,0.02490381146967384,0.3934423487424797,5.1782045665018925,0.32266360653936565,1.0,False,False,,,
2011-06-12,0.020258672304383912,0.3940653756703728,5.173327429156557,0.32350646172239345,1.0,False,False,,,
2011-06-13,0.017077168749398453,0.39409058400120217,5.169490676394527,0.32355273158467107,1.0,False,False,,,
2011-06-14,0.01976469549579067,0.3936964906529604,5.164008166752114,0.32321473523084954,1.0,False,False,,,
2011-06-15,0.03410974438268541,0.3957656700415005,5.159133452204052,0.3255556865347365,0.8,False,False,,,
2011-06-16,0.05313671760841596,0.3987204678613264,5.149140608024986,0.3285308729616142,0.8,False,False,,,
2011-06-17,0.035957430386706256,0.3996434963323855,5.14583800344847,0.3296316775267032,1.0,False,False,,,
2011-06-19,0.029310653464208525,0.39815037890232335,5.156047947876082,0.32782434776877817,1.0,False,False,,,
2011-06-20,0.028130048360847936,0.39892714618291053,5.146328069229335,0.32859851936280177,1.0,False,False,,,
2011-06-21,0.052846633185093445,0.3961164109260436,5.1642368080742775,0.32573076433365633,1.0,False,False,,,
2011-06-22,0.007084817602328421,0.3961626684088092,5.16507087287187,0.32579055942125473,1.0,False,False,,,
2011-06-23,0.02886990596695567,0.3942747264060282,5.172187792757289,0.3237526593974991,1.0,False,False,,,
2011-06-24,0.060922964823171055,0.3970061921508335,5.155909479294539,0.32703157813227907,1.0,False,False,,,
2011-06-26,0.059291465559940214,0.397118598761954,5.163678010689092,0.32757969934006753,1.0,False,False,,,
2011-06-27,0.011893676981922261,0.39665692205042336,5.163137283784114,0.327060036511067,1.0,False,False,,,
2011-06-28,0.02462598839377918,0.39617027651332365,5.163390792531235,0.32657969717484686,1.0,False,False,,,
2011-06-29,0.022275714364700855,0.39799900623373485,5.151112730372191,0.32855965821922156,1.0,False,False,,,
2011-06-30,0.035679584513608656,0.39916332222478035,5.149399734276354,0.3297253010732606,1.0,False,False,,,
2011-07-01,0.02535077668266738,0.3984110159455656,5.154858002575327,0.3289296333268833,1.0,False,False,,,
2011-07-03,0.018088669095353963,0.39726853103463117,5.160107933397924,0.32760471068248775,1.0,False,False,,,
2011-07-04,0.02872780173043744,0.39955745851921065,5.1600117836885016,0.33014978534616113,1.0,False,False,,,
2011-07-05,0.020757175446180713,0.39994370218108694,5.155714634968785,0.33053567138214873,1.0,False,False,,,
2011-07-06,0.016133253153389066,0.3985597474541879,5.150842449356551,0.32895116500731303,1.0,False,False,,,
2011-07-07,0.019578669732188768,0.3999569777812784,5.153420378033623,0.330423842920323,1.0,False,False,,,
2011-07-08,0.050023829005244276,0.40387157911887867,5.145988670736305,0.3347070662281985,1.0,False,False,,,
2011-07-10,0.04706162115876633,0.40456358032889167,5.1295917176329615,0.3352855910243856,1.0,False,False,,,
2011-07-11,0.02702077951539374,0.40518210347722283,5.120377052310655,0.33593849558999156,1.0,False,False,,,
2011-07-12,0.030892596228713,0.40583702237003194,5.118262831994537,0.3365406385999258,1.0,False,False,,,
2011-07-13,0.019365827704848487,0.40487011124254124,5.121579648145025,0.3354623122027579,1.0,False,False,,,
2011-07-14,0.02482586035885707,0.4061661293377548,5.114853987521651,0.33699992875933754,1.0,False,False,,,
2011-07-15,0.031121087452354066,0.40543651212974136,5.124809959808651,0.3363486457865946,1.0,False,False,,,
2011-07-17,0.02492528454047401,0.4047960426222784,5.126112497116704,0.3356259820834267,1.0,False,False,,,
2011-07-18,0.006756212991326409,0.40498872946715914,5.125194687551452,0.33582571144891593,1.0,False,False,,,
2011-07-19,0.024133087685423264,0.40383087334332957,5.132862184258097,0.3345842973104143,1.0,False,False,,,
2011-07-20,0.06345112832545588,0.4026059714685559,5.155048243648318,0.3332233767842976,1.0,False,False,,,
2011-07-21,0.024453036989298814,0.4011984921680031,5.162177079927635,0.33179493934245713,1.0,False,False,,,
2011-07-22,0.036563826692776615,0.4018997325270237,5.169269473176532,0.33256522813169814,1.0,False,False,,,
2011-07-24,0.011099938686436451,0.4014213342324016,5.169466684976774,0.33204681805536634,1.0,False,False,,,
2011-07-25,0.023809697915938226,0.40167314738002063,5.167533506281305,0.33232782053748433,1.0,False,False,,,
2011-07-26,0.00992102780216643,0.40149555231681316,5.172507974049583,0.33213443192542924,1.0,False,False,,,
2011-07-27,0.015337191511916794,0.40058206077944086,5.175600170617653,0.3311684863370237,1.0,False,False,,,
2011-07-28,0.01823870764435876,0.40000688981378907,5.177839761980108,0.33049599286556613,1.0,False,False,,,
2011-07-29,0.03207342031236639,0.3991278935932819,5.196695773883091,0.3294779811922131,1.0,False,False,,,
2011-07-31,0.043399191244535514,0.3992482402152283,5.189709959624816,0.32949501991642827,1.0,False,False,,,
2011-08-01,0.03224218722670375,0.39889262007576515,5.189631644201865,0.32892494342127865,1.0,False,False,,,
2011-08-02,0.03332021006169808,0.3993164176695561,5.190840770883701,0.3292835497852294,1.0,False,False,,,
2011-08-03,0.06547822155122252,0.39731833986228865,5.196789761823611,0.3262803419849799,1.0,False,False,,,
2011-08-04,0.05015300223991873,0.39614957855003796,5.212796658915756,0.32502457316299305,1.0,False,False,,,
2011-08-05,0.11350482854761469,0.4115616002862007,5.137358607460408,0.3417565986270804,1.0,False,False,,,
2011-08-07,0.10178179591377699,0.4094476819952669,5.176254523579345,0.3395939346375539,1.0,False,False,,,
2011-08-08,0.061739907469023206,0.4086811526795069,5.191221962153079,0.33844448505715957,1.0,False,False,,,
2011-08-09,0.17250060208769658,0.40979276499172146,5.209537117762951,0.3378717317458128,0.8,False,False,,,
2011-08-10,0.11056382541018202,0.40591929870958215,5.230067834555119,0.33349064105572884,1.0,False,False,,,
2011-08-11,0.11344036494307343,0.40378239384317555,5.25461202809577,0.33031830284104785,1.0,False,False,,,
2011-08-12,0.17458280499605489,0.40015073749833024,5.315578290023058,0.3225625154903415,1.0,False,False,,,
2011-08-14,0.0334526579127758,0.39928796295039964,5.336580273973903,0.3213427505376557,1.0,False,False,,,
2011-08-15,0.028127506010180093,0.40001743617349916,5.3375581817848055,0.3219961469241553,1.0,False,False,,,
2011-08-16,0.02638578368862561,0.4008580476350135,5.336504891250976,0.3232891056815684,1.0,False,False,,,
2011-08-17,0.015559457049426932,0.40040885378714774,5.338406718879674,0.32256477456523086,1.0,False,False,,,
2011-08-18,0.02566441573799385,0.39979939789892277,5.342675835184889,0.32194264728142563,1.0,False,False,,,
2011-08-19,0.11515282193998788,0.3975866571866827,5.373294455061281,0.3177224539645281,1.0,False,False,,,
2011-08-21,0.04715109047411751,0.39919668432676814,5.3728622976416585,0.3195227823260297,1.0,False,False,,,
2011-08-22,0.02028637523490248,0.39997654212403233,5.375567743671978,0.3204517152923127,1.0,False,False,,,
2011-08-23,0.04241170674922779,0.4016199170761854,5.38006621345621,0.3226732639124564,1.0,False,False,,,
2011-08-24,0.08380832674741785,0.3987442088316039,5.396490266403568,0.31821952186065755,1.0,False,False,,,
2011-08-25,0.07714788093365169,0.3954776448738019,5.394248309560646,0.3139065913091274,1.0,False,False,,,
2011-08-26,0.030402388081359314,0.39522591790790024,5.392236980345243,0.3135267534784246,1.0,False,False,0.02595946886314686,0.05015300223991873,1.0
2011-08-28,0.06564807110659199,0.39534673130900755,5.382893474368977,0.3129247985721109,1.0,False,True,0.026021902225138237,0.05012716759298384,1.0
2011-08-29,0.06278335738867115,0.3969216049013067,5.404712826496596,0.3132376601035051,1.0,False,True,0.02608433558712962,0.051306708553569086,1.0
