feature,root,horizon,spearman_ic,pvalue,observations,bh_qvalue
distance_from_equal_weight,PA,2,-4.999806455193653e-05,0.9804110656735341,241172,0.9881361920972229
distance_from_equal_weight,PA,5,0.00046371661015402244,0.8201386836563228,240410,0.9158942506550651
distance_from_equal_weight,PA,10,-0.0011262161832678056,0.5817889984278828,239170,0.7588552153407166
distance_from_equal_weight,PA,20,-0.0017993195008874899,0.38131523038609805,236742,0.5902895361311687
distance_from_equal_weight,PA,50,0.006347168526776138,0.00235221267498605,229656,0.010509886420150437
GC_signed_notional_share,GC,1,-0.0019811586030528882,0.33032737360946013,241433,0.5430039018237701
GC_signed_notional_share,GC,2,-0.0017060455493954133,0.4021302805351019,241172,0.6041362466281025
GC_signed_notional_share,GC,5,-0.0005468957764842357,0.7885834767469497,240410,0.9036972994098742
GC_signed_notional_share,GC,10,0.0009740801821853202,0.6338096400143709,239170,0.7993995459640715
GC_signed_notional_share,GC,20,-0.0013931690623272218,0.4978610695019397,236742,0.6946898644213112
GC_signed_notional_share,GC,50,-0.0018281754041233685,0.380974490023079,229656,0.5902895361311687
GC_signed_notional_share,SI,1,0.00012657511338481792,0.950408807612942,241433,0.9828897920955564
GC_signed_notional_share,SI,2,-0.0010034557280739398,0.6221628768451912,241172,0.790741098730308
GC_signed_notional_share,SI,5,-0.00010429659818821571,0.959215517324677,240410,0.9838107869996687
GC_signed_notional_share,SI,10,0.0010074296018810457,0.6222379360246828,239170,0.790741098730308
GC_signed_notional_share,SI,20,-0.002853046583110052,0.16508289630870063,236742,0.34667408224827134
GC_signed_notional_share,SI,50,-0.004583027913738292,0.028070602303986274,229656,0.08536173705289624
GC_signed_notional_share,HG,1,0.0029154477411528815,0.15199358990819725,241433,0.32322687474148276
GC_signed_notional_share,HG,2,0.0016170056749881911,0.4271395343034491,241172,0.6218322509790247
GC_signed_notional_share,HG,5,0.003056318325047308,0.1339882913344123,240410,0.2939098667953603
GC_signed_notional_share,HG,10,0.005456975803680324,0.007613625309132764,239170,0.027927708557517562
GC_signed_notional_share,HG,20,0.0028083721464207917,0.17180059548816398,236742,0.35898631893049193
GC_signed_notional_share,HG,50,-0.0011769018848467468,0.5727560419817506,229656,0.7517423051010476
GC_signed_notional_share,PL,1,0.0010871852599586916,0.5932066858794451,241433,0.7654279817799292
GC_signed_notional_share,PL,2,-0.0005313495376935192,0.79413837391665,241172,0.9075867130476
GC_signed_notional_share,PL,5,-0.0006392576050747258,0.7539488462988724,240410,0.8845209928645988
GC_signed_notional_share,PL,10,-0.0011130807132682858,0.5862009504420025,239170,0.7610646033559229
GC_signed_notional_share,PL,20,-0.0037095224683466243,0.07108921430796676,236742,0.17258653184593087
GC_signed_notional_share,PL,50,-0.0032148414495580253,0.12340784257488789,229656,0.2754299114660242
GC_signed_notional_share,PA,1,0.02625812694961575,4.256263078171258e-38,241433,7.150521971327713e-36
GC_signed_notional_share,PA,2,0.020735057782943763,2.3404735307811103e-24,241172,1.3106651772374218e-22
GC_signed_notional_share,PA,5,0.012471059394140005,9.657589526828785e-10,240410,1.1757065510922e-08
GC_signed_notional_share,PA,10,0.00972325136168546,1.9820630037310333e-06,239170,1.7343051282646542e-05
GC_signed_notional_share,PA,20,0.004444584047466434,0.03057485924766815,236742,0.08886810300360293
GC_signed_notional_share,PA,50,0.0005163358767416443,0.804568180031935,229656,0.9126647261823535
GC_notional_share,GC,1,0.004133451217353707,0.042254607958814014,241433,0.11595468929788001
GC_notional_share,GC,2,0.006194377122352976,0.0023499116803201445,241172,0.010509886420150437
GC_notional_share,GC,5,0.006828388070770061,0.0008137026511447926,240410,0.004353568324596342
GC_notional_share,GC,10,0.005937222574407518,0.0036888770639470644,239170,0.01481468720207994
GC_notional_share,GC,20,0.0007473577730709026,0.7161316491005085,236742,0.8655404104236362
GC_notional_share,GC,50,0.00607000322142505,0.003626976910157289,229656,0.014718167171652767
GC_notional_share,SI,1,-0.007288338459344986,0.000342000371125263,241433,0.001981243529277386
GC_notional_share,SI,2,-0.005945952521032457,0.0035000408162686758,241172,0.014554625176562811
GC_notional_share,SI,5,-0.007802141237171113,0.00013047792398568833,240410,0.0008118626381331718
GC_notional_share,SI,10,-0.011071192883722372,6.145827753488212e-08,239170,6.453119141162623e-07
GC_notional_share,SI,20,-0.01569016823811782,2.2641733505891424e-14,236742,4.876681062807384e-13
GC_notional_share,SI,50,-0.010161862934280425,1.1164817742837107e-06,229656,1.0084351509659323e-05
GC_notional_share,HG,1,-0.00245032405437584,0.2285962699149077,241433,0.43054005992942257
GC_notional_share,HG,2,-0.0004441266354452906,0.8273463584105429,241172,0.9158942506550651
GC_notional_share,HG,5,0.002868719985589928,0.1595532924710662,240410,0.3375938682007446
GC_notional_share,HG,10,0.0024767601459013927,0.2257975656317827,239170,0.4291175455445644
GC_notional_share,HG,20,0.0016142742456137047,0.43219568987322055,236742,0.6270196537020816
GC_notional_share,HG,50,0.0006069569435829412,0.7711530373244928,229656,0.8955746474861356
GC_notional_share,PL,1,-0.0022007416365012124,0.279542153391273,241433,0.4825458060982983
GC_notional_share,PL,2,-0.0006704920568997352,0.7419500623879945,241172,0.8792819928897841
GC_notional_share,PL,5,-0.0009303996601932357,0.6482549552897855,240410,0.8115263225684349
GC_notional_share,PL,10,-0.0005796901269086073,0.7767966041922332,239170,0.897536654087312
GC_notional_share,PL,20,-0.0004169865012578611,0.8392222024691027,236742,0.9158942506550651
GC_notional_share,PL,50,0.011225803482310979,7.456082557849175e-08,229656,7.637938229991838e-07
GC_notional_share,PA,1,-0.00011786269872118474,0.9538183118091593,241433,0.9828897920955564
GC_notional_share,PA,2,0.0006106040904807539,0.7642826799552638,241172,0.8941468679142363
GC_notional_share,PA,5,0.0015767091591434633,0.43947353182669185,240410,0.6333942067741071
GC_notional_share,PA,10,-0.0003737485743021217,0.8549699917452956,239170,0.9230989866903506
GC_notional_share,PA,20,-0.0012897095867718902,0.5303185253119841,236742,0.7243374979871002
GC_notional_share,PA,50,0.00773286077414692,0.00021071573411071966,229656,0.0012733900478633417
SI_signed_notional_share,GC,1,0.0023280733947935194,0.2526593613190407,241433,0.4589466816327264
SI_signed_notional_share,GC,2,0.0011683818809966346,0.5661160164581847,241172,0.7465266151096941
SI_signed_notional_share,GC,5,0.0011809388681249197,0.5625684730884065,240410,0.7448037154242632
SI_signed_notional_share,GC,10,0.0025118615152838965,0.21928872780365902,239170,0.42442979574901746
SI_signed_notional_share,GC,20,0.0023367588522142106,0.2555499002337117,236742,0.46064788883330005
SI_signed_notional_share,GC,50,0.000299500779664552,0.8858737557559714,229656,0.9371964166687858
SI_signed_notional_share,SI,1,-0.005660012657481872,0.005417468054527552,241433,0.020498527773888033
SI_signed_notional_share,SI,2,-0.007244062803014242,0.0003743522327156202,241172,0.0021247018613589257
SI_signed_notional_share,SI,5,-0.005807840224797152,0.004403814415979169,240410,0.01720560050894187
SI_signed_notional_share,SI,10,-0.0036192918082025884,0.07672521413557724,239170,0.18519879274104853
SI_signed_notional_share,SI,20,-0.0029871054122640028,0.14611112488946892,236742,0.3133709870385518
SI_signed_notional_share,SI,50,-0.0026902076576798472,0.19732564748547682,229656,0.39749051292038495
SI_signed_notional_share,HG,1,-0.0006654630893977338,0.7436836400883297,241433,0.8798510671467562
SI_signed_notional_share,HG,2,0.00014061955098605187,0.9449443504649807,241172,0.9828897920955564
SI_signed_notional_share,HG,5,-0.001962498115696333,0.3359287642017734,240410,0.5479226445232809
SI_signed_notional_share,HG,10,0.0003081731085794783,0.8802034547160184,239170,0.9370278043508489
SI_signed_notional_share,HG,20,-0.0006256383044529144,0.7608156458677692,236742,0.891332137418307
SI_signed_notional_share,HG,50,-0.0026592187215444645,0.20253666132823156,229656,0.40220046221209105
SI_signed_notional_share,PL,1,-0.0019143756674587459,0.3468891679513564,241433,0.5603594251521911
SI_signed_notional_share,PL,2,-0.0032758290379192264,0.1076750492362881,241172,0.2475211563175687
SI_signed_notional_share,PL,5,-0.0027129588449388937,0.18345130729519177,240410,0.3758514588486856
SI_signed_notional_share,PL,10,-0.0003337258562432491,0.8703548133812518,239170,0.9335289295221291
SI_signed_notional_share,PL,20,0.0005831160273500714,0.7766247526065978,236742,0.897536654087312
SI_signed_notional_share,PL,50,-0.00018697894056745947,0.9286016047153205,229656,0.9750316849510865
SI_signed_notional_share,PA,1,0.02033916687488396,1.6060959184204658e-23,241433,7.936003361607007e-22
SI_signed_notional_share,PA,2,0.016605627970991826,3.479627807952366e-16,241172,9.13402299587496e-15
SI_signed_notional_share,PA,5,0.009004306102882643,1.0099882687582966e-05,240410,8.317550448597738e-05
