variant,target_months,min_volume,lookback,entry_z,exit_z,side_mode,cost_multiplier,gross_return,cost_return,net_return,ann_return,ann_vol,sharpe,tstat,max_drawdown,mean_spread_exposure,mean_leg_gross_exposure,mean_turnover,active_fraction,event_count,event_win_rate,mean_event_net_return,event_tstat,bars,periods_per_year
target1m_minv10_lb252_entry2p0_exit0p25_backwardation_only_costx1p0,1,10.0,252,2.0,0.25,backwardation_only,1.0,0.02520057765281161,0.0029963340258726615,0.022754313027955702,0.007589966057955087,0.005323946830272956,1.4256276968802775,2.4684144009781637,-0.004938546237456674,0.017130620985010708,0.034261241970021415,0.013276231263383297,0.08244111349036402,31,0.9032258064516129,0.0007618176896131397,3.5000065303094097,934,311.54657534246576
target1m_minv10_lb126_entry2p0_exit0p25_backwardation_only_costx1p0,1,10.0,126,2.0,0.25,backwardation_only,1.0,0.024893181667429758,0.0028400494894722872,0.022559138524743613,0.007524863329828863,0.0052443068929932946,1.434863268563197,2.48440540493612,-0.0049385462374566735,0.01113490364025696,0.02226980728051392,0.011991434689507495,0.05353319057815846,28,0.8928571428571429,0.0008360402209978917,3.4821732098964273,934,311.54657534246576
target3m_minv10_lb252_entry2p0_exit0p25_contango_only_costx3p0,3,10.0,252,2.0,0.25,contango_only,3.0,0.043793799322148365,0.027363551402840827,0.022272843894358407,0.0074293664222962645,0.005565106463491273,1.3349908885005308,2.311480579088441,-0.002483896720580274,0.04365591397849463,0.08731182795698926,0.015913978494623657,0.2,37,0.7837837837837838,0.0007972124279289072,4.122679055566307,930,310.2123287671233
target1m_minv10_lb126_entry1p5_exit0p25_contango_only_costx3p0,1,10.0,126,1.5,0.25,contango_only,3.0,0.041830561859403495,0.024084140638992113,0.022187191780804003,0.0074007961625010615,0.005110468815756471,1.4481638435368416,2.507434791134269,-0.0026620447865618596,0.02119914346895075,0.0423982869379015,0.021413276231263382,0.09850107066381156,50,0.78,0.0005834665550509812,4.6612733054372955,934,311.54657534246576
target1m_minv10_lb126_entry1p5_exit0p25_backwardation_only_costx3p0,1,10.0,126,1.5,0.25,backwardation_only,3.0,0.03527206487529664,0.016049630955456515,0.021950890106877813,0.007321974987705134,0.0053757485670803224,1.3620382159506106,2.358311889066389,-0.005364992994705487,0.02569593147751606,0.05139186295503212,0.021841541755888653,0.12312633832976445,51,0.8627450980392157,0.0005231662885938304,3.7472908282089845,934,311.54657534246576
target6m_minv10_lb126_entry2p0_exit0p25_backwardation_only_costx1p0,6,10.0,126,2.0,0.25,backwardation_only,1.0,0.02335346272943771,0.002456883872135736,0.021704310950692814,0.007252973078445152,0.00594855231497666,1.2192837339909333,2.109209645699725,-0.003622355312385861,0.01205098493626883,0.02410196987253766,0.010196987253765933,0.05909617612977984,22,0.7727272727272727,0.001001022431612581,3.2128054193876703,863,288.39043915828
target3m_minv10_lb126_entry2p0_exit0p25_contango_only_costx3p0,3,10.0,126,2.0,0.25,contango_only,3.0,0.03951646460746628,0.022032634570999226,0.021693011426276165,0.007235956551093489,0.005263205841931175,1.374819220150142,2.3804416603202196,-0.0024377037882443667,0.039354838709677424,0.07870967741935485,0.015913978494623657,0.18494623655913978,37,0.8378378378378378,0.0007684879119086692,4.176533540978349,930,310.2123287671233
target6m_minv10_lb126_entry1p5_exit0p25_backwardation_only_costx3p0,6,10.0,126,1.5,0.25,backwardation_only,3.0,0.030053424476400498,0.01380594574645034,0.021690038331106522,0.007248203568560529,0.00591663197371113,1.2250556736950786,2.119194385558865,-0.0036664183666164675,0.019235225955967557,0.038470451911935113,0.019003476245654696,0.09385863267670916,41,0.6585365853658537,0.0005571431636462472,3.154481807941213,863,288.39043915828
target1m_minv500_lb126_entry1p5_exit0p25_contango_only_costx1p0,1,500.0,126,1.5,0.25,contango_only,1.0,0.033463675429360816,0.012523917241788456,0.021580456146542967,0.007211584270379523,0.004621065406008361,1.560589092940113,2.6996255884010245,-0.004439147056099494,0.09602977667493798,0.19205955334987596,0.035483870967741936,0.38461538461538464,72,0.8611111111111112,0.00035472690638313237,3.5032032020777097,806,269.3426349496798
target1m_minv1000_lb252_entry2p0_exit0p25_both_costx1p0,1,1000.0,252,2.0,0.25,both,1.0,0.028173617794365606,0.006751179753368987,0.02156902839312029,0.007207765435120938,0.005545430662956885,1.2997665777823786,2.2484349840732816,-0.007065735575793033,0.11282051282051282,0.22564102564102564,0.02512820512820513,0.4371794871794872,44,0.8409090909090909,0.00048634892579704677,6.4255909484093126,780,260.6541628545288
target6m_minv10_lb252_entry2p0_exit0p25_backwardation_only_costx1p0,6,10.0,252,2.0,0.25,backwardation_only,1.0,0.022968455518168136,0.0026331360890581522,0.021275240685192636,0.007109589808112179,0.006232257974398019,1.1407727082733452,1.9733953080514322,-0.004534342942161748,0.015063731170336037,0.030127462340672075,0.012050984936268832,0.07300115874855156,26,0.7307692307692307,0.000828821545221,2.9614175497130772,863,288.39043915828
