root,horizon,test_start,test_end,train_rows,test_rows,train_target_mean,train_target_std,train_pred_std,test_pred_std,train_r2,threshold_q80,threshold_q90,threshold_q95
SI,1d,2025-09-14 00:00:00+00:00,2025-12-13 00:00:00+00:00,23874,10502,0.0032371565753460895,0.029950427780766346,0.019975172398350352,0.014480599582800442,0.7065951952457682,0.017045402098205605,0.026431006266939554,0.03777678561196017
SI,1d,2025-12-13 00:00:00+00:00,2026-03-13 00:00:00+00:00,26070,1871,0.008353947839888,0.03458913690932749,0.022420964910098633,0.036090043367636174,0.6885334875415461,0.02011832760909156,0.031074517581338272,0.052974195595078474
SI,1d,2026-03-13 00:00:00+00:00,2026-06-11 00:00:00+00:00,25436,2222,0.008691519112935314,0.06299575258326953,0.051436480181077174,0.07563781036285021,0.8402465148101418,0.019097729205801044,0.05606241069126428,0.09903874072333191
SI,1d,2026-06-11 00:00:00+00:00,2026-06-21 23:55:00+00:00,24308,383,0.0065648969772832974,0.06819133204885969,0.055190050482726495,0.02563564307075477,0.8509118710250853,0.02470342347118145,0.07997946596272712,0.11876233785611319
HG,15m,2024-06-21 00:00:00+00:00,2024-09-19 00:00:00+00:00,31586,14362,1.3024757975216757e-05,0.0019462490112746836,0.00015664627488925264,6.694243996446029e-05,0.04130403839995178,2.5427521827589852e-05,8.159963521846643e-05,0.00019326801527878512
HG,15m,2024-09-19 00:00:00+00:00,2024-12-18 00:00:00+00:00,33896,11645,8.746437003890854e-06,0.001983484241852252,0.0001347836533482261,8.698158261671572e-05,0.04069493089542675,3.067218282293577e-05,7.155163332240062e-05,0.0001803445385978828
HG,15m,2024-12-18 00:00:00+00:00,2025-03-18 00:00:00+00:00,33563,3713,3.6547527427782255e-06,0.0021064854355043465,0.00013448813625708655,0.00015852048783999696,0.03881772720875387,4.0079966830161944e-05,8.748797646114893e-05,0.00018999442204600283
HG,15m,2025-03-18 00:00:00+00:00,2025-06-16 00:00:00+00:00,33717,3891,1.4011116316776691e-05,0.002232657485135019,0.0001459680348256422,0.0002913511238717726,0.03940253466120536,2.714063816403638e-05,7.497755077463381e-05,0.0002098512495452714
HG,15m,2025-06-16 00:00:00+00:00,2025-09-14 00:00:00+00:00,33666,10424,1.7905402164188127e-06,0.0025338169517841198,0.00016948194658358243,0.0002027824326169453,0.04191197169530836,2.1992189063464834e-05,0.0001050442963466675,0.0002575494132226854
HG,15m,2025-09-14 00:00:00+00:00,2025-12-13 00:00:00+00:00,30207,8698,3.7674384969388378e-06,0.0033956152121158967,0.000205847411889026,0.00018290061437132782,0.037897169625736526,5.295642798980356e-05,0.00013468209493502388,0.00026780384945001006
HG,15m,2025-12-13 00:00:00+00:00,2026-03-13 00:00:00+00:00,26931,1613,1.9692182996713337e-05,0.0036842746959882835,0.00024255958780706698,0.000737192773750912,0.03505890343750073,7.386168675736884e-05,0.00017675000227357243,0.0003862623398631583
HG,15m,2026-03-13 00:00:00+00:00,2026-06-11 00:00:00+00:00,24891,2250,1.5027195710784777e-05,0.004127183936800341,0.0003373934992360825,0.0004946875863893692,0.055115183374086274,6.275309349654688e-05,0.0002499632635472457,0.0005742204631035724
HG,15m,2026-06-11 00:00:00+00:00,2026-06-21 23:55:00+00:00,23144,260,2.2338041760262334e-05,0.004073855743969277,0.000272061419188134,0.0004561208588347167,0.04243886492063409,6.31089048336664e-05,0.00022649146033118972,0.0005134874905328021
HG,1h,2024-06-21 00:00:00+00:00,2024-09-19 00:00:00+00:00,31586,14362,4.837478936600252e-05,0.00391008652517128,0.001511538092038481,0.000768836796304673,0.36075113134332726,0.0005780485137553734,0.0011306984349257283,0.0020523701115421817
HG,1h,2024-09-19 00:00:00+00:00,2024-12-18 00:00:00+00:00,33892,11645,3.503263685780489e-05,0.0039832854877415854,0.0010772475680417034,0.0005797456846942148,0.23287166471762688,0.0004142421598027417,0.0008001662812729074,0.001497672813401422
HG,1h,2024-12-18 00:00:00+00:00,2025-03-18 00:00:00+00:00,33563,3713,1.4913120094027626e-05,0.004198977884332689,0.0014341977859248405,0.0019768918647733477,0.31066892601253837,0.0007083180818048403,0.001206435827435316,0.002015159548275445
HG,1h,2025-03-18 00:00:00+00:00,2025-06-16 00:00:00+00:00,33717,3891,5.662569478414562e-05,0.004479293186653577,0.0015865398800933303,0.003145920606984016,0.34239463031923645,0.0007719097194474943,0.0014537442055162332,0.002575191798701541
HG,1h,2025-06-16 00:00:00+00:00,2025-09-14 00:00:00+00:00,33666,10424,1.1786793944245934e-05,0.004853713834496391,0.001706852352259984,0.00192335415802777,0.3541443642671629,0.0007669286873560041,0.0016053715730446885,0.002852497224149872
HG,1h,2025-09-14 00:00:00+00:00,2025-12-13 00:00:00+00:00,30207,8698,1.6114930417666403e-05,0.006700075176885369,0.0030513465916379434,0.0026841924107145554,0.4866244550606391,0.0010722044113269538,0.002098947209413353,0.0035400845003923987
HG,1h,2025-12-13 00:00:00+00:00,2026-03-13 00:00:00+00:00,26931,1613,8.199256511311458e-05,0.0072271155797898326,0.0029614848885454854,0.006049076464148739,0.46660503621812344,0.0014123016022651426,0.0025795646776125515,0.004153924376694908
HG,1h,2026-03-13 00:00:00+00:00,2026-06-11 00:00:00+00:00,24891,2250,5.8662919677660025e-05,0.008069239729425104,0.0033889109189859557,0.0026640045428181713,0.46894368670057884,0.001384558916945462,0.002895726822131658,0.0054170244723636225
HG,1h,2026-06-11 00:00:00+00:00,2026-06-21 23:55:00+00:00,23144,260,9.24969676759123e-05,0.008193278859868997,0.0036399762830629963,0.003008704313817265,0.4985757430281197,0.0012106087268618578,0.0027747818169054886,0.00554406131383304
HG,4h,2024-06-21 00:00:00+00:00,2024-09-19 00:00:00+00:00,31586,14362,0.00019197947086934427,0.007808788825960117,0.0043006873836487205,0.0027136820490601733,0.5709558339733193,0.0025946890057062014,0.004794550589996065,0.00819358335663187
HG,4h,2024-09-19 00:00:00+00:00,2024-12-18 00:00:00+00:00,33876,11645,0.00013927414056956399,0.007908317656670091,0.00416249406868922,0.0022274397197887944,0.5496091680860626,0.002732072961551935,0.004646773166391489,0.007302993698025232
HG,4h,2024-12-18 00:00:00+00:00,2025-03-18 00:00:00+00:00,33556,3713,4.5189728253008506e-05,0.008318126976638572,0.004193186842668851,0.003717989685686659,0.5231423164389164,0.0028823941599420235,0.0048255723737734724,0.007357257302231055
HG,4h,2025-03-18 00:00:00+00:00,2025-06-16 00:00:00+00:00,33716,3891,0.00023312504322143589,0.0090273546479508,0.004881322232099738,0.006889265699582104,0.5729937963055745,0.0033477887473376705,0.005728673452311022,0.008977876930007456
HG,4h,2025-06-16 00:00:00+00:00,2025-09-14 00:00:00+00:00,33666,10424,4.1741231621521996e-05,0.00954921117087728,0.005343645127885818,0.005109860588262015,0.5813621558239601,0.0032329714809860004,0.005964052217775116,0.00999778986530257
HG,4h,2025-09-14 00:00:00+00:00,2025-12-13 00:00:00+00:00,30207,8698,6.425727373440032e-05,0.013345276611789395,0.008317818788809496,0.006678817562470658,0.6702893319712957,0.0036966173305817453,0.007251975406711195,0.012003860633325897
HG,4h,2025-12-13 00:00:00+00:00,2026-03-13 00:00:00+00:00,26931,1613,0.000324092413782608,0.014395116429582811,0.008822236252211943,0.014818797086184929,0.6750142575352087,0.004736868865509801,0.008636295612383207,0.014095522653655549
HG,4h,2026-03-13 00:00:00+00:00,2026-06-11 00:00:00+00:00,24891,2250,0.00022953965554137882,0.015894247339709136,0.009486769042113926,0.00559334320846575,0.6593880036706798,0.004780525948625134,0.009390879075041663,0.017009889586899155
HG,4h,2026-06-11 00:00:00+00:00,2026-06-21 23:55:00+00:00,23144,260,0.00037976497290580517,0.01613862594311818,0.009470034284337759,0.0088152100554198,0.6535565233684218,0.004185974345687494,0.008573690408194886,0.01614112896576042
HG,1d,2024-06-21 00:00:00+00:00,2024-09-19 00:00:00+00:00,31567,14362,0.0012366956201632989,0.01962724954746137,0.013860324292367499,0.013587379687337739,0.7499660682048196,0.010770439679806494,0.017987304164768677,0.024967444565543485
HG,1d,2024-09-19 00:00:00+00:00,2024-12-18 00:00:00+00:00,33705,11645,0.0008921616159885127,0.019741011062088105,0.013681084658118,0.00872341532353741,0.7351124483157478,0.011880257408900786,0.017644044352023186,0.024418193495372914
HG,1d,2024-12-18 00:00:00+00:00,2025-03-18 00:00:00+00:00,33479,3713,0.0001911950755690579,0.020940573017020483,0.014213900654402754,0.010412814606493941,0.7195401937127339,0.012822548350370782,0.01842076712549861,0.02489148126084742
HG,1d,2025-03-18 00:00:00+00:00,2025-06-16 00:00:00+00:00,33630,3891,0.0014526684618634226,0.02195760850806993,0.01589278716539072,0.013839844707679547,0.7661505479438079,0.01376913285838768,0.020892992511229422,0.030581752276197218
HG,1d,2025-06-16 00:00:00+00:00,2025-09-14 00:00:00+00:00,33666,10424,0.00034593082812510364,0.023217323398793305,0.01674501403285337,0.015713697203605628,0.7657040863643854,0.01352314579517086,0.020578484068577693,0.033699040149467896
HG,1d,2025-09-14 00:00:00+00:00,2025-12-13 00:00:00+00:00,30207,8698,0.00029556518648782943,0.03476683934165931,0.026717709428650618,0.020932158999012906,0.819517223376633,0.015589967552530089,0.026818333763768305,0.04616977373084145
