root,horizon,threshold,gross_return,cost_return,net_return,ann_return,ann_vol,sharpe,tstat,max_drawdown,mean_exposure,mean_turnover,gross_to_cost,bars
PA,1d,q80,-0.029616423189721353,1.2899496550438192,-1.31956607823354,-0.43895401646156695,0.16040601364555349,-2.736518453924779,-4.7446528156413725,-1.3379094305188277,0.10160202894150981,0.007292299129730824,-0.022959363626261282,316224
PA,4h,q80,-0.04079795763065963,1.378333022561999,-1.4191309801926584,-0.4720743083017928,0.1894117199368066,-2.4923183658291626,-4.321251820884336,-1.5064794711053249,0.10702223740133576,0.0077919449504148955,-0.029599492258282952,316224
SI,1h,q90,-0.7197258468886196,0.7347167694897915,-1.4544426163784105,-0.48382073372697126,0.30473626888480965,-1.5876703337529399,-2.752747568190975,-1.5107604374873747,0.1755496104027525,0.012427899210686096,-0.9795963244290967,316224
PL,1h,q95,0.0858138706881233,1.543548469780079,-1.457734599091955,-0.4849158126760807,0.20520007511931734,-2.3631366235812417,-4.097272875590914,-1.5077446811332473,0.0726067597652297,0.019043462861768872,0.05559519015321226,316224
PA,15m,q90,0.5022408846150883,1.975200447510722,-1.4729595628956331,-0.4899804010452004,0.19727458352123028,-2.483748247236673,-4.3063927077466495,-1.5523379662610803,0.10046992005666869,0.011166135397692775,0.2542733752658093,316224
SI,1d,q80,-0.5597535563250418,0.9151243223034426,-1.474877878628484,-0.4906185292978632,0.3089747287231955,-1.5878920950114306,-2.753132064110595,-1.5335510601538842,0.2631710433110706,0.015479533495243877,-0.6116694122128634,316224
SI,15m,q80,0.6040097232719281,2.0919798093106277,-1.4879700860386984,-0.49497365566997686,0.340256131076307,-1.454708998495526,-2.5222154580216696,-1.649589163891851,0.25822834446468323,0.03538630843958713,0.2887263636980168,316224
PL,1d,q90,0.26686196730136835,1.8526682729276671,-1.5858063056262979,-0.5275189008469994,0.19379014943297063,-2.722114113594102,-4.719678164434696,-1.5951799400296842,0.13238716858935437,0.022857215138635905,0.14404195894155483,316224
PL,4h,q90,0.11619620359262672,1.7198954221561493,-1.6036992185635222,-0.533470983224341,0.17933335097504868,-2.974744966978088,-5.157696657643498,-1.6165689184829177,0.08563866120218579,0.021219135802469136,0.06756004004415407,316224
PA,1h,q80,0.22093330438844472,2.2291627820249866,-2.008229477636541,-0.6680380844323739,0.23560049239606257,-2.8354698143387176,-4.916217472962131,-2.05039852656768,0.15591479457599677,0.012601826553329285,0.09911044010332319,316224
SI,1h,q80,-0.5903457971902242,1.4984109179289256,-2.0887567151191493,-0.6948254919829411,0.3358674420539991,-2.068749170011038,-3.586855612199877,-2.1786343596123223,0.2621148299939284,0.02534595729609391,-0.39398124381407246,316224
PL,4h,q80,0.6666819942994229,3.1152919464807507,-2.448609952181327,-0.814530769612231,0.24595033765158478,-3.311769267688918,-5.742038888193338,-2.4982379898621794,0.1610598816029144,0.03843478040882412,0.2140030551719408,316224
PL,1h,q90,0.1945707582743177,2.6867278412877433,-2.4921570830134243,-0.8290167345816514,0.24152268603098162,-3.4324590712580445,-5.9512942708866925,-2.5078321282078,0.12340935539364502,0.033147389192471156,0.07241922880475318,316224
PL,15m,q95,-0.17004874868731523,2.5093556159327424,-2.6794043646200563,-0.891304593968557,0.20516057668076146,-4.344424296269477,-7.532485278903351,-2.7009110405571777,0.05155206435944141,0.030959066990487755,-0.06776590277106145,316224
PL,1d,q80,-0.18431696852939883,2.728764033423899,-2.913081001953297,-0.9690371912235354,0.24183209444809722,-4.007066115169892,-6.947564157126115,-2.9259147542975006,0.22817053734061932,0.033666008905079946,-0.06754595350559803,316224
PA,15m,q80,0.6869629006769911,3.796569084467649,-3.1096061837906572,-1.0344113466571379,0.26468551587008116,-3.9080768860993165,-6.775933842061268,-3.1802313392619523,0.21468326249747013,0.021462634082169602,0.18094307923631955,316224
PL,15m,q90,0.16660003434619863,3.8232429384323576,-3.6566429040861577,-1.216383261127021,0.24423969472792378,-4.980284889735218,-8.634958295599315,-3.708165048233846,0.10078615158874722,0.04716909532483303,0.04357558152307987,316224
PL,1h,q80,0.24293786778976223,4.085200184549136,-3.8422623167593724,-1.2781296094684524,0.2776887447937972,-4.6027418591183835,-7.980363549244581,-3.8475450081888987,0.20662568306010928,0.05040098158267557,0.05946780006242806,316224
PL,15m,q80,0.23406594176685847,5.497513713026094,-5.263447771259234,-1.750887339209868,0.26844414983545967,-6.522352378634656,-11.308638366209522,-5.330582568337478,0.16001947986237602,0.06782533900020239,0.04257669084339899,316224
