strategy,root,side,event_count,normalized_fraction,hit_rate,mean_trade_return_bp,median_trade_return_bp,p10_trade_return_bp,p90_trade_return_bp,mean_duration_hours,median_duration_hours,mean_mfe_bp,mean_mae_bp,trade_tstat
event_20D_pure,HG,long_cheap,91,0.989010989010989,0.6373626373626373,-0.13007895875583195,10.733483798737995,-73.5449099403815,45.79260515351211,193.75549450549445,181.0,27.909325040348385,-54.6537228635272,-0.02275861284341313
event_20D_pure,PL,short_rich,103,1.0,0.6601941747572816,-1.0461668150138663,20.46019625788146,-81.15009429984023,60.31837741151933,171.35355987055019,169.0,32.501772578386436,-66.10339626983256,-0.12111418979886476
event_20D_pure,SI,long_cheap,87,1.0,0.5747126436781609,-15.939033205298397,14.359294823180903,-103.01957361160183,45.546716751661414,215.99425287356325,179.0,24.510444633275213,-63.46959481039195,-1.5668804156418172
event_20D_pure,PL,long_cheap,68,1.0,0.5441176470588235,-17.60117900259926,13.887325949305499,-110.33548499514417,59.866970829617344,198.71446078431373,192.0,30.235718010504282,-75.58518757532993,-1.5295098403292813
event_20D_pure,PA,short_rich,75,1.0,0.6,-34.4027831099027,15.113212367045097,-204.13590257481889,62.950118909290644,218.54666666666665,187.0,40.891277050942456,-129.31954627036723,-1.9974127246793032
event_252D_pure,HG,long_cheap,14,1.0,0.8571428571428571,85.16605021365012,79.03155117940759,-1.6926123501935617,199.0876296556341,1340.1309523809525,1174.0,116.50756820633065,-125.1873520052252,3.937105895921955
event_252D_pure,SI,short_rich,6,1.0,0.6666666666666666,75.42284564761808,110.96291997486256,-74.08908985157453,189.39470681956624,1881.0694444444443,1793.875,110.27897667997765,-140.93244110627543,1.489080844767665
event_252D_pure,GC,short_rich,3,1.0,0.6666666666666666,29.261674914472696,36.76521228951721,-23.655070798143356,79.17700567707095,2292.0833333333335,2498.25,64.38323642596407,-54.906561565876196,0.7845896431406122
event_252D_pure,GC,long_cheap,12,1.0,0.75,9.335291936347998,51.391262409377134,-38.44015663346467,83.3373447218546,1829.2569444444443,1558.5,55.06991236657282,-94.30258302373153,0.2669578171216502
event_252D_pure,PA,long_cheap,6,1.0,0.6666666666666666,2.3707492370746976,68.83194013247247,-227.6018899066553,165.88219748540692,2530.9166666666665,2219.0,222.90798274731415,-307.60870984083255,0.027693944558152404
event_252D_pure,PL,long_cheap,3,1.0,0.6666666666666666,2.370161165287224,142.8944646431926,-246.73841980454404,195.2690207439563,1460.1666666666667,507.0,129.24377070538935,-300.1912283972314,0.013599254697562062
