window,root,side,start_ts,end_ts,observations,max_abs_z,max_abs_deviation_bp,latest_z,latest_deviation_bp,duration_hours
20D,GC,rich,2017-05-18 14:20:00+00:00,2017-05-18 19:20:00+00:00,6,2.8956634926400495,30.119920591466336,2.6500759191623096,26.78388911296384,5.0
20D,GC,rich,2017-05-19 10:20:00+00:00,2017-05-19 20:20:00+00:00,11,3.4908125936129446,38.19197082313445,2.735930838812723,31.271227321794502,10.0
20D,GC,rich,2017-05-21 22:20:00+00:00,2017-05-23 08:20:00+00:00,34,3.885578622449875,42.89935263590265,2.718826832193591,28.655095738169127,34.0
20D,GC,rich,2017-05-23 10:20:00+00:00,2017-05-23 10:20:00+00:00,1,2.5046041114251087,26.403310870872758,2.5046041114251087,26.403310870872758,0.0
20D,GC,cheap,2017-06-20 08:15:00+00:00,2017-06-20 09:15:00+00:00,2,2.5463824247645412,32.42622921724426,-2.508816400759407,-31.999637796026587,1.0
20D,GC,cheap,2017-06-20 14:15:00+00:00,2017-06-22 13:15:00+00:00,46,3.518890196310118,45.683237464128645,-2.872787925338051,-42.66176533894727,47.0
20D,GC,cheap,2017-06-22 19:15:00+00:00,2017-06-23 06:15:00+00:00,11,2.7253507363420795,45.45272568693923,-2.595730486831111,-43.485669429107006,11.0
20D,GC,cheap,2017-08-03 13:10:00+00:00,2017-08-03 15:10:00+00:00,3,2.5899162555259587,17.563519142349687,-2.561722739863046,-17.372324793505715,2.0
20D,GC,cheap,2017-08-03 17:10:00+00:00,2017-08-03 20:10:00+00:00,4,2.633862987933201,17.861543943047952,-2.601875405407093,-17.64462012676004,3.0
20D,GC,cheap,2017-08-03 23:10:00+00:00,2017-08-04 13:10:00+00:00,15,3.069287002496018,20.69368816713319,-2.5577376606792837,-18.332299997485222,14.0
20D,GC,cheap,2017-08-07 14:10:00+00:00,2017-08-07 23:10:00+00:00,9,2.9403188324338863,23.05056834440383,-2.5869406527693153,-21.992335341092726,9.0
20D,GC,rich,2017-08-17 18:10:00+00:00,2017-08-18 20:10:00+00:00,26,3.317759613245975,54.095666916750936,2.6080801773822118,48.42563380694935,26.0
20D,GC,rich,2017-08-20 22:10:00+00:00,2017-08-21 09:10:00+00:00,12,2.9233170819408008,52.60765568598665,2.524897496952041,49.37847988603189,11.0
