variant,target_months,lookback,lookback_bars,score_method,entry_threshold,exit_threshold,funding_scaled_filter,cost_multiplier,split,observations,active_fraction,gross_excess_return,price_return,carry_return,cost_return,net_return,annualized_net_return,sharpe,tstat,max_drawdown,turnover,gross_to_cost
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0_costx0,6,2w,336,pressure_vol_scaled,1.0,0.5,0.0,0.0,full,59018,0.7568538412009895,-0.1910820991309924,-0.18580126696041815,-0.005280832170574143,0.0,-0.1910820991309924,-0.019111262133837015,-0.20174623693722246,-0.6379266710025912,-0.47843273688394755,237.6,inf
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0_costx0,6,2w,336,pressure_vol_scaled,1.0,0.5,0.0,0.0,train,41313,0.7454070147411227,-0.029386142683105076,-0.03265906728975816,0.0032729246066530555,0.0,-0.029386142683105076,-0.004199046844346082,-0.05441413817719468,-0.14394867999968253,-0.2743212589607347,152.6,inf
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0_costx0,6,2w,336,pressure_vol_scaled,1.0,0.5,0.0,0.0,test,17591,0.7821613324995736,-0.16787264193848322,-0.15897207284979992,-0.008900569088683391,0.0,-0.16787264193848322,-0.05631516510017772,-0.4439765445417991,-0.7665443882362697,-0.2862915341094394,84.0,inf
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0_costx1,6,2w,336,pressure_vol_scaled,1.0,0.5,0.0,1.0,full,59018,0.7568538412009895,-0.1910820991309924,-0.18580126696041815,-0.005280832170574143,0.033232294618298325,-0.2243143937492906,-0.022435022426651317,-0.2368315977256005,-0.7488674634973698,-0.4958394304288804,237.6,-5.749891824375528
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0_costx1,6,2w,336,pressure_vol_scaled,1.0,0.5,0.0,1.0,train,41313,0.7454070147411227,-0.029386142683105076,-0.03265906728975816,0.0032729246066530555,0.02065649470486028,-0.050042637387965286,-0.0071506961928521975,-0.09266264872498929,-0.24513235743622952,-0.2806283316208653,152.6,-1.4226103268233015
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0_costx1,6,2w,336,pressure_vol_scaled,1.0,0.5,0.0,1.0,test,17591,0.7821613324995736,-0.16787264193848322,-0.15897207284979992,-0.008900569088683391,0.012489354772690683,-0.18036199671117398,-0.06050488933336463,-0.4770060934614058,-0.8235713093238007,-0.29358283121428924,84.0,-13.441258174966316
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0_costx2,6,2w,336,pressure_vol_scaled,1.0,0.5,0.0,2.0,full,59018,0.7568538412009895,-0.1910820991309924,-0.18580126696041815,-0.005280832170574143,0.06646458923659665,-0.257546688367589,-0.02575878271946563,-0.2719122850057367,-0.8597934782416442,-0.5132707989934391,237.6,-2.874945912187764
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0_costx2,6,2w,336,pressure_vol_scaled,1.0,0.5,0.0,2.0,train,41313,0.7454070147411227,-0.029386142683105076,-0.03265906728975816,0.0032729246066530555,0.04131298940972056,-0.0706991320928256,-0.010102345541358328,-0.1309077555129556,-0.34630703047151745,-0.28693540428099606,152.6,-0.7113051634116507
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0_costx2,6,2w,336,pressure_vol_scaled,1.0,0.5,0.0,2.0,test,17591,0.7821613324995736,-0.16787264193848322,-0.15897207284979992,-0.008900569088683391,0.024978709545381367,-0.19285135148386465,-0.06469461356655151,-0.5100294996355255,-0.8805876246999731,-0.3008988033387643,84.0,-6.720629087483158
target6m_lb2w_pressure_vol_scaled_entry1_exit0p5_filt0_costx3,6,2w,336,pressure_vol_scaled,1.0,0.5,0.0,3.0,full,59018,0.7568538412009895,-0.1910820991309924,-0.18580126696041815,-0.005280832170574143,0.09969688385489497,-0.29077898298588734,-0.029082543012279947,-0.3069866742765328,-0.9706995785221185,-0.531176301649802,237.6,-1.9166306081251758
