target_months,lookback,root,pressure_state,observations,next_excess_bp,next_return_bp,next_funding_paid_bp,positive_excess_fraction
6,3d,PL,shorts_pay_and_lose,931,1.353978670961694,1.345933151858513,-0.008045519103181197,0.5037593984962406
6,3d,PL,shorts_pay_and_win,658,-2.2616811000458394,-2.2663667228345052,-0.004685622788666285,0.49240121580547114
6,3d,SI,longs_pay_and_lose,22769,0.05212398102762493,0.10742936240436893,0.055305381376744046,0.480477842680838
6,3d,SI,longs_pay_and_win,25228,0.22413825497240625,0.28198406558284417,0.05784581061043796,0.4843824322181703
6,3d,SI,shorts_pay_and_lose,59,-2.2589577614636873,-2.2540764116067113,0.004881349856976459,0.4576271186440678
6,3d,SI,shorts_pay_and_win,5,7.876314176764205,7.878607319430131,0.0022931426659258377,0.4
6,1w,GC,longs_pay_and_lose,26743,0.12568384996780088,0.17843721868122317,0.05275336871342233,0.4944845380099465
6,1w,GC,longs_pay_and_win,30938,0.05620547369299831,0.10993860401456007,0.05373313032156175,0.49919193225159997
6,1w,GC,shorts_pay_and_lose,24,-7.033350056119677,-7.034687718106744,-0.0013376619870671324,0.5
6,1w,HG,longs_pay_and_lose,23028,0.09163332686577753,0.135645978005967,0.0440126511401896,0.48480111169011636
6,1w,HG,longs_pay_and_win,25232,0.1305035017999643,0.1707761088484035,0.04027260704843915,0.4829185161699429
6,1w,HG,shorts_pay_and_lose,4726,-0.2632409047582967,-0.2800848883288809,-0.016843983570584257,0.5044435040203131
6,1w,HG,shorts_pay_and_win,3202,1.1265435317494958,1.1154170770405711,-0.011126454708924934,0.5259212991880075
6,1w,PA,longs_pay_and_lose,623,1.5448764820222194,1.6036829804065458,0.05880649838432692,0.4767255216693419
6,1w,PA,longs_pay_and_win,974,-0.7976610855366935,-0.7434382332888965,0.05422285224779695,0.48357289527720737
6,1w,PA,shorts_pay_and_lose,1072,0.9272722621621015,0.8915953836431119,-0.03567687851898966,0.5261194029850746
6,1w,PA,shorts_pay_and_win,627,2.640365458321799,2.6130097191269246,-0.027355739194874475,0.5566188197767146
6,1w,PL,longs_pay_and_lose,18905,-0.2486807994873228,-0.20729935601022856,0.04138144347709429,0.49013488495107116
6,1w,PL,longs_pay_and_win,16461,-0.06767895085591004,-0.028602162849468902,0.0390767880064411,0.49802563635259095
6,1w,PL,shorts_pay_and_lose,652,-4.2222869768538365,-4.234206514341934,-0.011919537488096878,0.455521472392638
6,1w,PL,shorts_pay_and_win,713,1.378701326625137,1.3802443430105384,0.0015430163854014127,0.5161290322580645
6,1w,SI,longs_pay_and_lose,22712,0.06050256565903176,0.11684253070307582,0.05633996504404409,0.4804508629799225
6,1w,SI,longs_pay_and_win,25253,0.1717634247487278,0.2286342860255915,0.0568708612768636,0.4841800974141686
6,2w,GC,longs_pay_and_lose,27408,0.05259236315807242,0.10549702616801022,0.05290466300993782,0.4933231173380035
6,2w,GC,longs_pay_and_win,30129,0.11662784181387986,0.17034723021585926,0.05371938840197942,0.5004148826711806
6,2w,HG,longs_pay_and_lose,22080,0.16913357429874173,0.2115081093205886,0.04237453502184692,0.4872735507246377
6,2w,HG,longs_pay_and_win,25999,0.020144662738089854,0.06180043445339922,0.04165577171530929,0.4804030924266318
6,2w,HG,shorts_pay_and_lose,5218,-0.10412501733349756,-0.1190879714635161,-0.014962954130018627,0.5103487926408585
6,2w,HG,shorts_pay_and_win,2723,1.4567891113648996,1.4452546619693145,-0.011534449395585246,0.5225853837679031
6,2w,PA,longs_pay_and_lose,615,0.7441186730259972,0.805073840783111,0.06095516775711294,0.4959349593495935
6,2w,PA,longs_pay_and_win,751,-1.9252577563061533,-1.8669538560921197,0.05830390021403415,0.45539280958721706
6,2w,PA,shorts_pay_and_lose,1464,1.9435276715915324,1.9172294515101465,-0.026298220081386072,0.5348360655737705
6,2w,PA,shorts_pay_and_win,298,2.3675401402361484,2.3361189473779067,-0.03142119285824293,0.5536912751677853
6,2w,PL,longs_pay_and_lose,19818,0.014663984644860066,0.054797816032685236,0.040133831387825177,0.49384398022000203
6,2w,PL,longs_pay_and_win,15686,-0.48276979159750705,-0.4430942035249141,0.03967558807259286,0.4948361596327936
6,2w,PL,shorts_pay_and_lose,672,1.2619637407766242,1.2549856407986648,-0.006978099977959631,0.49851190476190477
6,2w,PL,shorts_pay_and_win,387,-2.9657409030958424,-2.9574954401795663,0.008245462916276172,0.4444444444444444
6,2w,SI,longs_pay_and_lose,24288,0.14894567362967798,0.20520789202290796,0.056262218393230014,0.4810606060606061
6,2w,SI,longs_pay_and_win,23509,0.07626169812474431,0.1335101325834357,0.05724843445869129,0.48389978306180614
