config,horizon,root,decile,n,signal_mean,forward_excess_mean_bp,forward_excess_median_bp,forward_price_mean_bp,forward_funding_paid_mean_bp,positive_excess_fraction
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,GC,5,3465,-0.07525609660696797,27.807905260165015,22.508104258730814,32.688509819196966,4.880604559031778,0.574025974025974
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,GC,6,3465,0.18005663799827426,31.60604369296518,28.68407942720122,36.41463028664973,4.808586593684381,0.5974025974025974
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,GC,7,3464,0.475227478368919,20.122712873129426,6.251507829753681,25.090991889162726,4.968279016033133,0.523960739030023
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,GC,8,3465,0.8008144387065648,9.340287395491828,1.388046308488085,14.431103147544711,5.090815752052714,0.5036075036075036
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,GC,9,3465,1.1935408454422016,14.754329076341127,5.863348290036941,19.97530732606864,5.220978249727353,0.5180375180375181
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,GC,10,3465,1.8881004964014636,21.4099021322102,13.14481324613456,26.450540922008877,5.0406387897985265,0.5367965367965368
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,HG,1,1425,-1.5760058061670383,-17.91583998039276,18.805617767823808,-13.055446518633566,4.8603934617588855,0.5263157894736842
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,HG,2,1425,-0.9100406970847306,-7.378220186851891,25.876185656655746,-2.3406907537621753,5.037529433089442,0.5487719298245614
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,HG,3,1424,-0.5455008389014462,12.833722703597388,18.89871653781888,17.770529615190657,4.936806911592982,0.5449438202247191
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,HG,4,1425,-0.25103300274240875,17.88009261015979,16.780895105507927,22.817879628314795,4.937787018154729,0.5417543859649123
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,HG,5,1424,0.015040125603136773,27.108210956682306,38.49872800409121,32.03757725847765,4.929366301795066,0.5646067415730337
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,HG,6,1425,0.2711272174127802,16.72618224192063,25.880503796188243,21.514065225266165,4.787882983345265,0.535438596491228
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,HG,7,1424,0.5337571065537036,45.35426787991318,48.66109237651701,50.13389914830812,4.779631268394665,0.589185393258427
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,HG,8,1425,0.8000597786755917,40.08375938172065,43.08495787730285,44.838394044820106,4.754634663099187,0.5585964912280702
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,HG,9,1424,1.0907717102601984,27.41872852416532,27.783549195441584,32.486641017028845,5.067912492863274,0.5365168539325843
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,HG,10,1425,1.6612262298618417,-18.948409937909126,-3.296095765002822,-14.068514521357535,4.879895416551317,0.49473684210526314
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,PA,1,250,-0.9449312882688988,19.48449543393284,66.67022196127873,20.595681131122028,1.111185697189352,0.584
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,PA,2,249,-0.4609962471113474,6.236922863814773,45.67257495700944,6.381221530991951,0.14429866717733936,0.5461847389558233
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,PA,3,249,-0.13100501861854066,98.43191200492505,102.38529172380909,97.68166859634846,-0.750243408576389,0.7068273092369478
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,PA,4,250,0.09090060311476154,136.87768226091825,111.1420836860434,135.76946694348464,-1.1082153174333678,0.724
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,PA,5,249,0.28116991482575626,91.21551086161178,65.68798325141013,90.20229719013626,-1.0132136714753128,0.6305220883534136
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,PA,6,249,0.4668813548997126,98.28708366530239,78.4628113930181,97.060941014794,-1.2261426505081878,0.6465863453815262
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,PA,7,250,0.711789105615032,160.4440249258078,161.394453110444,158.12779366433378,-2.3162312614737393,0.684
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,PA,8,249,0.9583632583977096,116.96563082543871,137.85265918228143,114.12806200585162,-2.837568819586858,0.6666666666666666
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,PA,9,249,1.239262722636153,113.76602499066139,123.80330480647255,110.79209278172775,-2.973932208933374,0.7349397590361446
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,PA,10,250,1.7870590020567219,135.52244369761343,166.4059410067556,132.19555467984392,-3.3268890177692487,0.812
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,PL,1,566,-1.9655087698387073,18.65620790564874,-3.288055890524581,22.66800139047932,4.011793484830592,0.4911660777385159
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,PL,2,566,-1.1725216083625882,54.92466599207221,49.7109847866449,58.99150767349222,4.066841681419976,0.6307420494699647
robust_3m_3d_pressure_vol_scaled_filt0p02,3d,PL,3,566,-0.6957276378302001,74.2809372962638,57.29032811937058,78.3483656175297,4.067428321265968,0.6201413427561837
