variant,gross_residual_return,cost_return,net_residual_return,net_raw_return,ann_return,ann_vol,residual_sharpe,residual_tstat,max_drawdown,hit_rate,mean_gross_exposure,mean_turnover,gross_to_cost,event_count,event_win_rate,mean_event_return,event_tstat,mean_duration_days,bars
z1.5_exit0.25_mdq95_normq50_topo_exit,0.1265188224352298,0.09777238368180437,0.028746438753425446,0.010368126067759116,0.0017926509690332126,0.03730631426555179,0.04805221326000905,0.19242325227349363,-0.18491942067468348,0.03711952487008166,0.0757238307349666,0.10910860290964225,1.2940138889011785,593,0.5598650927487352,0.0010575942546109528,1.1138795044484207,1.6745362563237773,4041
z2_exit0.5_mdq90_normq50_topo_exit,0.18993296101276394,0.1630784303193069,0.026854530693457043,0.029511407488543653,0.0016746700655162522,0.047605606017945716,0.035178001197694195,0.1408689619001307,-0.1812145877739714,0.05939123979213066,0.11408067310071765,0.1754337306675837,1.1646724869798903,803,0.5753424657534246,0.001519621463451311,1.7704242720073078,1.6214196762141968,4041
z2_exit0.5_mdq90_normq50_topo_hold,0.19109978266355937,0.16424666194346393,0.026853120720095533,0.03969027977821955,0.0016745821384469375,0.047847975500596954,0.03499797266085052,0.1401480445019236,-0.19190046069732689,0.06062855728780005,0.1168027715911903,0.17615078561626446,1.1634926421173701,797,0.5759096612296111,0.0015135493781890446,1.7241429618753548,1.6612296110414053,4041
z2_exit0.25_mdq95_normq50_topo_exit,0.11358820334866822,0.08834980924754171,0.02523839410112652,0.0035674920640684574,0.0015738864918297163,0.03957174023485214,0.03977299159675426,0.15926942541194292,-0.1775560314530971,0.03513981687701064,0.07052709725315516,0.09942718270483676,1.2856643870097406,471,0.5690021231422505,0.0014918229936377934,1.306742472924232,1.70276008492569,4041
z1.5_exit0.25_mdq95_normq75_topo_hold,0.11877169998752175,0.0948193616888019,0.023952338298719844,0.05464037086250685,0.0014936870208555806,0.03513522626557672,0.04251252032832364,0.17023976356000847,-0.18539663874643195,0.03291264538480574,0.06706260826528088,0.10596493267243082,1.2526102039932696,591,0.5363790186125211,0.0009350213793880084,1.0094296530545803,1.5549915397631133,4041
z1.5_exit0.5_mdq95_normq75_topo_hold,0.11787965656482674,0.09489393562496463,0.022985720939862092,0.06337349939269717,0.0014334079873410657,0.03530657299479498,0.04059889889489938,0.16257673963544322,-0.19444664578896603,0.03241771838653799,0.06533036377134373,0.10570568519714771,1.242225393946197,591,0.5329949238578681,0.0009007196961813409,0.971345602051551,1.5313028764805414,4041
z2_exit0.25_mdq95_normq75_topo_hold,0.10945398646358398,0.08699638281836072,0.02245760364522327,0.037832794306144814,0.001400474169412587,0.037588844122147386,0.037257707761953404,0.14919706738621744,-0.162033919823978,0.031427864390002475,0.06359811927740658,0.09823179652429838,1.258144108038519,468,0.5363247863247863,0.0012223772492569722,1.097594398774607,1.5940170940170941,4041
z1.5_exit0.5_mdq95_normq75_topo_exit,0.11620997672131449,0.09407172374503964,0.02213825297627485,0.055165033543888436,0.0013805592056474294,0.035206157334520836,0.0392135725728222,0.15702925330194656,-0.19602864010718146,0.03167532788913635,0.06384558277654045,0.10487805727226664,1.2353337655029648,597,0.5326633165829145,0.0008652663358098413,0.9427552196675387,1.4958123953098827,4041
z1.5_exit0.25_mdq95_normq75_topo_exit,0.11170065084229158,0.09444497632842347,0.017255674513868127,0.0456529850501885,0.0010760776979695046,0.0352440633361992,0.0305321689983534,0.12226490434139037,-0.1945973238114191,0.03241771838653799,0.06582529076961148,0.10559570141975487,1.1827061129632046,597,0.5360134003350083,0.0008670566547191159,0.9433192603676314,1.5175879396984924,4041
z2_exit0.5_mdq95_normq75_topo_hold,0.10149196861747786,0.08718468069149443,0.014307287925983458,0.04404582157178798,0.0008922139463864963,0.03802644578209164,0.023462985510117804,0.09395662912493019,-0.17867068758030435,0.030932937391734718,0.06211333828260331,0.09830073278477139,1.164103232500331,468,0.532051282051282,0.0011873420018551116,1.0647262086769271,1.5705128205128205,4041
z2_exit0.5_mdq95_normq75_topo_exit,0.09802849059015546,0.08634784413565962,0.01168064645449586,0.0338988643951513,0.0007284144782313677,0.037934177465005506,0.019202063334662636,0.07689392905222227,-0.1750880739487959,0.030190546894333085,0.06038109378866617,0.09735487229919301,1.135274326434191,472,0.5338983050847458,0.0011693266936204586,1.0582837653234998,1.5296610169491525,4041
z2_exit0.25_mdq90_normq50_topo_hold,0.17468625047870967,0.16397559749584523,0.0107106529828645,-0.01757899310924535,0.0006679249076173852,0.04720337939267731,0.014149938335156589,0.05666288749671843,-0.19320250725882251,0.06384558277654045,0.12298935906953724,0.17587288017874508,1.0653185787789907,796,0.5829145728643216,0.0015626953489698608,1.7686813849824277,1.7386934673366834,4041
z2_exit0.25_mdq95_normq75_topo_exit,0.09571934999791634,0.08648799357440834,0.009231356423508058,0.025714619697378323,0.0005756747881029525,0.037980752208142225,0.015157013872398784,0.06069568301255983,-0.17560658841890023,0.030932937391734718,0.06211333828260331,0.09763945532319698,1.106735698702109,472,0.538135593220339,0.0011633797050564067,1.05130849726343,1.5508474576271187,4041
z2_exit0.25_mdq90_normq50_topo_exit,0.163248270389569,0.16294927700564338,0.00029899338392566643,-0.029542546653123836,1.8645467149039333e-05,0.04734746255267847,0.0003938007686957778,0.0015769601339738388,-0.20188990357415088,0.06285572878000495,0.12051472407819847,0.1753031249319297,1.0018348862260693,802,0.5822942643391521,0.0015444628480404485,1.7846419374771816,1.6970074812967582,4041
z1.5_exit0.5_mdq90_normq75_topo_hold,0.14027155922110285,0.17420160669984744,-0.03393004747874458,0.049388469482450126,-0.0021159049652669224,0.04310876747331413,-0.04908293809552184,-0.1965507505007916,-0.22325684788094136,0.05864884929472903,0.111358574610245,0.18850600269542947,0.8052254045095767,1044,0.5660919540229885,0.0010163387115863433,1.4851230471603705,1.5019157088122606,4041
z1.5_exit0.5_mdq90_normq75_topo_exit,0.13884260109831842,0.1731517196897447,-0.034309118591426255,0.04621541349244762,-0.002139544143786047,0.04297273928015631,-0.0497884049196285,-0.199375765447161,-0.22250064550978962,0.05790645879732739,0.10987379361544172,0.1877602785731962,0.801855166943177,1052,0.564638783269962,0.0009732955572601201,1.4512789429535182,1.479087452471483,4041
z2.5_exit0.25_mdq90_normq75_topo_hold,0.10123829703403225,0.14354660432367145,-0.04230830728963923,-0.020248643691613444,-0.0026383799646100188,0.04571018249223595,-0.057719742533475074,-0.2311365039229804,-0.20980512754540648,0.048007918831972286,0.09304627567433804,0.15290337532356835,0.7052643112738378,593,0.551433389544688,0.0016247394278287367,1.4805698406988272,1.548060708263069,4041
z2.5_exit0.5_mdq90_normq75_topo_hold,0.10111157421364694,0.14407177414604005,-0.042960199932393146,0.00629618646016674,-0.0026790325124877684,0.0462250712930802,-0.057956265670244936,-0.23208365178834342,-0.21131980942803807,0.0467706013363029,0.09131403118040089,0.15333643644705264,0.7018139036113625,593,0.5497470489038786,0.0015559670030104056,1.4167535825126842,1.5227655986509274,4041
z1.5_exit0.25_mdq90_normq75_topo_hold,0.13051328833328013,0.17410629728822863,-0.0435930089549485,0.0076157575570652,-0.0027184949905090378,0.04242059510762418,-0.06408431997740757,-0.2566232111529104,-0.22288242405973918,0.05988616679039842,0.11482306359811928,0.18872125665975548,0.749618424870748,1043,0.5675934803451582,0.0010786608725554176,1.573718724981781,1.5321188878235859,4041
z1.5_exit0.25_mdq90_normq75_topo_exit,0.12368296090877776,0.17350423679767246,-0.049821275888894664,0.0036637816035530735,-0.0031068947102206026,0.04245615618988208,-0.07317889769213307,-0.2930421001737402,-0.23008260618639953,0.05939123979213066,0.11358574610244988,0.18843392920972732,0.7128526841278665,1051,0.566127497621313,0.0010168307583544257,1.5114672889572967,1.5080875356803045,4041
z2.5_exit0.5_mdq90_normq75_topo_exit,0.09122382387553812,0.1441665266506491,-0.05294270277511094,-0.010198185684303841,-0.003301549393548121,0.04618930129753102,-0.07147866065955409,-0.28623356593049115,-0.21378915529008674,0.045780747339767384,0.09032417718386539,0.153384554349662,0.6327670229344975,597,0.5494137353433836,0.0014607445788813265,1.3578280125904543,1.4974874371859297,4041
z2.5_exit0.25_mdq90_normq75_topo_exit,0.08646047834291543,0.14376594380189353,-0.05730546545897812,-0.034164969729950076,-0.003573614772497522,0.04562489970582172,-0.07832597541121894,-0.3136533762673474,-0.22185620099599657,0.047018064835436774,0.09205642167780252,0.15313709085052812,0.6013974941245902,597,0.5510887772194305,0.0014968895931710528,1.3899475358017839,1.5209380234505863,4041
z2_exit0.5_mdq90_normq75_topo_hold,0.06388212096755987,0.16120974066612168,-0.09732761969856185,-0.044401313667276954,-0.006069428399910316,0.04600670313081766,-0.13192487152692106,-0.5282881081379805,-0.22496154118057812,0.05246226181638208,0.10393466963622866,0.17349232059699765,0.39626712817474763,800,0.55375,0.0010514390320752998,1.2176742062455752,1.52625,4041
z2_exit0.25_mdq90_normq75_topo_hold,0.06146318992252427,0.16080372878353158,-0.09934053886100738,-0.08260365797607633,-0.006194955652802242,0.04513057602849154,-0.13726737387289903,-0.549681954684221,-0.21700035664558373,0.05369957931205147,0.10690423162583519,0.1730521890878238,0.3822249047798132,799,0.5569461827284106,0.0011286606166296376,1.304228261912109,1.5594493116395494,4041
z2_exit0.5_mdq90_normq75_topo_exit,0.06069873194237309,0.16004802558925843,-0.09934929364688536,-0.050001331210923664,-0.00619550160826902,0.04587797682876381,-0.1350430432316856,-0.5407747076070071,-0.21874421860014417,0.051719871318980454,0.10220242514229151,0.1726460347098803,0.3792532380133708,806,0.5533498759305211,0.001012416895145292,1.1976756943370026,1.498759305210918,4041
z2_exit0.25_mdq90_normq75_topo_exit,0.04800864245899222,0.1599504514139406,-0.11194180895494837,-0.09015488334724257,-0.006980780959328629,0.045403986478822066,-0.15374819483273122,-0.6156787726053499,-0.2259497120772979,0.05320465231378372,0.10541945063103192,0.17249755661039998,0.3001469644793262,805,0.5565217391304348,0.0010651591927051463,1.2551937012166834,1.5304347826086957,4041
