variant,split,start,end,bars,net_residual_return,net_raw_return,cost_return,residual_sharpe,residual_tstat,max_drawdown,events
z1.5_exit0.25_mdq95_normq75_topo_hold,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.1603835203481639,0.1544056853601098,0.03503995567511506,0.5598975518123565,1.3773465323742684,-0.07552302225168056,233
z1.5_exit0.25_mdq95_normq75_topo_hold,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,-0.060057306283910074,-0.0631944230308596,0.014679858038521903,-0.8169134431170594,-1.0904328915434476,-0.0755230222516806,86
z1.5_exit0.25_mdq95_normq75_topo_exit,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.017255674513868127,0.0456529850501885,0.09444497632842347,0.0305321689983534,0.12226490434139037,-0.1945973238114191,597
z1.5_exit0.25_mdq95_normq75_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.14563186711443116,-0.10616118287435782,0.059628280781603794,-0.5767399707028319,-1.8223638804488311,-0.16644924485214158,363
z1.5_exit0.25_mdq95_normq75_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.16288754162829933,0.15181416792454633,0.03481669554681968,0.5696058311419595,1.4012288744682215,-0.07012402795208961,234
z1.5_exit0.25_mdq95_normq75_topo_exit,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,-0.054658311984319106,-0.055083370970041415,0.014541059677983812,-0.7469121451311301,-0.9969937170290268,-0.07012402795208963,86
z1.5_exit0.5_mdq90_normq50_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.08615665633117173,0.11564205164165395,0.18037834297295416,0.11828041015583529,0.47364938383327865,-0.18637846182274992,1038
z1.5_exit0.5_mdq90_normq50_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.11904814647648143,-0.08866931895148902,0.1106662359833211,-0.36169297410273366,-1.1428654945029975,-0.1715686168786475,597
z1.5_exit0.5_mdq90_normq50_topo_hold,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.20520480280765319,0.204311370593143,0.06971210698963307,0.559652727221577,1.3767442645128383,-0.08118309942964205,441
z1.5_exit0.5_mdq90_normq50_topo_hold,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,-0.01874563991320546,-0.03601409793623909,0.02302141864851521,-0.2019486320091968,-0.26956519396324463,-0.05797050278316253,136
z1.5_exit0.5_mdq90_normq50_topo_exit,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.08715928576668262,0.10923155078355273,0.17850725118103067,0.12033149026585573,0.4818628557769752,-0.18209360475560651,1046
z1.5_exit0.5_mdq90_normq50_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.11263627613893434,-0.08268133207384752,0.10955705625100476,-0.34388540406108015,-1.086597723772758,-0.1612674563281725,603
z1.5_exit0.5_mdq90_normq50_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.199795561905617,0.19191288285740024,0.06895019493002591,0.5481505465548007,1.3484489297594613,-0.07660545150988113,443
z1.5_exit0.5_mdq90_normq50_topo_exit,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,-0.013971551890796748,-0.026488670654187592,0.022436883194943746,-0.1509813821619695,-0.2015330589883699,-0.05721082868347927,136
z1.5_exit0.5_mdq90_normq75_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,-0.03393004747874458,0.049388469482450126,0.17420160669984744,-0.04908293809552184,-0.1965507505007916,-0.22325684788094136,1044
z1.5_exit0.5_mdq90_normq75_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.17367561781847665,-0.11716356213515447,0.10594379668664487,-0.5818037875169999,-1.8383643613034935,-0.20171966470671304,600
z1.5_exit0.5_mdq90_normq75_topo_hold,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.13974557033973203,0.16655203161760457,0.06825781001320258,0.39331608048936856,0.9675565428630882,-0.10279465599380075,444
z1.5_exit0.5_mdq90_normq75_topo_hold,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,-0.06352590524441395,-0.0689647570652924,0.022375906456751415,-0.7268009523902347,-0.9701488826862776,-0.08080873807539746,136
z1.5_exit0.5_mdq90_normq75_topo_exit,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,-0.034309118591426255,0.04621541349244762,0.1731517196897447,-0.0497884049196285,-0.199375765447161,-0.22250064550978962,1052
z1.5_exit0.5_mdq90_normq75_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,-0.17053455250264085,-0.11541608384738004,0.10521733780026918,-0.5740540357422446,-1.8138769520130507,-0.19857859939087716,606
z1.5_exit0.5_mdq90_normq75_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.13622543391121458,0.1616314973398277,0.06793438188947551,0.38433778743750674,0.9454699651282988,-0.09933104298670467,446
z1.5_exit0.5_mdq90_normq75_topo_exit,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,-0.05812691094482299,-0.06085370500447421,0.02223710809621332,-0.6671950837213171,-0.8905857413605532,-0.07540974377580649,136
