strategy,split,cost_multiplier,nobs,years,active_fraction,cum_log_return,gross_cum_log_return,cost_cum_log_return,realized_avg_cost_bps,cagr,annual_log_return,annual_vol,sharpe,period_tstat,max_drawdown,hit_rate_active,mean_active_return_bp,avg_exec_gross,avg_leg_gross,annual_turnover
wf_event_252D_pure_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,2025_2026,1.0,103772,1.4675925925925926,0.14093397062791505,0.007702492297301244,0.010482788133709458,0.002780295836408212,1.743072496581086,0.005262182822639851,0.005248385918665832,0.060374236149634435,0.08693088730196069,0.10531175930550958,-0.03712133660430583,0.49764102564102564,0.0058420106890078195,0.14093397062791505,0.14093397062791505,10.86851096656603
wf_event_252D_pure_exhaust_60m_confirm15_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,2025_2026,1.0,103772,1.4675925925925926,0.14092433411710287,0.007660466085726231,0.010440761922134442,0.002780295836408212,1.743072496581086,0.005233396389332923,0.005219749761882858,0.060352907577307824,0.08648712997293008,0.10477417287938005,-0.03712133660430594,0.4976066739606127,0.005813672333902443,0.14092433411710287,0.14092433411710287,10.86851096656603
wf_event_60D_pure_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,2025_2026,1.0,103772,1.4675925925925926,0.23370466021662875,0.008720747745177098,0.02114390326011545,0.012423155514938347,1.7839332397679075,0.005959902943980386,0.0059422129746317135,0.07033269940379983,0.08448720189901707,0.10235137529287129,-0.05511680329834834,0.49781461322777504,0.005719999156826735,0.23370466021662875,0.2320345709007153,47.45126699849585
wf_event_60D_pure_state_hold_zbuf0p25_expanding_n5_hit52_meanpos,2025_2026,1.0,103772,1.4675925925925926,0.23428285086535866,0.008078304096633505,0.020488117030551534,0.012409812933918024,1.7833155063732833,0.0055196369462967585,0.005504459573731347,0.07048737486945675,0.07809142536412593,0.09460326067079619,-0.055002336616988945,0.4979434024350115,0.005441633064574124,0.23428285086535866,0.23258191382734822,47.41672318659942
wf_event_20D_agree_60D_carry_state_hold_zbuf0p5_expanding_n10_hit55_meanpos,2025_2026,1.0,103772,1.4675925925925926,0.047989823844582356,0.004705582747283846,0.037444456598003925,0.032738873850720086,2.0711780505184056,0.0032114734431685464,0.0032063276763826835,0.04288242157345631,0.07477021023382133,0.09057979997391494,-0.04645425265914571,0.5040160642570282,0.04192356845172657,0.047989823844582356,0.047989823844582356,107.70622150480845
wf_event_60D_pure_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,2025_2026,1.0,103772,1.4675925925925926,0.27601857919284584,0.006224358842731051,0.02028913882003519,0.014064779977304147,1.738625767443781,0.004250210133727861,0.004241203501671631,0.07413550548114214,0.057208802639788656,0.06930516690610078,-0.06529641822012677,0.4980972663477988,0.004218538356584361,0.27601857919284584,0.2743484898769324,55.12153711341316
wf_event_60D_agree_120D_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,2025_2026,1.0,103772,1.4675925925925926,0.204072389469221,0.005084735183039528,0.027675433326466003,0.022590698143426464,1.7860127830620067,0.0034706865341691583,0.0034646776010616343,0.06438208675059542,0.05381431040722817,0.06519293522349873,-0.061570367710025886,0.49922085281201306,0.007275279283738952,0.204072389469221,0.20402985033388088,86.18656628660192
wf_event_60D_agree_120D_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n10_hit55_meanpos,2025_2026,1.0,103772,1.4675925925925926,0.204072389469221,0.005084735183039528,0.027675433326466003,0.022590698143426464,1.7860127830620067,0.0034706865341691583,0.0034646776010616343,0.06438208675059542,0.05381431040722817,0.06519293522349873,-0.061570367710025886,0.49922085281201306,0.007275279283738952,0.204072389469221,0.20402985033388088,86.18656628660192
wf_event_60D_agree_120D_exhaust_60m_confirm15_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,2025_2026,1.0,103772,1.4675925925925926,0.2436688123964075,0.003891691866088679,0.015479279147271032,0.011587587281182352,1.720665933360978,0.0026552711910078253,0.002651752186356955,0.07059434211343571,0.037563239587897035,0.04550569963095934,-0.05895623869180777,0.4984180969706557,0.0035603288161213846,0.2436688123964075,0.2436688123964075,45.88713541357402
wf_event_60D_agree_120D_state_hold_zbuf0p25_expanding_n5_hit52_meanpos,2025_2026,1.0,103772,1.4675925925925926,0.2466561307481787,0.00187951808513377,0.014028463136097739,0.012148945050963977,1.7023343049881774,0.0012815015149357542,0.001280681092709446,0.07099766695088365,0.018038354606714387,0.021852426882647144,-0.063098519513349,0.4980075011720581,0.0028398941332693378,0.2466561307481787,0.2466561307481787,48.628201284721946
