strategy,root,cum_log_contribution,contribution_bp,share_of_gross_pnl,leg_turnover
wf_event_60D_agree_120D_state_hold_zbuf0p0_expanding_n5_hit52_meanpos,GC,-0.046490732546298784,-464.90732546298784,1.2483829539468063,204.3591239989088
wf_event_60D_agree_120D_state_hold_zbuf0p0_expanding_n5_hit52_meanpos,SI,-0.019897175199642504,-198.97175199642504,0.5342848561525698,125.7614182853551
wf_event_60D_agree_120D_state_hold_zbuf0p0_expanding_n5_hit52_meanpos,HG,0.11652647697878424,1165.2647697878424,-3.1290035578363953,143.97731260614174
wf_event_60D_agree_120D_state_hold_zbuf0p0_expanding_n5_hit52_meanpos,PL,-0.051538946087286625,-515.3894608728663,1.3839390828199443,136.24664433325032
wf_event_60D_agree_120D_state_hold_zbuf0p0_expanding_n5_hit52_meanpos,PA,-0.035840385204439586,-358.4038520443959,0.9623966649170758,60.934071639282934
wf_event_60D_agree_120D_state_hold_zbuf0p0_expanding_n10_hit55_meanpos,GC,-0.046490732546298784,-464.90732546298784,1.2483829539468063,204.3591239989088
wf_event_60D_agree_120D_state_hold_zbuf0p0_expanding_n10_hit55_meanpos,SI,-0.019897175199642504,-198.97175199642504,0.5342848561525698,125.7614182853551
wf_event_60D_agree_120D_state_hold_zbuf0p0_expanding_n10_hit55_meanpos,HG,0.11652647697878424,1165.2647697878424,-3.1290035578363953,143.97731260614174
wf_event_60D_agree_120D_state_hold_zbuf0p0_expanding_n10_hit55_meanpos,PL,-0.051538946087286625,-515.3894608728663,1.3839390828199443,136.24664433325032
wf_event_60D_agree_120D_state_hold_zbuf0p0_expanding_n10_hit55_meanpos,PA,-0.035840385204439586,-358.4038520443959,0.9623966649170758,60.934071639282934
wf_event_60D_agree_120D_state_hold_zbuf0p25_expanding_n5_hit52_meanpos,GC,-0.04406028853252584,-440.6028853252584,1.1172039060679595,99.15072683217781
wf_event_60D_agree_120D_state_hold_zbuf0p25_expanding_n5_hit52_meanpos,SI,-0.030952263027749186,-309.5226302774918,0.7848334704099114,59.990998469822884
wf_event_60D_agree_120D_state_hold_zbuf0p25_expanding_n5_hit52_meanpos,HG,0.11436974268978414,1143.6974268978415,-2.899988346074714,75.10139799150332
wf_event_60D_agree_120D_state_hold_zbuf0p25_expanding_n5_hit52_meanpos,PL,-0.04080074951239085,-408.0074951239085,1.034554203885744,60.44347161821022
wf_event_60D_agree_120D_state_hold_zbuf0p25_expanding_n5_hit52_meanpos,PA,-0.037994442409290306,-379.9444240929031,0.9633967657111,28.302114608406878
wf_event_60D_agree_120D_state_hold_zbuf0p25_expanding_n10_hit55_meanpos,GC,-0.04375242143080352,-437.5242143080352,1.8553809676651836,94.83715812643311
wf_event_60D_agree_120D_state_hold_zbuf0p25_expanding_n10_hit55_meanpos,SI,-0.025874775192462104,-258.74775192462107,1.0972550516006438,60.35107162040148
wf_event_60D_agree_120D_state_hold_zbuf0p25_expanding_n10_hit55_meanpos,HG,0.10420255857613009,1042.0255857613008,-4.418851291920772,64.15185556383119
wf_event_60D_agree_120D_state_hold_zbuf0p25_expanding_n10_hit55_meanpos,PL,-0.05314884292758691,-531.4884292758691,2.2538490075853166,54.08825020179001
wf_event_60D_agree_120D_state_hold_zbuf0p25_expanding_n10_hit55_meanpos,PA,-0.005007887053355229,-50.07887053355229,0.21236626506962974,20.907097786338916
wf_event_60D_agree_120D_state_hold_zbuf0p5_expanding_n5_hit52_meanpos,GC,-0.04444200039999255,-444.4200039999255,1.170904998476794,62.41435568951307
wf_event_60D_agree_120D_state_hold_zbuf0p5_expanding_n5_hit52_meanpos,SI,-0.03660484698095151,-366.0484698095151,0.9644209961908351,34.33754047715691
wf_event_60D_agree_120D_state_hold_zbuf0p5_expanding_n5_hit52_meanpos,HG,0.12834131850907537,1283.4131850907538,-3.3813845011666896,52.859074470143405
wf_event_60D_agree_120D_state_hold_zbuf0p5_expanding_n5_hit52_meanpos,PL,-0.04007637305962937,-400.76373059629367,1.0558846387200118,38.19621481015628
wf_event_60D_agree_120D_state_hold_zbuf0p5_expanding_n5_hit52_meanpos,PA,-0.04517335529074136,-451.7335529074136,1.1901738677790492,18.838205286732325
wf_event_60D_agree_120D_state_hold_zbuf0p5_expanding_n10_hit55_meanpos,GC,0.0,0.0,0.0,51.914619248585865
wf_event_60D_agree_120D_state_hold_zbuf0p5_expanding_n10_hit55_meanpos,SI,-0.03483083749814897,-348.3083749814897,-17.305577040498335,29.584893202335998
wf_event_60D_agree_120D_state_hold_zbuf0p5_expanding_n10_hit55_meanpos,HG,0.12834131850907537,1283.4131850907538,63.76592509600068,49.84105606102321
wf_event_60D_agree_120D_state_hold_zbuf0p5_expanding_n10_hit55_meanpos,PL,-0.04787081958029179,-478.7081958029179,-23.784445501276316,36.20503076046848
wf_event_60D_agree_120D_state_hold_zbuf0p5_expanding_n10_hit55_meanpos,PA,-0.04362696705952879,-436.2696705952879,-21.675902554226017,18.21875965773191
