strategy,root,side,event_count,normalized_fraction,hit_rate,mean_trade_return_bp,median_trade_return_bp,p10_trade_return_bp,p90_trade_return_bp,mean_duration_hours,median_duration_hours,trade_tstat
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,HG,long_cheap,52,0.0,0.46153846153846156,0.6077103713186058,-0.5553674790475127,-39.384194576575496,57.99731624475264,12.50320512820513,3.333333333333333,0.11776852950155203
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,GC,long_cheap,31,0.0,0.6451612903225806,4.922356880545,3.4254486851466313,-8.436689685684673,23.64363241636358,1.6747311827956985,0.8333333333333334,2.2832615986238607
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,PA,long_cheap,93,0.0,0.6021505376344086,10.18493155636187,6.691605353186247,-26.21594850829578,46.72003968725402,5.943548387096774,1.6666666666666667,2.8658328950102927
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,HG,short_rich,69,0.0,0.6376811594202898,10.473161765994123,9.08762327833157,-21.4580095623538,45.922596933607025,10.33816425120773,2.6666666666666665,2.505939760215504
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,PA,short_rich,116,0.0,0.5603448275862069,1.3039080894341453,0.9878195140172741,-29.630354603065733,32.80814311866664,10.45689655172414,2.625,0.421056479207833
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,GC,long_cheap,22,0.0,0.5454545454545454,1.8310015369217751,1.3205444990180975,-9.261181672657187,8.689617512883023,1.708333333333333,0.7916666666666667,0.8191326221433427
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,HG,long_cheap,42,0.0,0.5,3.9272600165502687,2.3097427203666934,-39.384194576575496,62.64673113578933,14.464285714285714,3.875,0.6813901346157694
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,HG,short_rich,33,0.0,0.5454545454545454,6.690445566667905,4.1120200444511035,-33.006305941823356,34.16902074996586,14.022727272727275,4.916666666666667,1.0267670650550667
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,PA,long_cheap,73,0.0,0.5753424657534246,10.923104131442846,6.8668708502928055,-19.590985731365862,44.71352679725979,6.659817351598173,1.75,2.6754684057253635
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,SI,short_rich,11,0.0,0.2727272727272727,-8.996069929737358,-3.9226934764752253,-23.231546644815747,7.5242049031920555,1.8106060606060608,1.0,-1.5025634218997859
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,PA,short_rich,116,0.0,0.5603448275862069,1.3039080894341453,0.9878195140172741,-29.630354603065733,32.80814311866664,10.45689655172414,2.625,0.421056479207833
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,GC,long_cheap,22,0.0,0.5454545454545454,1.8310015369217751,1.3205444990180975,-9.261181672657187,8.689617512883023,1.708333333333333,0.7916666666666667,0.8191326221433427
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,PL,short_rich,79,0.0,0.569620253164557,3.1372294746133043,1.0757190893090351,-23.314871582110428,37.660416954057986,5.486286919831224,1.5,1.1312701201335604
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,HG,long_cheap,42,0.0,0.5,3.9272600165502687,2.3097427203666934,-39.384194576575496,62.64673113578933,14.464285714285714,3.875,0.6813901346157694
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,HG,short_rich,33,0.0,0.5454545454545454,6.690445566667905,4.1120200444511035,-33.006305941823356,34.16902074996586,14.022727272727275,4.916666666666667,1.0267670650550667
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,PA,long_cheap,73,0.0,0.5753424657534246,10.923104131442846,6.8668708502928055,-19.590985731365862,44.71352679725979,6.659817351598173,1.75,2.6754684057253635
