spec,base_strategy,timing,z_buffer,selection_policy,rebalance_ts,root,side,train_event_count,train_hit_rate,train_mean_trade_return_bp,train_tstat,selected,strategy
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2025-01-01 00:00:00+00:00,GC,long_cheap,51,0.6862745098039216,5.636774380032535,3.3185161131113348,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2025-01-01 00:00:00+00:00,GC,short_rich,183,0.5191256830601093,-0.8288032432346084,-0.38314301470637047,False,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2025-01-01 00:00:00+00:00,HG,long_cheap,206,0.5679611650485437,5.482810583684299,1.9793350650156023,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2025-01-01 00:00:00+00:00,HG,short_rich,76,0.5526315789473685,9.832619770193226,2.410092616143355,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2025-01-01 00:00:00+00:00,PA,long_cheap,154,0.6688311688311688,10.17620480959954,3.2127616917850674,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2025-01-01 00:00:00+00:00,PA,short_rich,183,0.5683060109289617,2.952303421728355,1.0548454840968786,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2025-01-01 00:00:00+00:00,PL,long_cheap,188,0.5585106382978723,1.9187759752034237,0.9556693250271892,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2025-01-01 00:00:00+00:00,PL,short_rich,226,0.5796460176991151,3.844280220888296,3.032537665802859,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2025-01-01 00:00:00+00:00,SI,long_cheap,365,0.4986301369863014,0.3904910934018305,0.40940808665137834,False,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0,event_20D_agree_60D_carry,state_hold,0.0,expanding_n5_hit52_meanpos,2025-01-01 00:00:00+00:00,SI,short_rich,126,0.6190476190476191,3.4883750978206125,1.719025590432663,True,wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos
