strategy,split,cost_multiplier,nobs,years,active_fraction,cum_log_return,gross_cum_log_return,cost_cum_log_return,realized_avg_cost_bps,cagr,annual_log_return,annual_vol,sharpe,period_tstat,max_drawdown,hit_rate_active,mean_active_return_bp,avg_exec_gross,avg_leg_gross,annual_turnover
wf_event_252D_pure_exhaust_60m_confirm15_hold_state_zbuf0p0_expanding_n10_hit55_meanpos,full,1.0,704270,9.944558521560575,0.1325414968690985,0.008686862287687176,0.05133087240023673,0.042644010112549556,1.3521961712371429,0.000873910841571482,0.0008735292038207009,0.03619639731027206,0.024133042753755076,0.07610353605750134,-0.06259903766058161,0.4925919974288928,0.002852558253351928,0.1325414968690985,0.13005275247298406,31.712671432243543
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p5_expanding_n5_hit52_meanpos,full,1.0,704270,9.944558521560575,0.031249378789384753,0.004148526240742157,0.1360488208791455,0.13190029463840336,1.831866298515418,0.0004172524766176965,0.00041716545101000007,0.024059218561696648,0.017339110575858276,0.0546788749507979,-0.06166655800018328,0.5053162486368593,0.02998620968414636,0.031249378789384753,0.03078082041096971,72.40465441074802
wf_event_20D_agree_60D_carry_exhaust_60m_confirm15_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,full,1.0,704270,9.944558521560575,0.036804066622176154,0.0035906195601288146,0.16051915772857406,0.15692853816844526,1.805105955668752,0.000361128938166735,0.0003610637468062632,0.026339454528150525,0.013708095071611037,0.0432284697046617,-0.08114335136241102,0.5052854938271605,0.02998834544966544,0.036804066622176154,0.03632004573916183,87.42058779654437
wf_event_252D_pure_state_hold_zbuf0p25_expanding_n10_hit55_meanpos,full,1.0,704270,9.944558521560575,0.03530464168571713,0.002748438930979636,0.007962541907879348,0.00521410297689974,1.550612274933218,0.0002764143588189778,0.0002763761634084416,0.02518425177341171,0.010974166153319111,0.034607026477014795,-0.04161306146364685,0.47273166023166024,0.0018085204202816065,0.03530464168571713,0.03360074971246823,3.381355856540027
wf_event_252D_pure_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,full,1.0,704270,9.944558521560575,0.03525494483649737,-0.00027324606475084313,0.0049408569121488725,0.00521410297689974,1.550612274933218,-2.7476565220022776e-05,-2.7476942707755648e-05,0.025129849896142586,-0.0010933986005214197,-0.00344803184037188,-0.042355224342669806,0.4726328084095211,0.0005940715201005715,0.03525494483649737,0.03355105286324847,3.381355856540027
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n5_hit52_meanpos,full,1.0,704270,9.944558521560575,0.03631845740980022,-0.0006038530630393443,0.16068300163989144,0.1612868547029308,1.8542425767527602,-6.072011427467104e-05,-6.072195781543685e-05,0.025787618861023088,-0.002354694248533957,-0.007425526920753148,-0.09707574023155296,0.5045351473922902,0.029090609135661367,0.03631845740980022,0.03571423758264743,87.46754071426669
wf_event_252D_pure_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n10_hit55_meanpos,full,1.0,704270,9.944558521560575,0.1135984778565039,-0.012314047966727165,0.01973594924500427,0.03204999721173145,1.479472173430363,-0.0012375036084490522,-0.0012382699483370078,0.034439798119169494,-0.03595462273188459,-0.11338288153009947,-0.07767685870531393,0.49926253687315636,8.071598827171567e-05,0.1135984778565039,0.11279598884231647,21.783902627485514
wf_event_252D_pure_exhaust_30m_flip5_hold_state_zbuf0p0_expanding_n5_hit52_meanpos,full,1.0,704270,9.944558521560575,0.13755093927045026,-0.02934579376325497,0.01271787560913383,0.04206366937238881,1.696020264302431,-0.0029465900797254105,-0.0029509398229826908,0.03971813873346121,-0.07429703196279493,-0.23429564637331513,-0.11239676312801206,0.4999019334592714,-0.0014894892028951506,0.13755093927045026,0.13115579126206833,24.93966470090365
wf_event_60D_agree_120D_state_hold_zbuf0p5_expanding_n10_hit55_meanpos,full,1.0,704270,9.944558521560575,0.11283172646854189,-0.02983819396697872,0.0020126943711058116,0.0318508883380845,1.7145855384488289,-0.0029959574947535286,-0.0030004543592646368,0.03939458502857154,-0.07616413162084358,-0.24018354404121883,-0.09941408151861364,0.5017743884022954,-0.00228468119742678,0.11283172646854189,0.10918697244140804,18.6800005779436
wf_event_20D_agree_60D_carry_exhaust_30m_flip5_hold_state_zbuf0p25_expanding_n10_hit55_meanpos,full,1.0,704270,9.944558521560575,0.031760546381359424,-0.02139609452349386,0.11302940165624681,0.13442549617974064,1.8525200124213288,-0.0021492249979398847,-0.002151537896539647,0.024851551208215125,-0.08657559757591379,-0.27301609577570096,-0.10197935700533234,0.5039788984263234,0.018819673996921207,0.031760546381359424,0.03146638019350755,72.96813262348724
wf_event_20D_agree_60D_carry_state_hold_zbuf0p0_expanding_n5_hit52_meanpos,full,1.0,704270,9.944558521560575,0.05784713249180002,-0.02891208082281322,0.22699854491756502,0.2559106257403782,1.822998760520795,-0.0029031045498945605,-0.0029073267315114677,0.03197235481926888,-0.09093251804397277,-0.28675564189609226,-0.15109068594437292,0.5042709867452135,0.02083824254563361,0.05784713249180002,0.05657611592748184,141.1615562134195
