,logret,logret,logret,logret,logret,cum_logret,cum_logret,cum_logret,cum_logret,cum_logret,logret_bps,logret_bps,logret_bps,logret_bps,logret_bps,cum_logret_bps,cum_logret_bps,cum_logret_bps,cum_logret_bps,cum_logret_bps
,GC,SI,HG,PL,PA,GC,SI,HG,PL,PA,GC,SI,HG,PL,PA,GC,SI,HG,PL,PA
2025-10-09 20:48:00+00:00,-5.011275370669921e-05,-0.00020986358943764216,,-0.0004205593501254157,-0.000683293501132276,-0.009774420170680642,-0.009920198306326178,0.01647257562734472,-0.008198974682895432,-0.000683293501132276,-0.5011275370669921,-2.0986358943764216,,-4.205593501254157,-6.8329350113227605,-97.74420170680642,-99.20198306326178,164.72575627344722,-81.98974682895432,-6.8329350113227605
2025-10-09 20:49:00+00:00,0.0001503307278838406,-0.00010494831305241092,-9.725261374060601e-05,0.0001802613794872343,,-0.009624089442796802,-0.010025146619378589,0.016375323013604115,-0.008018713303408198,-0.000683293501132276,1.503307278838406,-1.0494831305241092,-0.9725261374060601,1.802613794872343,,-96.24089442796802,-100.25146619378589,163.75323013604114,-80.18713303408198,-6.8329350113227605
2025-10-09 20:50:00+00:00,-0.00047612485394132875,-0.0007349467494446316,-0.0001945336062938452,-0.0006611173122967884,-0.0017102791923289118,-0.01010021429673813,-0.01076009336882322,0.01618078940731027,-0.008679830615704986,-0.002393572693461188,-4.7612485394132875,-7.349467494446316,-1.945336062938452,-6.611173122967884,-17.102791923289118,-101.0021429673813,-107.6009336882322,161.8078940731027,-86.79830615704986,-23.93572693461188
2025-10-09 20:51:00+00:00,0.00012531799457526915,0.0,-9.72809962340726e-05,-0.00012025012039540428,0.000684462723505419,-0.009974896302162861,-0.01076009336882322,0.016083508411076197,-0.00880008073610039,-0.0017091099699557688,1.2531799457526915,0.0,-0.972809962340726,-1.2025012039540428,6.84462723505419,-99.74896302162861,-107.6009336882322,160.83508411076198,-88.00080736100391,-17.091099699557688
2025-10-09 20:52:00+00:00,0.0,-0.00010503650028015343,0.0005835440741355225,-0.00012026458222536007,0.00034205575842261027,-0.009974896302162861,-0.010865129869103374,0.01666705248521172,-0.00892034531832575,-0.0013670542115331585,0.0,-1.0503650028015343,5.8354407413552245,-1.2026458222536007,3.4205575842261027,-99.74896302162861,-108.65129869103373,166.67052485211718,-89.20345318325751,-13.670542115331585
2025-10-09 20:53:00+00:00,0.0002505888851889182,0.0005250722094904958,-0.00048626307790144985,0.00048097157182880323,0.0,-0.009724307416973943,-0.010340057659612878,0.01618078940731027,-0.008439373746496948,-0.0013670542115331585,2.505888851889182,5.250722094904958,-4.8626307790144985,4.809715718288032,0.0,-97.24307416973943,-103.40057659612879,161.8078940731027,-84.39373746496948,-13.670542115331585
2025-10-09 20:54:00+00:00,-5.011275370669921e-05,-0.00010499238814842826,,0.0001803047154567139,0.0,-0.009774420170680642,-0.010445050047761306,0.01618078940731027,-0.008259069031040234,-0.0013670542115331585,-0.5011275370669921,-1.0499238814842826,,1.803047154567139,0.0,-97.74420170680642,-104.45050047761306,161.8078940731027,-82.59069031040234,-13.670542115331585
2025-10-09 20:55:00+00:00,-7.517383953903334e-05,0.0003149441000260822,0.0002917862200344512,-6.00979596923068e-05,,-0.009849594010219676,-0.010130105947735224,0.01647257562734472,-0.00831916699073254,-0.0013670542115331585,-0.7517383953903334,3.149441000260822,2.917862200344512,-0.600979596923068,,-98.49594010219676,-101.30105947735224,164.72575627344722,-83.1916699073254,-13.670542115331585
2025-10-09 20:56:00+00:00,2.5058574419034585e-05,0.00020990764140904616,-0.00019451468647191383,-0.00024042796293066715,,-0.009824535435800641,-0.009920198306326178,0.016278060940872807,-0.008559594953663208,-0.0013670542115331585,0.25058574419034585,2.0990764140904616,-1.9451468647191383,-2.4042796293066715,,-98.24535435800641,-99.20198306326178,162.78060940872808,-85.59594953663208,-13.670542115331585
2025-10-09 20:57:00+00:00,7.517195588313541e-05,0.00020986358943764216,-9.727153356253737e-05,0.0007811796208931909,-0.00034205575842261027,-0.009749363479917506,-0.009710334716888536,0.01618078940731027,-0.007778415332770017,-0.0017091099699557688,0.7517195588313541,2.0986358943764216,-0.9727153356253737,7.811796208931909,-3.4205575842261027,-97.49363479917506,-97.10334716888536,161.8078940731027,-77.78415332770017,-17.091099699557688
