root,asset,asset_class,horizon_bars,horizon,beta_bps_per_full_ofi_high,beta_bps_per_full_ofi_low,corr_high,corr_low,hit_rate_high,hit_rate_low,n_high,n_low,nw_tstat_high,nw_tstat_low,r2_high,r2_low,abs_corr_high_minus_low,abs_nw_tstat_high_minus_low,abs_beta_bps_per_full_ofi_high_minus_low,abs_hit_rate_high_minus_low
6L,Brazilian Real,FX,12,next_60m,-0.04363744962017752,-1.022263475955682,-0.001678551487447032,-0.02467249257121005,0.4716073147256978,0.4546952224052718,1039,1214,-0.06031708091298818,-0.7917011136056684,2.8175350960113477e-06,0.0006087318896764726,-0.022993941083763018,-0.7313840326926803,-0.9786260263355043,0.016912092320425953
6M,Mexican Peso,FX,0,same_bar,1.390557166803626,0.8465946246474088,0.2371868449460257,0.11798294573638322,0.4778699861687414,0.41539482415394824,1446,1507,11.672129971339924,5.11947107051987,0.056257599415449944,0.013919975484634195,0.11920389920964249,6.552658900820054,0.5439625421562173,0.06247516201479314
6M,Mexican Peso,FX,1,next_5m,-0.04973652696515226,-0.05145445403139357,-0.008617961230008866,-0.007151050796442276,0.35714285714285715,0.35046728971962615,1442,1498,-0.39190930159166304,-0.2773275643940514,7.426925576214938e-05,5.113752749319467e-05,0.0014669104335665907,0.11458173719761167,-0.001717927066241312,0.006675567423230999
6M,Mexican Peso,FX,3,next_15m,-0.5310001465332775,0.37349576638730314,-0.056653720682678044,0.03084051468188496,0.4036186499652053,0.42434431741761935,1437,1487,-2.3054655048644257,0.8314945591367615,0.003209644067190709,0.0009511373458437333,0.025813206000793083,1.4739709457276642,0.1575043801459744,-0.020725667452414054
6M,Mexican Peso,FX,6,next_30m,-0.48147147256578854,0.726356952951915,-0.036559382928229286,0.04272032150118368,0.40813464235624125,0.4496598639455782,1426,1470,-1.5078472981510653,0.8852382132572697,0.0013365884800931038,0.0018250258691643317,-0.006160938572954397,0.6226090848937956,-0.2448854803861265,-0.04152522158933697
6M,Mexican Peso,FX,12,next_60m,-0.561063101338485,1.45823541470254,-0.029713759061990724,0.05989124375710017,0.4518888096935139,0.48925848925848925,1403,1443,-1.0637601413086135,1.0296193382302246,0.0008829074775940082,0.0035869610787724326,-0.030177484695109447,0.03414080307838896,-0.897172313364055,-0.03736967956497533
6N,New Zealand Dollar,FX,0,same_bar,0.772950183470495,1.1445683063272882,0.12300184463737143,0.11151456101725139,0.5163086714399363,0.496684350132626,1257,1508,5.918012637701933,6.209644406277876,0.015129453784196167,0.012435497318870281,0.01148728362012004,-0.2916317685759431,-0.3716181228567932,0.01962432130731029
6N,New Zealand Dollar,FX,1,next_5m,-0.08085537785388704,-0.020992914505510725,-0.01327103939457735,-0.0020163091133036165,0.4274322169059011,0.41905396402398404,1254,1501,-0.611654737080392,-0.11931399760476323,0.00017612048661275193,4.06550244025361e-06,0.011254730281273734,0.49234073947562873,0.05986246334837631,0.00837825288191707
6N,New Zealand Dollar,FX,3,next_15m,0.2305233710260566,-0.026072149884718746,0.02237893986755272,-0.0014088274447807746,0.4703525641025641,0.4351042367182246,1248,1487,0.9709080413999427,-0.06342442120707738,0.0005008169495956949,1.9847947692053225e-06,0.020970112422771945,0.9074836201928653,0.20445122114133785,0.03524832738433947
6N,New Zealand Dollar,FX,6,next_30m,0.09131475868622298,0.8562458156295659,0.006309853205425811,0.03263459338649083,0.4778046811945117,0.4685172647257955,1239,1477,0.24701220211880479,1.5513236920613063,3.981424747401263e-05,0.0010650166855015186,-0.026324740181065016,-1.3043114899425015,-0.764931056943343,0.00928741646871617
6N,New Zealand Dollar,FX,12,next_60m,-0.22670456357689256,0.5430086930700057,-0.011479017348659776,0.014638174648393046,0.4820261437908497,0.487250172294969,1224,1451,-0.35758137924823913,0.563178008860849,0.00013176783929103042,0.00021427615703706326,-0.0031591572997332704,-0.20559662961260988,-0.3163041294931131,-0.0052240285041192935
6S,Swiss Franc,FX,0,same_bar,0.7750581670768703,1.302471421924878,0.15322420173254478,0.1219873735719968,0.5305832147937412,0.5448005232177894,1406,1529,6.900326875403795,6.132849368531857,0.023477655996575586,0.014880919310994,0.031236828160547986,0.7674775068719386,-0.5274132548480078,-0.014217308424048225
6S,Swiss Franc,FX,1,next_5m,-0.1826572340566646,-0.131248779314056,-0.03660153942082023,-0.012335212698134734,0.4415954415954416,0.4567496723460026,1404,1526,-1.6862667778329654,-0.7470209583800625,0.0013396726879738585,0.00015215747230823418,0.024266326722685493,0.9392458194529029,0.05140845474260858,-0.015154230750560993
6S,Swiss Franc,FX,3,next_15m,-0.012727104193757655,-0.22717501862854325,-0.0015223851891537437,-0.012607841915170514,0.485,0.4868593955321945,1400,1522,-0.06466986951349342,-0.602047634457387,2.31765666414141e-06,0.00015895767775797598,-0.01108545672601677,-0.5373777649438936,-0.21444791443478559,-0.0018593955321944966
