root,asset,asset_class,bucket,horizon_bars,horizon,n,beta_bps_per_full_ofi,nw_tstat,r2,corr,hit_rate
UB,Ultra U.S. Treasury Bond,Rates,high,12,next_60m,1558,-0.10450078338033505,-0.0992884226129826,5.893019459746185e-06,-0.002427554213576212,0.43774069319640563
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,low,0,same_bar,817,0.2053646592594276,1.2416899654234033,0.0014611639937752718,0.0382251748691278,0.4467564259485924
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,high,0,same_bar,331,1.133853166288261,3.7157504573643316,0.0530722427137994,0.23037413638210233,0.5105740181268882
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,low,1,next_5m,613,0.023556516954534812,0.1433793920982509,3.6254080200359695e-05,0.006021136122056674,0.3800978792822186
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,high,1,next_5m,259,-0.06799094931131695,-0.3558295103561319,0.00036631482077809085,-0.019139352673956014,0.3127413127413127
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,low,3,next_15m,361,-0.014225504149324088,-0.04566812580272458,4.6153259151138215e-06,-0.002148330960362137,0.42382271468144045
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,high,3,next_15m,153,-0.22960708516936945,-0.830307046488488,0.00142398589982895,-0.03773573770087102,0.3333333333333333
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,low,6,next_30m,170,-0.8451609443535376,-1.4137678505810103,0.009247606316267087,-0.09616447533401908,0.3764705882352941
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,high,6,next_30m,91,0.35453535418195053,0.5268431731220287,0.00256323341640019,0.05062838548087749,0.3956043956043956
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,low,12,next_60m,46,,,,,
IQB,Bloomberg U.S. IG Corporate Bond Index,Credit,high,12,next_60m,19,,,,,
HYB,Bloomberg U.S. High Yield Very Liquid Index,Credit,low,0,same_bar,587,0.28884709968838806,1.7014705229996163,0.004636781936756096,0.06809391996908436,0.3969335604770017
HYB,Bloomberg U.S. High Yield Very Liquid Index,Credit,high,0,same_bar,262,0.5424811554476962,2.5734143602254234,0.015212530660632217,0.12333908812956315,0.4198473282442748
HYB,Bloomberg U.S. High Yield Very Liquid Index,Credit,low,1,next_5m,389,-0.1452584102857193,-0.8820160288454161,0.0019077345336774298,-0.043677620512996146,0.31876606683804626
