root,target_months,horizon,horizon_bars,n,mean_forward_return_bp,median_forward_return_bp,mean_initial_funding_paid_bp,mean_path_funding_paid_bp,mean_excess_after_initial_funding_bp,mean_excess_after_path_funding_bp,median_excess_after_path_funding_bp,path_excess_hac_t,initial_excess_hac_t,positive_path_excess_fraction,contango_fraction,avg_abs_funding_share_of_abs_return
HG,6,1m,720,11044,140.89304309541058,106.01255758986849,25.827465995884598,27.007465951578467,115.06557709952597,113.88557714383211,85.82556061823314,0.9734699794222268,0.9865996951738055,0.5467222021006881,0.8526801883375589,0.24489052881647777
PA,1,1h,1,49538,0.18777174719251016,0.0,0.015431451036254535,0.015431451036254535,0.17234029615625557,0.17234029615625557,0.01619138290994385,0.6935436734901863,0.6935436734901863,0.5026242480520005,0.586034963058662,0.004002332675705047
PA,1,4h,4,48548,0.7619599909592897,2.317967155143208,0.0624949397568739,0.06208583968440896,0.6994650512024158,0.6998741512748808,2.363425760323031,0.8703263138667235,0.8698516596760906,0.5143569251050507,0.5850086512317706,0.010296252890284952
PA,1,1d,24,42452,3.316232910500748,10.698055513724825,0.35984671468976265,0.36784412092590385,2.956386195810986,2.948388789574845,10.997770460408969,0.592471592539113,0.594227815740749,0.52280222368793,0.5771459530764157,0.022592446539129906
PA,1,3d,72,35445,10.478099127558709,26.845653706688566,1.0678439825474075,1.1066833794823479,9.410255145011302,9.371415748076357,26.515379473454875,0.5596501361449719,0.5622410273556293,0.5340386514317957,0.5687120891522076,0.04571134760049851
PA,1,1w,168,28301,27.35025769184176,59.0569505192029,2.5734390611077327,2.659904040599978,24.77681863073402,24.69035365124179,58.77351099035694,0.5930246669867995,0.5954772146646311,0.5497685594148617,0.5611815836896222,0.08687892796543058
PA,1,1m,720,9619,266.88131957180696,237.8167203129422,6.533699070071459,11.625545704113721,260.3476205017355,255.25577386769325,235.93212989686648,1.1851774780211752,1.2089925049404142,0.5688741033371453,0.4711508472814222,0.26504748393374433
PA,3,1h,1,49577,0.20123781304130123,0.0,0.014851930172988054,0.014851930172988054,0.18638588286831317,0.18638588286831317,0.016658618873657143,0.7503587371283785,0.7503587371283785,0.5027331222139299,0.5873893135929967,0.0039261760328159435
PA,3,4h,4,48608,0.8067562210164452,2.3790512688970367,0.0599213308950026,0.05976678390021738,0.7468348901214424,0.7469894371162279,2.4255638980527428,0.9291255308318054,0.9289697725041933,0.5146066491112574,0.5864466754443713,0.00987463777902678
PA,3,1d,24,42652,3.448201502992765,10.772961694041072,0.3551469371294649,0.35955010473226456,3.0930545658633,3.0886513982605015,11.076654615354789,0.6225106008821101,0.6235161728833933,0.5228359748663604,0.5795742286410954,0.022432670494291217
