feature,root,horizon,spearman_ic,pvalue,observations,bh_qvalue
rv_z_PA,PL,20,0.03635542531140669,4.808393368021734e-71,240143,6.731750715230428e-70
rv_z_PA,PL,50,0.033576947038537426,7.384897310385806e-61,240113,8.990309769165329e-60
rv_z_PA,PA,1,-0.06430135576093259,2.1525591381123127e-218,240162,6.9544218308243945e-217
rv_z_PA,PA,2,-0.06664004441367825,1.9040848857111625e-234,240161,6.95404914781468e-233
rv_z_PA,PA,5,-0.06558234675090646,4.1179167790514866e-227,240158,1.4412708726680203e-225
rv_z_PA,PA,10,-0.06056919512632366,5.822656826916115e-194,240153,1.811493235040569e-192
rv_z_PA,PA,20,-0.05125115113896599,2.2405241969007083e-139,240143,5.535412721754691e-138
rv_z_PA,PA,50,-0.03432159563080465,1.6582292456141437e-63,240113,2.1104735853270916e-62
md_rolling,GC,1,-0.0026123490067520975,0.19907166372444787,241661,0.374195902076024
md_rolling,GC,2,-0.001536911292359404,0.4499336646356551,241660,0.6527535030983597
md_rolling,GC,5,-0.0006733988913783108,0.7406203652099352,241657,0.8604717936049041
md_rolling,GC,10,6.98662400921527e-05,0.9726022428628606,241652,0.9848929919475304
md_rolling,GC,20,-0.0021026745315884036,0.3013187493529787,241642,0.4968061104123975
md_rolling,GC,50,-0.0004230084833995911,0.8352877566876487,241612,0.9159813519812335
md_rolling,SI,1,-0.0010217953786715056,0.6154549579241659,241661,0.790054771053221
md_rolling,SI,2,-0.00015474278879702174,0.9393638053433977,241660,0.9679392321135039
md_rolling,SI,5,0.0023046309636681386,0.25724766523120324,241657,0.44796325355062044
md_rolling,SI,10,0.0012515993671876537,0.538383240335405,241652,0.7212789822675282
md_rolling,SI,20,0.002471922367036366,0.22432002169547754,241642,0.3992135979326295
md_rolling,SI,50,0.0019178911699966458,0.34582564940787375,241612,0.5447065606739245
md_rolling,HG,1,-0.0009875603007899643,0.627341109872022,241661,0.790054771053221
md_rolling,HG,2,6.756926744794365e-05,0.9735022159063575,241660,0.9848929919475304
md_rolling,HG,5,0.0014053503098810673,0.48966132028572984,241657,0.6903190824772855
md_rolling,HG,10,0.002772859653851404,0.1728569745080672,241652,0.33925200604387024
md_rolling,HG,20,-0.0029018196486705694,0.15373968156426632,241642,0.3124402107464065
md_rolling,HG,50,0.002691166797794161,0.1858976222140777,241612,0.358974718758219
md_rolling,PL,1,0.0009764656822321777,0.6312141201646967,241661,0.7901935334401567
md_rolling,PL,2,0.0006067984932092296,0.7654787020655494,241660,0.8749197792717174
