variant,gross_residual_return,primary_cost_return,macro_hedge_cost_return,total_cost_return,net_return_after_all_costs,net_raw_return_after_primary_cost,trade_overlap_net,trade_overlap_carry_adjusted_net,ann_return,ann_vol,sharpe_after_all_costs,tstat_after_all_costs,max_drawdown,mean_gross_exposure,mean_primary_turnover,mean_hedge_turnover,mean_complex_hedge_gross,gross_to_total_cost,event_count,event_win_rate,mean_event_return,event_tstat,mean_duration_days,bars
neg_z3_root1.5_exit0.5_mdq90_normq50_all_topo_hold,0.3061256419408849,0.03667216461675275,0.016321944651006212,0.05299410926775896,0.25313153267312594,0.2847715085198338,-0.0006856996952180634,-0.0006257346534230364,0.015785485333736138,0.027385662898526453,0.5764142132409552,2.3082286963210477,-0.05099207160324324,0.026478594407324918,0.0447290274684484,0.030207947972973808,0.009524330567442119,5.776597553402571,93,0.6559139784946236,0.006572737867441221,2.892129053618586,1.5591397849462365,4041
neg_z3_root1.5_exit0.5_mdq90_normq50_all_topo_exit,0.304944373715985,0.03667216461675275,0.016321745548608057,0.0529939101653608,0.25195046355062417,0.2846866740634995,-0.0018667688177198011,-0.0017939303965854745,0.015711832916297273,0.027384247336529676,0.5737544188529956,2.297577651305897,-0.05099207160324324,0.02623113090819104,0.0447290274684484,0.030207947972973808,0.00944014100614119,5.7543286155794995,93,0.6559139784946236,0.006547334249701437,2.8717788328212857,1.5376344086021505,4041
neg_z3_root1.5_exit0.25_mdq90_normq50_all_topo_exit,0.3019158266991793,0.03667216461675275,0.016322163308064817,0.052994327924817564,0.24892149877436176,0.2841555136971024,-0.0018667688177198011,-0.0017939303965854745,0.015522944244280912,0.02739512142861782,0.566631700637952,2.2690549983211077,-0.05099207160324324,0.026478594407324918,0.0447290274684484,0.03020921558135687,0.00948616261624626,5.697134741051982,93,0.6559139784946236,0.006482204206329272,2.8316840954754494,1.5591397849462365,4041
neg_z2.5_root2_exit0.5_mdq90_normq50_all_topo_hold,0.30231696645352135,0.039337325663477224,0.017775062065308798,0.05711238772878602,0.24520457872473533,0.27583856348511326,0.018552961819497234,0.01861604380980708,0.015291154129827594,0.026904879030434925,0.5683413076316073,2.2759010542155287,-0.04538716805825057,0.02969561989606533,0.05017322444939371,0.031457348792665485,0.010229496514441473,5.293369415566324,104,0.6538461538461539,0.005804300679781793,2.8738879248301794,1.5288461538461537,4041
neg_z2.5_root2_exit0.5_mdq90_normq50_all_topo_exit,0.30113569822862146,0.039337325663477224,0.017774862962910642,0.05711218862638786,0.24402350960223357,0.27575372902877904,0.017371892696995496,0.017447848066644643,0.015217501712388731,0.026903432799727893,0.5656342008720406,2.26506054861574,-0.04538716805825057,0.029448156396931453,0.05017322444939371,0.031457348792665485,0.010145306953140542,5.2727045744747745,104,0.6538461538461539,0.005781583983149103,2.8535410762069957,1.5096153846153846,4041
neg_z3_root1.5_exit0.25_mdq90_normq50_post2020_topo_hold,0.26034790707464367,0.014258600851335327,0.005759819528356636,0.02001842037969196,0.24032948669495174,0.2328343293708474,-0.0006856996952180634,-0.0006257346534230364,0.014987139482090532,0.021263262038628678,0.7048372660254857,2.8224939050841966,-0.03241555675572316,0.009651076466221232,0.017198713189804503,0.01115328393055119,0.0034714601113628157,13.005417117664198,36,0.75,0.014831786818253152,3.6273078381878863,1.4722222222222223,4041
neg_z3_root1.5_exit0.5_mdq90_normq50_post2020_topo_hold,0.26034790707464367,0.014258600851335327,0.005759819528356636,0.02001842037969196,0.24032948669495174,0.2328343293708474,-0.0006856996952180634,-0.0006257346534230364,0.014987139482090532,0.021263262038628678,0.7048372660254857,2.8224939050841966,-0.03241555675572316,0.009651076466221232,0.017198713189804503,0.01115328393055119,0.0034714601113628157,13.005417117664198,36,0.75,0.014831786818253152,3.6273078381878863,1.4722222222222223,4041
neg_z3_root1.5_exit0.25_mdq90_normq50_post2020_topo_exit,0.2591666388497438,0.014258600851335327,0.005759620425958477,0.020018221277293802,0.23914841757244998,0.23274949491451313,-0.0018667688177198011,-0.0017939303965854745,0.014913487064651669,0.02126142788095157,0.7014339369940852,2.8088654039944476,-0.032660507494921165,0.009403612967087355,0.017198713189804503,0.01115328393055119,0.003387270550061886,12.946536820617045,36,0.75,0.014766160805758714,3.5839999623058763,1.4166666666666667,4041
neg_z3_root1.5_exit0.5_mdq90_normq50_post2020_topo_exit,0.2591666388497438,0.014258600851335327,0.005759620425958477,0.020018221277293802,0.23914841757244998,0.23274949491451313,-0.0018667688177198011,-0.0017939303965854745,0.014913487064651669,0.02126142788095157,0.7014339369940852,2.8088654039944476,-0.032660507494921165,0.009403612967087355,0.017198713189804503,0.01115328393055119,0.003387270550061886,12.946536820617045,36,0.75,0.014766160805758714,3.5839999623058763,1.4166666666666667,4041
neg_z2_root2_exit0.25_mdq90_normq50_post2020_topo_hold,0.26212133659940595,0.017818729332404373,0.007147050945010223,0.024965780277414595,0.23715555632199137,0.22477457682045582,0.0360677657830821,0.0360451214849723,0.014789210639233314,0.023049316436422402,0.641633372513533,2.569396328077497,-0.04450133571269982,0.013610492452363277,0.02313783716901757,0.012904526095590438,0.004719715259722542,10.499224686221211,48,0.7708333333333334,0.011197733010554956,3.429692144686145,1.5416666666666667,4041
