variant,root,events,mean_event_return,median_event_return,event_tstat,win_rate,mean_duration_days
neg_z3_root2_exit0.5_mdq90_normq50_post2020_topo_exit,SI,8,0.007653296155158824,0.0025634056611961043,1.0642110150286441,0.625,1.5
neg_z3_root2_exit0.5_mdq90_normq50_post2020_topo_hold,SI,8,0.007653296155158824,0.0025634056611961043,1.0642110150286441,0.625,1.5
neg_z3_root2_exit0.25_mdq95_normq50_all_topo_exit,PL,19,0.007502887883509707,0.0037044922299471353,1.3360059030037392,0.631578947368421,1.7894736842105263
neg_z3_root2_exit0.25_mdq95_normq50_all_topo_hold,PL,19,0.007502887883509707,0.0037044922299471353,1.3360059030037392,0.631578947368421,1.7894736842105263
neg_z3_root2_exit0.5_mdq95_normq50_all_topo_exit,PL,19,0.007502887883509707,0.0037044922299471353,1.3360059030037392,0.631578947368421,1.7894736842105263
neg_z3_root2_exit0.5_mdq95_normq50_all_topo_hold,PL,19,0.007502887883509707,0.0037044922299471353,1.3360059030037392,0.631578947368421,1.7894736842105263
neg_z2.5_root1.5_exit0.25_mdq95_normq50_all_topo_exit,PL,21,0.007466369113342374,0.004899921142233152,1.329927246818935,0.6190476190476191,1.7619047619047619
neg_z2.5_root1.5_exit0.25_mdq95_normq50_all_topo_hold,PL,21,0.007466369113342374,0.004899921142233152,1.329927246818935,0.6190476190476191,1.7619047619047619
neg_z2.5_root1.5_exit0.5_mdq95_normq50_all_topo_exit,PL,21,0.007466369113342374,0.004899921142233152,1.329927246818935,0.6190476190476191,1.7619047619047619
neg_z2.5_root1.5_exit0.5_mdq95_normq50_all_topo_hold,PL,21,0.007466369113342374,0.004899921142233152,1.329927246818935,0.6190476190476191,1.7619047619047619
neg_z2.5_root2_exit0.25_mdq95_normq50_all_topo_exit,PL,20,0.0073727395464458795,0.004302206686090144,1.383432623979466,0.65,1.75
neg_z2.5_root2_exit0.25_mdq95_normq50_all_topo_hold,PL,20,0.0073727395464458795,0.004302206686090144,1.383432623979466,0.65,1.75
neg_z2.5_root2_exit0.5_mdq95_normq50_all_topo_exit,PL,20,0.0073727395464458795,0.004302206686090144,1.383432623979466,0.65,1.75
neg_z2.5_root2_exit0.5_mdq95_normq50_all_topo_hold,PL,20,0.0073727395464458795,0.004302206686090144,1.383432623979466,0.65,1.75
neg_z3_root1.5_exit0.25_mdq90_normq50_all_topo_exit,SI,23,0.007363659805125788,0.004052593584280157,2.4032678089627932,0.782608695652174,1.434782608695652
neg_z3_root1.5_exit0.25_mdq90_normq50_all_topo_hold,SI,23,0.007363659805125788,0.004052593584280157,2.4032678089627932,0.782608695652174,1.434782608695652
neg_z3_root1.5_exit0.5_mdq90_normq50_all_topo_exit,SI,23,0.007363659805125788,0.004052593584280157,2.4032678089627932,0.782608695652174,1.434782608695652
neg_z3_root1.5_exit0.5_mdq90_normq50_all_topo_hold,SI,23,0.007363659805125788,0.004052593584280157,2.4032678089627932,0.782608695652174,1.434782608695652
neg_z3_root2_exit0.25_mdq90_normq50_all_topo_hold,HG,36,0.00719757062175038,0.0043013136092240984,1.7968455080399983,0.6111111111111112,1.5277777777777777
neg_z2_root2_exit0.25_mdq95_normq50_all_topo_exit,PL,22,0.007030289432159606,0.003974105802414571,1.4527694689420823,0.6818181818181818,1.7727272727272727
neg_z2_root2_exit0.25_mdq95_normq50_all_topo_hold,PL,22,0.007030289432159606,0.003974105802414571,1.4527694689420823,0.6818181818181818,1.7727272727272727
neg_z2_root2_exit0.5_mdq95_normq50_all_topo_exit,PL,22,0.007030289432159606,0.003974105802414571,1.4527694689420823,0.6818181818181818,1.7727272727272727
neg_z2_root2_exit0.5_mdq95_normq50_all_topo_hold,PL,22,0.007030289432159606,0.003974105802414571,1.4527694689420823,0.6818181818181818,1.7727272727272727
neg_z3_root1.5_exit0.25_mdq95_normq50_post2020_topo_exit,HG,8,0.006970070101713891,0.004109447432333318,1.1444929789079687,0.625,1.375
neg_z3_root1.5_exit0.25_mdq95_normq50_post2020_topo_hold,HG,8,0.006970070101713891,0.004109447432333318,1.1444929789079687,0.625,1.375
neg_z3_root1.5_exit0.5_mdq95_normq50_post2020_topo_exit,HG,8,0.006970070101713891,0.004109447432333318,1.1444929789079687,0.625,1.375
neg_z3_root1.5_exit0.5_mdq95_normq50_post2020_topo_hold,HG,8,0.006970070101713891,0.004109447432333318,1.1444929789079687,0.625,1.375
neg_z2.5_root2_exit0.25_mdq90_normq50_all_topo_hold,HG,41,0.006947057168349101,0.001509917021669957,1.9492534588816737,0.6097560975609756,1.5121951219512195
neg_z2_root1.5_exit0.25_mdq95_normq50_all_topo_exit,PL,25,0.006937090054353268,0.004243719374882007,1.4688168522901723,0.64,1.76
neg_z2_root1.5_exit0.25_mdq95_normq50_all_topo_hold,PL,25,0.006937090054353268,0.004243719374882007,1.4688168522901723,0.64,1.76
neg_z2_root1.5_exit0.5_mdq95_normq50_all_topo_exit,PL,25,0.006937090054353268,0.004243719374882007,1.4688168522901723,0.64,1.76
neg_z2_root1.5_exit0.5_mdq95_normq50_all_topo_hold,PL,25,0.006937090054353268,0.004243719374882007,1.4688168522901723,0.64,1.76
neg_z3_root2_exit0.5_mdq90_normq50_all_topo_exit,HG,36,0.0068323933897311544,0.0043013136092240984,1.6496847365421285,0.6111111111111112,1.4444444444444444
neg_z3_root2_exit0.5_mdq90_normq50_all_topo_hold,HG,36,0.0068323933897311544,0.0043013136092240984,1.6496847365421285,0.6111111111111112,1.4444444444444444
neg_z2.5_root1.5_exit0.25_mdq90_normq50_all_topo_hold,PL,37,0.0067489691884972365,0.005691997344058074,1.697988220185377,0.6756756756756757,1.7837837837837838
neg_z3_root1.5_exit0.25_mdq90_normq50_all_topo_hold,HG,42,0.006710727604410175,0.0013388107908100864,1.8649001364568085,0.5714285714285714,1.5476190476190477
neg_z2.5_root1.5_exit0.25_mdq90_normq50_all_topo_exit,PL,37,0.00668511685201616,0.005691997344058074,1.6707080689079215,0.6756756756756757,1.7297297297297298
neg_z2_root2_exit0.25_mdq90_normq50_post2020_topo_exit,SI,17,0.006667851357769968,0.004052593584280157,1.7027806471501326,0.7058823529411765,1.411764705882353
neg_z2_root2_exit0.25_mdq90_normq50_post2020_topo_hold,SI,17,0.006667851357769968,0.004052593584280157,1.7027806471501326,0.7058823529411765,1.411764705882353
neg_z2_root2_exit0.5_mdq90_normq50_post2020_topo_exit,SI,17,0.006667851357769968,0.004052593584280157,1.7027806471501326,0.7058823529411765,1.411764705882353
neg_z2_root2_exit0.5_mdq90_normq50_post2020_topo_hold,SI,17,0.006667851357769968,0.004052593584280157,1.7027806471501326,0.7058823529411765,1.411764705882353
neg_z3_root2_exit0.25_mdq90_normq50_all_topo_exit,HG,36,0.006664140777686396,0.0043013136092240984,1.5956189747726046,0.6111111111111112,1.5
neg_z2.5_root2_exit0.25_mdq95_normq50_post2020_topo_exit,HG,8,0.006633868241142369,0.004109447432333318,1.0771507956389936,0.625,1.5
neg_z2.5_root2_exit0.25_mdq95_normq50_post2020_topo_hold,HG,8,0.006633868241142369,0.004109447432333318,1.0771507956389936,0.625,1.5
neg_z2.5_root2_exit0.5_mdq95_normq50_post2020_topo_exit,HG,8,0.006633868241142369,0.004109447432333318,1.0771507956389936,0.625,1.5
neg_z2.5_root2_exit0.5_mdq95_normq50_post2020_topo_hold,HG,8,0.006633868241142369,0.004109447432333318,1.0771507956389936,0.625,1.5
neg_z2.5_root2_exit0.5_mdq90_normq50_all_topo_exit,HG,41,0.006626413745112708,0.001509917021669957,1.8002030192428609,0.6097560975609756,1.4390243902439024
neg_z2.5_root2_exit0.5_mdq90_normq50_all_topo_hold,HG,41,0.006626413745112708,0.001509917021669957,1.8002030192428609,0.6097560975609756,1.4390243902439024
neg_z2.5_root2_exit0.25_mdq90_normq50_all_topo_exit,HG,41,0.006478679744292919,0.001509917021669957,1.7458543639559505,0.6097560975609756,1.4878048780487805
neg_z3_root1.5_exit0.5_mdq90_normq50_all_topo_exit,HG,42,0.006397718548393695,0.0013388107908100864,1.7251938522482848,0.5714285714285714,1.4761904761904763
neg_z3_root1.5_exit0.5_mdq90_normq50_all_topo_hold,HG,42,0.006397718548393695,0.0013388107908100864,1.7251938522482848,0.5714285714285714,1.4761904761904763
neg_z2_root1.5_exit0.25_mdq90_normq50_post2020_topo_exit,SI,18,0.0062639397564583045,0.0030315935970765336,1.6866033108774725,0.6666666666666666,1.4444444444444444
neg_z2_root1.5_exit0.25_mdq90_normq50_post2020_topo_hold,SI,18,0.0062639397564583045,0.0030315935970765336,1.6866033108774725,0.6666666666666666,1.4444444444444444
neg_z2_root1.5_exit0.5_mdq90_normq50_post2020_topo_exit,SI,18,0.0062639397564583045,0.0030315935970765336,1.6866033108774725,0.6666666666666666,1.4444444444444444
neg_z2_root1.5_exit0.5_mdq90_normq50_post2020_topo_hold,SI,18,0.0062639397564583045,0.0030315935970765336,1.6866033108774725,0.6666666666666666,1.4444444444444444
neg_z3_root1.5_exit0.25_mdq90_normq50_all_topo_exit,HG,42,0.006253502023783901,0.0013388107908100864,1.6736129243972426,0.5714285714285714,1.5238095238095237
