variant,split,start,end,bars,net_return_after_all_costs,carry_adjusted_net,total_cost_return,sharpe_after_all_costs,tstat_after_all_costs,max_drawdown,events
neg_z2_root1.5_exit0.5_mdq95_normq50_all_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.11592054034957228,0.11589977353162145,0.014817205112239027,0.6442908126698655,1.584953736266461,-0.04446356996688167,29
neg_z2_root1.5_exit0.5_mdq95_normq50_all_topo_exit,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.04324549782107563,0.043224731003124815,0.004613841397503097,1.4260248685529808,1.9034873693543448,-0.0023491041937688355,10
neg_z2_root1.5_exit0.5_mdq95_normq50_post2020_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.11592054034957228,0.11589977353162145,0.014817205112239027,0.3956747978086666,1.584464611963355,-0.04446356996688167,29
neg_z2_root1.5_exit0.5_mdq95_normq50_post2020_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,0.0,0.0,0.0,,,0.0,0
neg_z2_root1.5_exit0.5_mdq95_normq50_post2020_topo_hold,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.11592054034957228,0.11589977353162145,0.014817205112239027,0.6442908126698655,1.584953736266461,-0.04446356996688167,29
neg_z2_root1.5_exit0.5_mdq95_normq50_post2020_topo_hold,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.04324549782107563,0.043224731003124815,0.004613841397503097,1.4260248685529808,1.9034873693543448,-0.0023491041937688355,10
neg_z2_root1.5_exit0.5_mdq95_normq50_post2020_topo_exit,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.11592054034957228,0.11589977353162145,0.014817205112239027,0.3956747978086666,1.584464611963355,-0.04446356996688167,29
neg_z2_root1.5_exit0.5_mdq95_normq50_post2020_topo_exit,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,0.0,0.0,0.0,,,0.0,0
neg_z2_root1.5_exit0.5_mdq95_normq50_post2020_topo_exit,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.11592054034957228,0.11589977353162145,0.014817205112239027,0.6442908126698655,1.584953736266461,-0.04446356996688167,29
neg_z2_root1.5_exit0.5_mdq95_normq50_post2020_topo_exit,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.04324549782107563,0.043224731003124815,0.004613841397503097,1.4260248685529808,1.9034873693543448,-0.0023491041937688355,10
neg_z2_root2_exit0.25_mdq90_normq50_all_topo_hold,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.28494773243845006,0.28492508814034023,0.06792937881040031,0.6066962878487036,2.4294921072295512,-0.04450133571269982,124
neg_z2_root2_exit0.25_mdq90_normq50_all_topo_hold,pre_2020,2011-11-07 00:00:00+00:00,2019-12-31 00:00:00+00:00,2516,0.047792176116458696,0.047792176116458696,0.04296359853298573,0.2088876974773414,0.6600364363318442,-0.03599909702964039,76
neg_z2_root2_exit0.25_mdq90_normq50_all_topo_hold,post_2020,2020-01-01 00:00:00+00:00,2024-11-29 00:00:00+00:00,1525,0.23715555632199137,0.23713291202388156,0.024965780277414598,1.045668375980371,2.5723415060630237,-0.04450133571269982,48
neg_z2_root2_exit0.25_mdq90_normq50_all_topo_hold,trade_overlap,2023-06-22 00:00:00+00:00,2024-11-29 00:00:00+00:00,449,0.0360677657830821,0.0360451214849723,0.0066940737743693335,0.8181768050670702,1.0921192530984245,-0.02784476014211878,14
neg_z2_root2_exit0.25_mdq90_normq50_all_topo_exit,full,2011-11-07 00:00:00+00:00,2024-11-29 00:00:00+00:00,4041,0.2741739753547807,0.2741642044360102,0.06792013047601803,0.5857144406564933,2.3454711017123997,-0.04559178499080796,124
