index,root,relative_bar,mean,median,count
169,HG,7,0.00015450016666452245,-0.00015576962936592054,306
170,HG,8,-0.00014152482403421304,-0.0003844437524455069,306
171,HG,9,-0.00040997440503898197,-0.0003158312712725486,306
172,HG,10,-0.0004935576252801018,-0.00023083151536373858,306
173,HG,11,-0.0001100935811468702,-3.8371513007673386e-05,306
174,HG,12,-0.00014691057361236105,-0.0002367699352704422,306
175,HG,13,5.378480599720914e-05,-0.00019249739255466913,306
176,HG,14,1.4719028215434711e-05,-0.00038988118010430117,306
177,HG,15,-0.00011271194832925163,-0.0004613802683259838,306
178,HG,16,0.0003456980694044444,-0.00023217688437682238,306
179,HG,17,-6.0928378631197234e-05,-0.0003865789873934711,306
180,HG,18,-4.13840322135878e-05,-0.00031298911692601017,306
181,HG,19,0.00019192111461454638,-0.0001565155007369201,306
182,HG,20,0.00031709538411308735,-0.00046390462842071933,306
183,HG,21,0.00029722376667639636,-0.00030781122563250385,306
184,HG,22,0.0006400734241860594,-0.0002724825576766454,306
185,HG,23,0.00024088811057901627,-0.000424794824497865,306
186,HG,24,0.00024431915165194453,-0.0003120378273874236,306
187,HG,25,-0.00021288815291202877,-0.0005523118343727651,306
188,HG,26,-0.0001500193815387626,-0.0007354534501545773,306
189,HG,27,-9.827279927229197e-05,-0.0004331467495505281,306
190,HG,28,-9.225994396799395e-05,-0.00047357834713845914,306
191,HG,29,-0.0005551279049306829,-0.0009307840453367522,306
192,HG,30,-0.0003695982368278424,-0.0007016778752876318,306
193,HG,31,-0.00024933483727933856,-0.0006900607423655503,306
194,HG,32,-0.0003853252602836725,-0.0005862166850381101,306
195,HG,33,-0.00046910868762766453,-0.0010007699198109066,306
196,HG,34,-0.0002035822755718169,-0.0008468378811632427,305
197,HG,35,-0.0005710043454092938,-0.001093664666467653,305
198,HG,36,-0.0005601767341340301,-0.0009349435819336893,305
199,HG,37,-0.0003985355155949011,-0.000846512036389635,305
200,HG,38,-0.0005016597537206685,-0.0006262231124412043,305
201,HG,39,-0.0007881470801478671,-0.0006155740422144618,305
202,HG,40,-0.0008583624947302917,-0.0008676790132224887,305
203,HG,41,-0.000937465760761004,-0.0009228640199707705,305
204,HG,42,-0.000403676377541181,-0.0006147698649012767,305
205,HG,43,-0.00047086312788860175,-0.0009994234927606094,305
206,HG,44,-0.00040706896212020557,-0.00038905964775071133,305
207,HG,45,-0.0011356553363085582,-0.001401214615063484,305
208,HG,46,-0.0009641696966977378,-0.001480731284071224,305
209,HG,47,-0.0012191432595410282,-0.001484549243230493,305
210,HG,48,-0.0008004129080979711,-0.0015538811300011002,305
211,HG,49,-0.0010949002108328776,-0.0011888503055876853,304
212,HG,50,-0.0011317343322052806,-0.0013179599345081172,304
213,PA,-20,0.00038541238412518193,-0.0,306
214,PA,-19,0.00031320444634725953,-0.0,306
215,PA,-18,0.00036051197421027874,0.00018073378111083116,306
216,PA,-17,0.00015734480946336568,-0.0,306
217,PA,-16,0.0003929815747923157,-0.0,306
218,PA,-15,0.0003648154236618135,-0.0,306
219,PA,-14,0.00029445683646078585,-0.0,306
220,PA,-13,0.0005645912628924434,0.0003619254591615828,306
221,PA,-12,0.00036759066608029844,0.00035945457484354293,306
222,PA,-11,0.00027828569132590697,-0.0,306
223,PA,-10,0.00030322969892406605,-0.0,306
224,PA,-9,0.00013168151941336714,0.0003694808835676966,306
225,PA,-8,0.00026322310652648895,0.0003690038072750035,306
226,PA,-7,0.0001632037071719168,0.00038128787016367127,306
227,PA,-6,-0.00013936064641458212,0.0003667816905470467,306
228,PA,-5,-0.00013563690679053842,-0.0,306
229,PA,-4,7.445082755764883e-05,0.00017602534946803416,306
230,PA,-3,0.00019878231526838632,0.00037170077569603777,306
231,PA,-2,3.541470671246356e-05,-0.0,306
232,PA,-1,0.00016923008177044215,-0.0,306
233,PA,0,0.0,0.0,306
234,PA,1,-0.0003846420077320699,0.0,306
235,PA,2,-0.0005440865155151802,-0.00035816648010733587,306
236,PA,3,-0.0005436312762599552,-0.00037636913657879134,306
237,PA,4,-0.0004993827877116932,-0.0003899862676237653,306
238,PA,5,-0.0008295930387916202,-0.0007441342675278406,306
239,PA,6,-0.0007621256824874201,-0.0007323423307559196,306
240,PA,7,-0.00046478925248990476,-0.0007391008571313584,306
241,PA,8,-0.0004253450461870843,-0.0007101017787345398,306
242,PA,9,-0.000521217085623487,-0.0007538147043995025,306
243,PA,10,-0.0003025663343436201,-0.0007079753654668508,306
244,PA,11,-0.0004825902480835619,-0.0003944973428300358,306
245,PA,12,-0.00024187332564627167,-0.0005658149115905786,306
246,PA,13,-0.0004794661183692769,-0.0005587674884970362,306
247,PA,14,-0.000303523337149612,-0.00036543986315296095,306
248,PA,15,-0.0002381972178218799,-0.0007244060469546731,306
249,PA,16,8.948025705219197e-05,-0.0003526093234995642,306
