,tsne1,tsne2
1219,-26.940083,35.46365
1221,-33.920288,16.269606
1224,-7.2379084,15.952184
1226,-22.864521,17.315445
1229,11.628873,17.478922
1231,-6.857907,26.391933
1234,22.354898,8.462021
1236,-12.960652,31.970299
1239,11.873707,12.880329
1241,-8.017966,22.680681
1244,-30.603445,29.295652
1246,33.15812,1.9513111
1249,39.618008,6.2687764
1251,49.430897,-11.5132
1254,25.148554,13.1212435
1256,-10.359692,18.574638
1258,54.69951,-7.344841
1261,46.262062,-0.4848519
1263,34.919765,-20.803724
1266,19.598387,-14.985613
1268,3.6951945,0.18142949
1271,-25.619495,-24.146662
1273,-2.948692,31.334555
1276,3.7153273,23.844486
1278,56.150257,-6.1337934
1281,45.348686,-0.33810523
1283,30.416803,-14.132611
1286,-36.06295,17.394073
1288,-5.993203,-0.67287964
1291,-0.7316253,19.788889
1293,4.8798313,-21.101439
1296,42.27087,-2.3702986
1298,36.914955,-6.55614
1301,41.990788,-11.09888
1303,47.187298,-10.414336
1306,54.59509,-5.2490034
1308,41.146652,5.494265
1311,24.529684,8.083981
1313,52.912567,-4.3297677
1316,30.358107,-14.291141
1318,-4.4752116,27.178705
1321,23.202478,-19.667929
1323,-4.810642,29.498001
1325,-25.798643,7.1933722
1328,3.128387,-15.156554
1330,23.795105,-19.76287
1333,-3.0325017,-23.051085
1335,-9.524438,27.249605
1338,3.036188,-23.28875
1340,3.8017204,-18.257164
1343,-14.212436,26.129883
1345,-10.557565,-38.48463
1348,13.087948,18.127657
1350,-27.132929,17.559319
1353,15.35538,3.142674
1355,-22.444689,35.657864
1358,15.125563,-6.032491
1360,-18.674706,2.8299387
1363,9.170924,-2.0929775
1365,50.27215,-3.5154502
1368,42.953297,-3.4511516
1370,42.099316,0.29121357
1373,21.699257,23.639372
1375,3.6241825,18.941116
1378,-19.194574,2.4307399
1380,-10.548996,14.504109
1383,-28.091469,33.25054
1385,14.170435,20.335526
1388,-5.1370482,16.450548
1390,-12.199921,11.840305
1393,10.067524,-31.36317
1395,13.147464,12.309702
1397,2.3225877,25.609476
1400,33.169838,4.647065
1402,38.55581,6.5795217
1405,21.806498,5.9302044
1407,33.168354,5.0262823
1410,53.352776,-3.171116
1412,28.811136,-22.6584
1415,17.448538,19.068422
1417,53.99717,-5.104151
1420,38.808403,11.012612
1422,25.904259,3.896434
1425,17.421144,19.726526
1427,-31.068209,36.528343
1430,-13.099015,-42.90236
1432,26.579533,-16.482422
1435,29.081022,-14.738249
1437,-5.197359,-38.62121
1440,-5.6789045,-23.614914
1442,-5.813335,-40.277786
1445,33.12235,-13.370959
1447,27.042824,-8.073621
1450,13.123151,4.8155704
1452,5.156706,-19.382816
1455,-4.0772796,-40.189335
1457,6.411066,-20.899904
1460,-5.728064,-26.354202
1462,-35.55407,16.783064
1464,-8.341967,13.976918
1467,-26.623577,36.32283
1469,21.155048,10.6217785
1472,-26.425444,-30.497873
1474,-3.6935008,-32.361115
1477,-31.465864,39.29557
1479,55.5151,-5.8060937
1482,-25.060904,23.89964
1484,-10.491408,-40.370117
1487,-15.2615,10.336075
1489,16.51255,-30.234432
1492,-3.898357,16.648878
1494,-18.553898,8.966772
1497,-31.588865,8.930132
1499,0.29999483,-12.73977
1502,28.852303,3.5380998
1504,11.382612,15.970609
1507,-27.055473,37.76151
1509,-18.423468,38.00436
1512,29.503983,12.824484
1514,16.724628,-31.011364
1517,-4.881574,18.208332
1519,-21.333916,2.0772078
1522,3.2322626,-19.589918
1524,26.670494,5.241553
1527,8.118722,19.442572
1529,-19.55012,-5.084869
1532,-34.29193,35.096954
1534,10.187647,2.8140268
1536,-19.999546,2.8407652
1539,3.8885226,21.30825
1541,20.382296,-4.1471763
1544,-7.115121,14.888811
1546,-23.244417,33.953213
1549,21.916765,-14.862231
1551,-17.128542,-19.008556
1554,1.1524041,18.527903
1556,-8.852174,18.711222
1559,23.36308,-0.33018827
1561,28.125437,5.3011994
1564,-24.507404,-29.18795
1566,-25.641603,-29.831783
1569,13.768588,-35.38332
1571,10.969237,-39.17716
1574,24.782766,15.34702
1576,15.552718,-35.45245
1579,-29.491455,8.45037
1581,-25.168165,-1.4154898
1584,-24.190777,-7.830842
1586,-39.397503,-4.252604
1589,-11.480051,-42.98938
1591,-44.307304,-6.3021045
1594,-41.883396,-5.1190844
1596,54.121983,-6.5184455
1599,29.636944,-26.17102
1601,-21.135393,-1.9698077
1603,-25.896235,-12.396466
1606,-23.81568,-9.853758
1608,3.1944025,-1.1193388
1611,-33.27337,2.1681778
1613,-25.264143,-2.0838
1616,15.125968,-36.55872
1618,-44.567238,-6.604576
1621,-27.362148,-29.114742
1623,-33.608917,-17.58003
1626,-22.493065,11.294844
1628,-32.30552,9.689568
1631,-8.12736,-33.743572
1633,-32.804344,14.838691
1636,-18.116945,-38.26693
1638,12.939266,-15.422974
1641,20.884718,-0.82700646
1643,-8.521205,12.611221
1646,0.8948783,22.845526
1648,16.010733,10.170783
1651,-12.887962,1.2510033
1653,-5.3242693,4.020063
1656,2.1491048,-10.55694
1658,-16.05195,30.424528
1661,-30.908304,6.621428
1663,0.93760353,-29.496546
1666,22.406816,5.3949776
1668,17.611084,2.7152543
1671,-12.507411,-34.8113
1673,16.228365,-6.556448
1675,-8.202809,12.579206
1678,-18.057083,-33.78297
1680,4.8828444,10.10811
1683,23.104713,20.836397
1685,26.140234,15.55457
1688,3.086631,-12.770481
1690,36.54685,6.9061356
1693,23.12957,-1.4506013
1695,7.794967,16.604181
1698,-23.830465,9.117606
1700,-19.341253,-36.969135
1703,-2.839554,0.83966213
1705,16.475817,-38.30964
1708,-9.480734,-26.332518
1710,-20.102324,-3.4283547
1713,-32.773376,-14.222935
1715,30.740625,-22.183195
1718,6.9758816,-4.4040847
1720,-8.814231,-33.31305
1723,-18.245586,-36.94918
1725,-37.316315,-5.293712
1728,10.217531,-36.418526
1730,20.617916,7.2945886
1733,-22.134054,-26.19052
1735,-9.028807,-37.82293
1738,14.573203,11.6207075
1740,-27.131424,-12.30142
1742,19.84142,-42.421913
1745,17.357944,-28.641132
1747,-8.779086,2.7785363
1750,20.284113,-0.46785325
1752,-18.718727,1.0341433
1755,9.474595,-36.23401
1757,-23.232985,-15.44831
1760,-45.042976,-7.101545
1762,-24.560493,-28.60878
1765,-29.86025,9.025458
1767,-33.119,35.401615
1770,8.960253,14.323243
1772,28.542934,-16.562933
1775,-32.70816,4.317998
1777,1.0230572,-1.506524
1780,-0.53863233,-2.4158745
1782,-17.718592,-38.187046
1785,6.1363273,10.229614
1787,-31.983198,-5.6144223
1790,-21.822836,-0.81883734
1792,0.07329615,20.562225
1795,10.745254,-2.9542582
1797,-21.422163,-4.378053
1800,42.66008,-4.9983025
1802,-15.331899,-23.574171
1805,0.9350375,3.1178668
1807,39.7052,3.1596882
1810,18.87062,-1.9371811
1812,-35.52533,32.049232
1814,-40.832935,-5.4585633
1817,-26.37301,-14.570091
1819,-36.10018,-3.5352244
1822,-20.242199,36.69082
1824,25.875257,6.100281
1827,2.5948074,0.13043813
1829,-23.51787,-2.865678
1832,2.5376163,-13.2777195
1834,20.493752,-11.260078
1837,51.057674,-7.8280287
1839,1.3010385,2.8387833
1842,23.467762,-13.337875
1844,-3.134704,-18.971426
1847,12.735923,-4.680188
1849,23.233206,-22.2493
1852,-34.217728,25.30265
1854,-32.998955,38.262184
1857,-37.15505,13.219938
1859,25.666628,-5.3674617
1862,-6.5035744,-28.666677
1864,33.831123,-10.737172
1867,49.732185,-4.049487
1869,23.092243,-9.046441
1872,3.0154295,-17.524471
1874,-29.873928,17.978628
1877,13.891911,-25.204037
1879,-7.648843,-8.148206
1882,12.316462,-24.712492
1884,16.197102,-39.284637
1886,21.576471,-32.364697
1889,-5.028754,-30.061644
1891,11.572377,-34.78481
1894,-21.545832,-26.918596
1896,-12.579498,-42.42574
1899,30.429089,2.0542703
1901,-20.176933,30.960897
1904,51.785934,-5.003402
1906,-17.695143,21.14483
1909,-30.774418,4.413407
1911,-17.212894,-26.500954
1914,1.2671243,-18.936008
1916,-32.757946,-16.627048
1919,-38.187305,-1.0511192
1921,-39.277435,-6.109023
1924,17.004896,-40.121174
1926,-26.760023,-2.1186957
1929,-6.626191,-39.627533
1931,3.6149137,-2.56818
1934,-32.519382,-11.297693
1936,-18.085491,-20.425606
1939,-20.314089,-2.3448298
1941,-34.107193,-7.534073
1944,-33.10087,15.057286
1946,0.5972262,-29.925753
1949,-26.327385,-19.52233
1951,-27.580702,-10.907327
1953,-24.390049,3.168966
1956,-28.489115,10.019257
1958,-32.438488,-6.8396187
1961,21.76745,19.682554
1963,-3.4632514,-18.582403
1966,-10.280019,-7.692724
1968,2.3321273,-3.890494
1971,-34.154953,0.18230733
1973,-21.844534,34.59157
1976,-28.512547,20.040264
1978,-11.800741,14.304949
1981,-30.176178,12.371387
1983,-27.809237,18.375263
1986,14.44416,-6.21246
1988,-16.483704,-33.50034
1991,-26.138536,-6.8577743
1993,-11.249511,3.440788
1996,-18.613071,20.263699
1998,-14.724923,-4.964584
2001,-24.852663,-12.422353
2003,-11.558512,-21.496454
2006,-7.527554,-31.420204
2008,-13.006083,4.6721797
2011,-8.601354,-1.6098185
2013,-6.788309,-6.552473
2016,-31.165174,-17.35672
2018,-44.13131,-7.195886
2021,-19.91245,12.103671
2023,-34.303883,2.4591448
2025,-33.240376,41.90521
2028,43.05859,5.0133557
2030,3.368427,33.329796
2033,-25.77091,6.1436687
2035,23.211443,1.4855859
2038,2.9902978,34.014095
2040,13.236288,25.965063
2043,3.183148,12.918568
2045,1.574497,-18.14692
2048,-15.953742,-8.675748
2050,24.73927,16.640696
2053,21.481647,-6.877033
2055,5.677023,31.189686
2058,-17.846514,32.47916
2060,50.93183,-3.8849623
2063,39.285614,8.921665
2065,31.65602,6.1746387
2068,35.647263,-3.7832458
2070,23.50384,22.016756
2073,-5.035983,-14.602853
2075,3.2214265,13.287036
2078,-9.751617,-24.65596
2080,-7.080457,-13.7941475
2083,-7.3476706,20.54257
2085,29.938616,-24.774115
2088,29.117428,6.181296
2090,12.1084795,9.466251
2092,35.765926,5.7324834
2095,-13.341149,0.8244108
2097,-21.086372,-26.142096
2100,16.28039,6.287217
2102,25.264458,6.5546994
2105,-2.8347995,6.3031406
2107,-5.1774707,-39.45692
2110,30.349287,-24.889307
2112,-29.727692,-26.466497
2115,10.65273,-7.3435473
2117,14.681547,-35.437347
2120,-28.300499,-3.0893803
2122,27.068344,6.2853656
2125,10.808591,-3.7036996
2127,-32.323288,-11.067667
2130,3.9541194,-0.96807677
2132,-26.732428,-2.960512
2135,-6.4187927,2.849916
2137,20.758135,-33.231163
2140,2.6041715,-2.018059
2142,50.81915,-11.181584
2145,46.905045,-8.531071
2147,14.532688,-7.332874
2150,15.306839,-7.102473
2152,54.98289,-3.2362418
2155,-0.89666605,-33.627403
2157,19.94878,6.438978
2160,-18.049345,-4.5146413
2162,29.884336,5.067535
2164,18.04235,-6.7088714
2167,16.536793,-38.68445
2169,33.755463,-8.641023
2172,16.370598,-39.438324
2174,-28.398613,-27.712736
2177,11.8540125,5.6424837
2179,-34.0459,-16.083092
2182,-16.52215,-33.861057
2184,-16.716272,-34.834644
2187,-26.431963,-23.179176
2189,-32.06286,9.377582
2192,-26.358149,-18.415024
2194,-6.659301,-33.42467
2197,-37.27832,-4.0925083
2199,28.083338,1.8196766
2202,-0.321025,-29.791567
2204,-23.18485,23.691593
2207,-25.261364,21.684484
2209,-17.117344,-19.84545
2212,-22.528013,-16.40758
2214,-3.3175268,18.278803
2217,-15.520123,0.5076533
2219,-29.629044,-14.12615
2222,-24.61807,-17.269093
2224,11.533503,-9.966579
2227,12.1836605,23.668314
2229,-37.53462,-10.5690155
2231,-31.75353,-8.482733
2234,-20.972837,11.800985
2236,-22.948814,7.888194
2239,-37.286766,31.312311
2241,-31.751217,-15.234918
2244,19.645678,-41.007664
2246,-36.777325,15.381432
2249,-26.469753,-27.992836
2251,-38.93953,-3.4459093
2254,-43.876984,-4.492099
2256,-43.112083,-4.8695984
2259,-13.852325,-42.159134
2261,-33.263306,26.218765
2264,-19.819288,-23.451117
2266,-27.464573,-29.364775
2269,1.7056773,-9.487788
2271,-28.194965,-25.524527
2274,-26.567053,-30.241257
2276,-31.670584,33.114426
2279,-17.769438,-34.7218
2281,-44.867306,-5.668816
2284,-29.691778,29.646809
2286,-33.69967,41.04899
2289,47.406757,-10.139516
2291,-37.72142,-10.0804205
2294,-26.891407,-20.568724
2296,-37.700283,15.088122
2299,-22.619518,-25.673311
2301,-10.032112,-26.088814
2303,-13.903912,-39.599583
2306,15.073675,-38.32488
2308,-29.721306,32.27387
2311,-7.1948695,21.655725
2313,-6.764972,20.805738
2316,3.0754488,-11.07306
2318,-5.90214,25.365786
2321,35.64995,-4.5421944
2323,1.3701315,-15.464233
2326,-32.382572,-5.8795457
2328,3.98071,-2.5894516
2331,-28.631008,-27.98588
2333,-13.705487,15.896522
2336,10.997679,-17.936693
2338,-30.471811,34.43488
2341,-34.72761,-5.500321
2343,-18.820398,29.034477
2346,0.61465424,-18.762224
2348,5.5849447,-14.969745
2351,3.0422504,-4.2403665
2353,-23.988186,-10.031031
2356,19.386372,-32.220284
2358,8.214751,-12.413429
2361,33.55306,3.915017
2363,12.172024,-6.8529525
2366,28.771648,-14.09055
2368,7.959212,-0.63921386
2370,-10.365777,-39.04275
2373,-25.888477,9.982544
2375,2.246071,14.231886
2378,-3.1854484,-28.569672
2380,31.147205,-11.339761
2383,-18.692282,-25.195442
2385,-31.906805,-6.615205
2388,-7.4959517,-9.155781
2390,-35.655384,-5.7417927
2393,14.759856,-10.383065
2395,4.964872,-0.044046707
2398,10.860287,-10.043602
2400,-22.978945,-4.2051897
2403,8.404154,-3.9148161
2405,19.26354,-19.281096
2408,39.300365,-0.25009766
2410,34.639107,-2.9155238
2413,-11.3015375,16.60423
2415,22.984457,0.17711794
2418,43.682087,-1.9040016
2420,0.19888629,31.8561
2423,11.698869,3.373387
2425,-12.994412,-43.31152
2428,15.268597,-0.7459424
2430,33.14495,-23.39731
2433,9.330635,18.062967
2435,5.7110996,6.2536817
2438,-1.5185078,-17.806171
2440,-32.814503,16.372145
2442,-7.8762636,-29.009964
2445,-27.125015,20.608648
2447,7.374281,-13.791286
2450,-5.400789,21.826733
2452,-20.298101,7.670879
2455,-32.24732,28.033688
2457,-33.791016,28.35998
2460,-27.05506,-14.781354
2462,-18.72236,-18.693481
2465,9.192264,8.958245
2467,-12.908735,-5.86941
2470,-3.4361224,-27.313068
2472,4.7653484,17.374895
