signal,entry,target,horizon,events,direction,train_event_mean_bps,train_event_t,roundtrip_bps,event_gross_to_roundtrip_cost,screen_score
feat:SI_notional_share,2.0,GC,10,7938,1.0,0.4463972642404875,2.3121046228747777,1.1015763557651,0.4052349725048721,0.9369456532790482
feat:max_share,2.0,SI,5,6686,-1.0,1.0408306769249003,3.3526535729973745,3.739016638624893,0.2783701645435012,0.9332787267726365
size:HG_large_minus_small_share,2.0,GC,20,9560,1.0,0.5283635636525971,1.9444086906355087,1.1015763557651,0.4796431594481911,0.9326223276349357
feat:PL_notional_share,3.0,PL,5,3232,1.0,1.5906087789305932,3.0027519602864072,5.126364894653202,0.3102800545059908,0.9316940419056371
feat:PA_notional_share,3.0,GC,10,3203,-1.0,0.5373445767687061,1.9056045942553856,1.1015763557651,0.48779603334486366,0.9295463622015254
size:large_small_l1_distance,3.0,GC,20,3764,1.0,0.7004511081071884,1.4606256073443649,1.1015763557651,0.6358625114286245,0.9287570669429478
anom:md_robust_snapshot,2.5,PA,10,4551,1.0,2.9327909902567746,3.542474580226135,11.187768040275966,0.262142634679118,0.9286336197442817
feat:abs_complex_signed_notional_ratio,2.5,SI,50,4310,1.0,1.996120447244692,1.7369106785960664,3.739016638624893,0.5338624136154714,0.9272713271097822
feat:SI_abs_signed_notional_share,1.5,PA,50,12489,1.0,3.126770087316318,3.315893695213633,11.187768040275966,0.2794811329712902,0.9267297267506641
resid:GC,2.0,HG,20,20389,-1.0,0.6423983221269068,2.3084659904250175,1.6007683688161451,0.4013062318329011,0.9264017879318698
anom:md_robust_snapshot,3.0,PA,10,3210,1.0,3.179645709523985,3.2508736940338174,11.187768040275966,0.28420733233628553,0.9239221403435574
size:GC_large_minus_small_share,3.0,GC,10,2099,-1.0,0.693396104307743,1.4649772169795259,1.1015763557651,0.629458049529526,0.9221417016051255
resid:SI,1.5,HG,10,40816,1.0,0.4655099062302564,3.1553559523370436,1.6007683688161451,0.2908040384222023,0.9175902535991464
feat:abs_complex_signed_notional_ratio,2.5,SI,10,4310,1.0,1.3107693857395661,2.6048022085922238,3.739016638624893,0.35056527221596717,0.9131531953238854
feat:HG_notional_share,2.5,PL,50,4222,-1.0,2.367675626182998,1.9770206039367157,5.126364894653202,0.4618624843995174,0.9131116478432458
feat:SI_signed_notional_share,3.0,HG,2,2935,-1.0,0.556845816094379,2.6189654966187392,1.6007683688161451,0.3478615813143513,0.91103747906152
feat:max_share,3.0,SI,10,433,-1.0,2.456547718308799,1.3861786196065098,3.739016638624893,0.6570036872615388,0.9107244642845869
feat:GC_notional_share,3.0,SI,5,1390,-1.0,1.488839268253263,2.2856630339516717,3.739016638624893,0.39819006229424453,0.9101283058728681
feat:hhi,2.0,HG,10,6413,1.0,0.8205653042623794,1.7696168920021724,1.6007683688161451,0.5126071455729925,0.9071182637669841
resid:GC,2.5,PL,20,6952,-1.0,1.5308528131091261,3.018312297598032,5.126364894653202,0.2986234582531972,0.9013388563968776
feat:HG_abs_signed_notional_share,2.5,HG,50,4346,-1.0,1.3769448900506878,1.0470604888674047,1.6007683688161451,0.8601774728151413,0.9006578451985505
anom:md_rolling,2.5,PL,20,4638,1.0,1.749747340365842,2.6356441732767166,5.126364894653202,0.3413232136851648,0.8996065393533882
