signal,entry,target,horizon,events,direction,train_event_mean_bps,train_event_t,roundtrip_bps,event_gross_to_roundtrip_cost,screen_score,full_observations,full_active_bars,full_gross_return,full_cost_return,full_net_return,full_mean_net_bps,full_tstat,full_annualized_sharpe,full_hit_rate,full_max_drawdown,full_gross_to_cost,full_turnover,train_observations,train_active_bars,train_gross_return,train_cost_return,train_net_return,train_mean_net_bps,train_tstat,train_annualized_sharpe,train_hit_rate,train_max_drawdown,train_gross_to_cost,train_turnover,test_observations,test_active_bars,test_gross_return,test_cost_return,test_net_return,test_mean_net_bps,test_tstat,test_annualized_sharpe,test_hit_rate,test_max_drawdown,test_gross_to_cost,test_turnover
resid:GC,3.0,GC,20,1822,-1.0,3.535375348312384,5.6843780097446,1.1015763557651,3.2093783874444988,18.243319930539094,242166,5975,0.1333772744133901,0.012227497548992609,0.12114977686439748,0.005002757483065231,1.6349231429760076,0.9438302729272208,0.010311108908765063,-0.05110025103571869,10.907978012588414,222.0,169516,3719,0.024176550769541727,0.0076008768547791905,0.016575673914762543,0.0009778235632484568,0.3992388939319763,0.2754740166581219,0.009863375728544798,-0.02428115938142436,3.180758119287287,138.0,72600,2256,0.10920072364384836,0.004626620694213421,0.10457410294963496,0.014404146411795448,1.7037903015012148,1.7963914408479835,0.011363636363636364,-0.051100251035718684,23.60269640872597,84.0
resid:PL,2.5,SI,50,8043,1.0,7.596966575209181,8.838213615223555,3.739016638624893,2.031808710539233,17.957559409017666,242166,25585,0.08639320109024151,0.0833800710413351,0.0030131300489064927,0.00012442415735101098,0.010845053804866908,0.006260777539625384,0.045695927586861904,-0.33692875171245995,1.0361372928959567,446.0,169516,17256,0.211430716012051,0.05421574126006094,0.15721497475199014,0.009274344295051213,1.1088499888435648,0.7651042143957437,0.044886618372307036,-0.14781881627662885,3.899803103269667,290.0,72600,8329,-0.12503751492180948,0.029164329781274166,-0.15420184470308362,-0.021239923512821435,-0.6453712487505952,-0.6804472278093419,0.047617079889807165,-0.3369287517124596,-4.287344021260299,156.0
feat:SI_notional_share,3.0,SI,20,2776,1.0,8.398521582124289,7.91059632605369,3.739016638624893,2.24618459713863,17.768659621763234,242166,43765,0.7351222365705201,0.6438586651712066,0.09126357139931418,0.003768636860637504,0.3242236190783286,0.1871721421271977,0.08095273490085314,-0.2846847975423027,1.1417447280530828,3444.0,169516,32168,0.7510406943044465,0.4911198354833797,0.2599208588210672,0.015333116568410486,1.2670430998717208,0.874257136029665,0.08591519384600864,-0.15716208155038375,1.5292412157722004,2627.0,72600,11579,-0.01011306431766057,0.15255187885589563,-0.16266494317355598,-0.022405639555586224,-0.8443987931313931,-0.8902919351677742,0.06933884297520661,-0.28468479754230447,-0.06629262381759078,816.0
resid:SI,1.5,PL,50,40816,1.0,5.600948590638737,15.894067964294381,5.126364894653202,1.0925770415758982,17.365493755035015,242166,95717,0.8690180903346718,0.2768237043112729,0.5921943860233995,0.02445406811952956,1.3187368746782275,0.7612980400296449,0.17506586391153175,-0.4050938754032164,3.139247386696008,1080.0,169516,65732,0.6274769212731366,0.18403649971804995,0.44344042155508684,0.026159207482189695,1.6356530281868256,1.128597229333113,0.17525189362656032,-0.2016809474396688,3.4095243184610236,718.0,72600,29985,0.24154116906153522,0.09278720459322295,0.1487539644683125,0.020489526786268936,0.41552403698590734,0.4381078016762926,0.1747520661157025,-0.40509387540321584,2.6031732513167776,362.0
feat:contribution_velocity_l2,2.0,GC,50,7611,1.0,2.8814983430146173,6.470641723812796,1.1015763557651,2.615795380805239,16.92587473199516,242166,184656,0.28161407092949364,0.17068925632580223,0.11092481460369155,0.004580528009864785,0.38237646476098325,0.22074339374716456,0.34872360281790177,-0.4544776205793325,1.649864068725944,3099.0,169516,125923,0.4650210971198492,0.124202734112515,0.3408183630073343,0.020105380200531767,1.674743619258267,1.155569656868755,0.3460971235753557,-0.11446230887139175,3.744048796048141,2255.0,72600,58683,-0.18350261020878023,0.046486522213287224,-0.22998913242206737,-0.031678943859788894,-1.1128596052375828,-1.1733436139135307,0.3547107438016529,-0.4544776205793271,-3.947436837000677,844.0
feat:SI_abs_signed_notional_share,2.0,GC,50,7867,1.0,2.8396694829945655,6.437428622123995,1.1015763557651,2.5778235599676362,16.594555167721232,242166,184884,0.47942257390066967,0.15328434990471368,0.3261382239959562,0.013467548045388543,1.1301122069448726,0.6524062720022403,0.347067713882213,-0.47556788960073304,3.1276681161429307,2783.0,169516,130064,0.6073766950169412,0.1107635025721808,0.4966131924447605,0.029295948019346877,2.391685671481642,1.6502582000915522,0.3551877108945468,-0.1071970126494255,5.483545399994322,2011.0,72600,54770,-0.12804970513469627,0.042520847332532856,-0.17057055246722896,-0.02349456645554118,-0.8513722202898117,-0.8976443686507694,0.32796143250688703,-0.47556788960074103,-3.011457042078392,772.0
feat:hhi,2.5,GC,50,1373,1.0,4.591980318329257,3.96133213604641,1.1015763557651,4.168553813176116,16.513026180973352,242166,63924,0.20079817046958492,0.11533504444860597,0.085463126020979,0.0035291133363469273,0.4365867147197939,0.25203861103850594,0.11931072074527391,-0.2798222489266473,1.7409987695375786,2094.0,169516,37831,0.2867728127297857,0.07545798036990936,0.2113148323598764,0.012465775051315298,1.8804793624124219,1.297526897002967,0.10419665400316194,-0.05477111388216176,3.800430535298863,1370.0,72600,26093,-0.0859746422602008,0.03987706407869662,-0.12585170633889733,-0.017334945776707623,-0.7851732504195168,-0.827847479466008,0.1546831955922865,-0.2798222489266437,-2.1559922789333608,724.0
resid:PL,1.5,SI,50,41593,1.0,4.675591067682893,13.028585132591587,3.739016638624893,1.2504868310515052,16.29207413553921,242166,96015,0.858662630572633,0.22321929332590612,0.6354433372467274,0.026239989810573218,1.2971825571638291,0.7488548756706502,0.1732282814267899,-0.4095348648638507,3.846722287212704,1194.0,169516,65244,0.5388837435290981,0.14264348476353966,0.3962402587655587,0.023374799946055753,1.4154997781529595,0.97669193906973,0.1700547440949527,-0.2529896219774206,3.7778363619088986,763.0,72600,30721,0.3230001119984838,0.08057580856236644,0.2424243034361175,0.03339177733279856,0.603219875211503,0.636004923742407,0.18046831955922865,-0.4095348648638543,4.008648721762173,431.0
resid:GC,2.0,PA,50,20389,-1.0,11.177311240565748,15.932373824947206,11.187768040275966,0.9990653363859017,15.917482414846814,242166,51822,0.6712444202545802,0.3803841133693829,0.2908603068851974,0.012010782144694027,0.7297371650838174,0.4212724192236253,0.07746752227810676,-0.34830429379148475,1.7646489342280947,680.0,169516,35812,0.6453727251127379,0.24836845049412648,0.39700427461861154,0.02341987037321619,1.2840731638435048,0.8860078451854002,0.077349630713325,-0.25032556897707203,2.5984488924771867,444.0,72600,16010,0.025871695141842288,0.13201566287525643,-0.1061439677334141,-0.01462038123049781,-0.42195692215646735,-0.44489031467109597,0.0777961432506887,-0.3483042937914842,0.1959744365052262,236.0
feat:SI_notional_share,3.0,GC,20,2776,1.0,2.862004931375684,6.113286800666772,1.1015763557651,2.598099456653532,15.88292711517955,242166,43765,0.2002359579625832,0.1896914484627502,0.010544509499833044,0.00043542485319297684,0.08845554163154078,0.051064796751273,0.08280683498096347,-0.1339488256042362,1.0555876903533878,3444.0,169516,32168,0.2627997243151725,0.1446920543297459,0.11810766998542668,0.0069673464443136155,1.2033173153605978,0.8302864756286269,0.08837513862998184,-0.059116176499866765,1.816269217632816,2627.0,72600,11579,-0.060386758040724686,0.044944315315216074,-0.10533107335594076,-0.014508412307980821,-1.5589360547026132,-1.6436643541341944,0.06973829201101929,-0.13025972502213365,-1.343590565730134,816.0
resid:PL,2.5,GC,20,8043,1.0,2.2328706269582104,7.787194515599618,1.1015763557651,2.0269776264463935,15.784469055906486,242166,18850,0.0711973327715949,0.03062382269026978,0.04057351008132512,0.0016754420555042872,0.4037212457289726,0.23306559404944796,0.03431943377683077,-0.13086645774107578,2.3249002416088533,556.0,169516,12951,0.11165968836582785,0.01949790149704227,0.09216178686878557,0.005436760357062788,1.3730882697919438,0.9474280854264293,0.034940654569480166,-0.05197602917989734,5.726754152633608,354.0,72600,5899,-0.040462355594232946,0.01112592119322751,-0.051588276787460446,-0.007105823248961494,-0.6896920262650977,-0.7271768431315025,0.032892561983471076,-0.13086645774107575,-3.636764533157299,202.0
feat:SI_abs_signed_notional_share,2.5,GC,50,5082,1.0,3.094397579968195,5.576287140931555,1.1015763557651,2.8090631791193275,15.66414288378742,242166,153441,0.26773366330024384,0.1677150001652365,0.10001866313500757,0.00413016951739747,0.38450735538847153,0.22197354275518416,0.28710471329583837,-0.5352705105631592,1.596360868356836,3045.0,169516,107293,0.5523044312046919,0.12166910849425529,0.43063532271043664,0.025403815728924504,2.287608388033603,1.5784450883179726,0.2926744378111801,-0.1326041035372569,4.539397370785941,2209.0,72600,46098,-0.2846663519228727,0.04604589167098118,-0.33071224359385376,-0.045552650632762225,-1.8431140237143726,-1.9432874185221591,0.2739118457300275,-0.5352705105631583,-6.182231282585278,836.0
