root,sample,lag,nobs,autocorr,tstat,pvalue
PL,contiguous,3,28076,0.0014023431548434695,0.2349670009837882,0.8142360593345336
PL,contiguous,4,26665,-8.876018879737953e-05,-0.01449348166257581,0.988436388037829
PL,contiguous,5,25255,0.0011081399502294324,0.17609676110507302,0.8602193374634737
PL,contiguous,6,23845,0.016665398519537383,2.5736913959455583,0.010067981062359854
PL,contiguous,7,22435,0.005391688353685931,0.8075599496569426,0.41935251278079544
PL,contiguous,8,21026,0.012759828977199508,1.8502818330778532,0.0642869601488933
PL,contiguous,9,19617,0.0012809549393216224,0.17940244815267783,0.8576235622709591
PL,contiguous,10,18208,0.005703963482388961,0.7696460958268642,0.4415198388826244
PL,contiguous,11,16799,-0.006798466995373842,-0.8811237170254074,0.37826346908205133
PL,contiguous,12,15390,-0.020139586103450423,-2.498789792495323,0.012472162900531844
PL,contiguous,13,13981,-0.018226065792633472,-2.155277187285159,0.03115716830095314
PL,contiguous,14,12572,-0.000770498339286513,-0.08638522619111484,0.9311615667222806
PL,contiguous,15,11163,0.010808058222560953,1.1418908605248403,0.2535238852516791
PL,contiguous,16,9754,0.022969205149215462,2.268858475178435,0.02329868835591426
PL,contiguous,17,8345,-0.0006637548689504505,-0.06062739907234509,0.9516574045149041
PL,contiguous,18,6936,-0.0014325399912050543,-0.11928864871484132,0.9050501319809267
PL,contiguous,19,5527,0.004457360701288474,0.33132044444906694,0.7404150157250853
PL,contiguous,20,4126,-0.06943388197840057,-4.4697186566521925,8.042515749821797e-06
PL,contiguous,21,2730,0.047208684619433026,2.4684740738620015,0.013629934350396212
PL,contiguous,22,1365,0.08215935812885126,3.043516872610732,0.002383057901754054
PL,contiguous,23,0,,,
PL,contiguous,24,0,,,
PA,all_observed,1,32310,-0.053371023978632415,-9.606827477527602,8.001963034201031e-22
PA,all_observed,2,32309,-0.003558765374316239,-0.6396618096003743,0.522397024752885
PA,all_observed,3,32308,-0.009925736507040142,-1.7841268571229523,0.07441243659503322
PA,all_observed,4,32307,0.015081796489003419,2.711048873756248,0.0067106179008308035
PA,all_observed,5,32306,-0.0004124953013158234,-0.07413908019581188,0.9409001783573194
PA,all_observed,6,32305,-0.01080978185261301,-1.9429594366189156,0.052029735902521045
PA,all_observed,7,32304,-0.019153896663502912,-3.443114983130526,0.000575783478380085
PA,all_observed,8,32303,-0.0020032998468649545,-0.3600433659671427,0.7188170578174604
PA,all_observed,9,32302,-0.009400987049021606,-1.6896389310346458,0.09110670367936348
PA,all_observed,10,32301,-0.013251873129015155,-2.381825522565811,0.01723281264087727
PA,all_observed,11,32300,-0.0039021335628259815,-0.7012829043888377,0.48313153299239414
PA,all_observed,12,32299,-0.005286481355228596,-0.9500661946795926,0.3420857281335795
PA,all_observed,13,32298,-0.0009777410391166375,-0.1757107854776256,0.8605222631696011
PA,all_observed,14,32297,-0.004925654699367777,-0.8851907691042555,0.3760603405993315
PA,all_observed,15,32296,2.0237032080161837e-05,0.0036367022119040662,0.9970983603118933
PA,all_observed,16,32295,0.009352634396568625,1.6807655931244265,0.0928181252207309
PA,all_observed,17,32294,0.024804803521301506,4.458788890253589,8.270153948967495e-06
PA,all_observed,18,32293,0.0032766804224299458,0.5888126951457872,0.5559910473989635
PA,all_observed,19,32292,0.00453289074756882,0.814542475314624,0.4153402566784146
PA,all_observed,20,32291,0.006399238984440487,1.149911770522737,0.2501887291098738
PA,all_observed,21,32290,0.024758041755304577,4.45010242392202,8.611618499232383e-06
PA,all_observed,22,32289,0.003010098262759889,0.5408744759961651,0.5885978361043996
PA,all_observed,23,32288,-0.0037388764964818963,-0.6718174442623063,0.5017047289909945
PA,all_observed,24,32287,-0.012302634292178956,-2.2107079779116505,0.027063049458276055
PA,contiguous,1,30899,-0.05331322181622618,-9.38450048908366,6.7397102500276015e-21
PA,contiguous,2,29487,-0.0031120366635747163,-0.5343765280672227,0.593085084049258
PA,contiguous,3,28076,-0.011359416160499786,-1.9034268008023774,0.05699509339579594
PA,contiguous,4,26665,0.014836255696629856,2.4228505071154487,0.015405878306438808
PA,contiguous,5,25255,0.0003871362240432549,0.06152056732315724,0.9509451219332794
PA,contiguous,6,23845,-0.008185202230854744,-1.2639340453049608,0.20626605741754503
PA,contiguous,7,22435,-0.012060899655357392,-1.8065707406097817,0.07084262974774322
PA,contiguous,8,21026,0.001910937445663594,0.2770798460075931,0.7817215208397477
PA,contiguous,9,19617,-0.005253696187026363,-0.7358090150872816,0.4618557325412053
PA,contiguous,10,18208,-0.009777009808061602,-1.319271188897409,0.18709505746528238
PA,contiguous,11,16799,-0.003159162957555958,-0.4094398003726401,0.6822221574712719
PA,contiguous,12,15390,0.0033703968245089107,0.4180946328450487,0.6758837630672959
PA,contiguous,13,13981,0.0013655243217983405,0.16144994345640232,0.8717413665928035
PA,contiguous,14,12572,-0.0011169181234704931,-0.1252244831120687,0.9003478376264508
PA,contiguous,15,11163,0.003275539006451907,0.3460482516956029,0.7293129753088256
PA,contiguous,16,9754,0.03483134509045964,3.4417609295629013,0.0005803653225038902
PA,contiguous,17,8345,0.021520694365127057,1.966156097432599,0.04931368805009918
PA,contiguous,18,6936,-0.018587387965696898,-1.5480511911695403,0.12165560858949584
PA,contiguous,19,5527,-0.01146717076541842,-0.852414791092257,0.3940208618785414
PA,contiguous,20,4126,-0.04177360962043111,-2.6849771410318146,0.007282499951867132
PA,contiguous,21,2730,0.03885520397948004,2.0309510537766933,0.04235674675998262
PA,contiguous,22,1365,-0.02089254860465755,-0.7714968447971596,0.44054622000042915
PA,contiguous,23,0,,,
PA,contiguous,24,0,,,
