,tsne1,tsne2
64635,18.570902,12.167415
64732,-5.292549,29.529058
64829,-21.070484,-32.97701
64926,28.445145,19.313763
65023,-10.062666,4.392328
65120,46.362736,-11.226342
65217,-23.690035,-13.698791
65314,-6.947192,-20.984667
65411,29.304443,8.721632
65508,-13.318694,-10.03486
65605,-17.05405,-15.30449
65701,-23.779991,-22.614435
65798,9.764273,-31.104591
65895,37.576813,-6.6849527
65992,-27.522131,6.7205696
66089,10.4346,0.99721205
66186,6.665288,11.801365
66283,53.117443,-15.249382
66380,25.294775,12.334178
66477,18.304468,12.907489
66574,-6.846308,12.051573
66670,-22.369423,22.522398
66767,25.887749,4.250291
66864,-6.706884,15.845708
66961,-5.5242877,-27.46401
67058,-11.203188,23.948782
67155,-14.480691,2.6764958
67252,-29.610853,-26.4971
67349,-0.80390555,-11.752301
67446,14.719851,2.0463314
67543,53.376415,-11.749641
67640,-0.8422351,4.511135
67736,-28.016068,-32.35568
67833,-1.25371,-4.1116505
67930,-6.774735,25.31517
68027,-36.377735,-2.271411
68124,-26.715466,-7.189221
68221,13.728579,11.453412
68318,-7.8444967,-5.139831
68415,23.665247,13.555171
68512,-10.267803,9.157005
68609,-15.777032,10.575222
68705,36.735317,13.1933775
68802,-24.956316,-5.680278
68899,-14.69775,-20.552332
68996,44.59421,1.1113782
69093,-27.92893,26.531298
69190,2.9735622,-20.977568
69287,1.4649845,-24.326347
69384,-6.3604717,29.154268
69481,-27.978973,34.506012
69578,21.169386,-4.223078
69675,35.72718,-8.401117
69771,-16.839521,-26.810162
69868,5.8207607,-28.38812
69965,-31.926994,-33.187183
70062,-25.494934,-9.355369
70159,46.2851,-9.911767
70256,14.084987,3.3090303
70353,1.5343554,-12.963393
70450,24.796127,-13.502042
70547,31.316662,5.3710275
70644,14.159973,-1.3252349
70740,-2.2148767,-19.873302
70837,1.7061548,-12.926685
70934,-19.997751,7.0872355
71031,-18.453152,11.068407
71128,-7.084338,-18.187248
71225,8.606619,-1.8954041
71322,17.74759,13.821156
71419,-46.096546,-10.594152
71516,-1.0581771,8.830236
71613,6.9338183,-9.821447
71710,-2.8981473,31.008078
71806,26.911404,13.314022
71903,-36.60243,17.526915
72000,-16.238665,-12.117213
72097,-25.10503,-30.69266
72194,-20.433926,-13.112729
72291,34.37182,16.53781
72388,42.11147,-0.15147616
72485,-28.063873,-20.40239
72582,-42.37846,-13.831428
72679,38.877586,14.260258
72775,-12.619691,30.572258
72872,30.604027,9.242345
72969,20.596222,4.940202
73066,13.840275,12.825966
73163,-7.8976407,8.905827
73260,3.393272,11.406805
73357,36.251057,13.371357
73454,-33.463318,15.45068
73551,32.25898,16.533525
73648,6.3695364,-27.617683
73745,-12.340534,-11.255122
73841,-26.470238,34.456985
73938,-34.786877,17.914618
74035,-30.892902,1.7970489
74132,7.5086327,-27.68312
74229,-21.72153,-30.729065
74326,-32.071545,-25.441957
74423,-20.472471,-31.624212
74520,-14.494046,-3.183492
74617,-22.737185,-13.970823
74714,34.147343,14.004841
74810,-30.892977,-33.797825
74907,-10.860905,-26.893923
75004,-7.220628,-15.862786
75101,3.6978967,-33.0934
75198,4.517392,-20.314804
75295,12.254327,-1.9994963
75392,-0.7245936,-19.888063
75489,9.545896,23.475414
75586,21.584633,6.073164
75683,-38.767467,-12.140193
75780,-25.634048,14.527516
75876,13.845813,20.130594
75973,-20.42415,22.267965
76070,-3.1151843,12.290008
76167,14.370718,4.210627
76264,-27.396841,-27.734425
76361,1.6282343,-28.989143
76458,23.641674,21.13648
76555,16.315384,1.667849
76652,-26.421701,-27.862526
76749,-14.207217,-16.889326
76845,-15.353244,0.66919184
76942,-27.029139,-9.383581
77039,15.969694,8.678225
77136,-37.224255,-3.445016
77233,-17.013311,-28.048407
77330,44.831825,-6.576298
77427,-11.2363,18.428541
77524,-19.461092,-18.099035
77621,18.115793,14.577911
77718,9.366045,-25.301231
77815,15.992768,12.40199
77911,31.60515,-10.366662
78008,24.627504,1.6531987
78105,-18.47541,-18.302431
78202,9.115637,-3.176533
78299,33.931984,12.737404
78396,-32.591595,25.477179
78493,-33.132034,36.677174
78590,-27.167683,-28.577269
78687,8.239592,-12.3296
78784,-11.111605,31.484735
78880,-24.189646,6.077703
78977,2.1337361,-21.110731
79074,33.649136,11.799513
79171,47.862953,-13.479152
79268,-19.795946,33.102283
79365,-6.691454,-19.323006
79462,-40.05389,-3.4288766
79559,-30.937546,-37.17755
79656,27.267431,11.622031
79753,27.307365,8.461971
79850,8.395413,-20.754986
79946,-47.54264,-12.852169
80043,-24.211584,-30.827286
80140,14.627702,28.273052
80237,1.302255,13.832753
80334,-39.07279,-11.409049
80431,-18.057163,-20.304794
80528,13.80054,17.726698
80625,7.508122,-13.631564
80722,38.03573,-8.974629
80819,6.4000807,25.86411
80915,16.719147,-4.1358876
81012,-17.054672,29.854671
81109,-27.694818,-24.385477
81206,-21.584528,-30.948868
81303,2.620341,-22.72625
81400,8.437892,1.7565384
81497,-5.3138766,4.3187866
81594,5.3753886,-33.466885
81691,-21.379253,-29.222183
81788,30.177914,9.301461
81885,-9.923157,17.490923
81981,27.98439,-11.228181
82078,40.9135,-15.370947
82175,-5.3834844,15.389778
82272,6.23672,-3.4153976
82369,-32.03104,-37.753933
82466,-8.64343,-11.393936
82563,25.891512,-9.694428
82660,5.4319677,-23.193476
82757,-7.4789295,-10.716739
82854,13.6864195,12.178381
82950,17.336212,-3.258787
83047,-7.981695,-22.558342
83144,-15.256369,-2.4277902
83241,-14.873682,4.285993
83338,-17.698145,-15.350291
83435,13.19663,30.97542
83532,6.851762,-30.73685
83629,-2.1841397,-23.963232
83726,-24.595125,18.940535
83823,-16.273546,-21.720352
83920,-14.566985,-18.198149
84016,6.3950615,-30.80811
84113,-18.590755,9.815371
84210,8.548187,-19.937918
84307,12.724321,-0.84406227
84404,-8.026015,2.9270298
84501,9.529208,23.717953
84598,25.953396,-6.4380836
84695,25.754452,13.6926775
84792,-19.131376,-22.459673
84889,-43.749584,-9.14896
84985,-1.8348866,4.1582513
85082,20.254225,12.678465
85179,47.8543,-8.165922
85276,-30.869677,18.678576
85373,5.9864573,-31.235678
85470,48.27681,-2.9046147
85567,35.24106,-1.3136144
85664,17.304415,-2.6433995
85761,12.675729,15.848348
85858,20.58352,5.805719
85955,9.176547,-31.200672
86051,-24.448551,21.851501
86148,12.796181,15.03255
86245,1.6053345,21.512737
86342,3.7632432,-5.1080914
86439,-11.130613,-30.975302
86536,-12.670597,-13.203201
86633,56.051655,-19.104292
86730,18.02976,7.4311886
86827,-44.24664,-13.140002
86924,0.54402304,29.43955
87020,47.659992,-11.403223
87117,5.0462823,-12.440511
87214,17.574219,-17.156687
87311,16.517487,4.004862
87408,15.890545,-15.924811
87505,0.22747101,-26.074541
87602,7.295188,22.492743
87699,40.037262,-11.641412
87796,12.792657,-30.89742
87893,25.677042,21.228422
87990,13.536266,20.918047
88086,-0.10655822,-16.872618
88183,33.67803,5.3491716
88280,36.62825,15.125848
88377,-30.590897,-34.533012
88474,22.508003,5.1572466
88571,-0.13712518,6.3353715
88668,47.21709,-5.5724106
88765,-15.155304,-11.742505
88862,27.860764,4.4492016
88959,-41.935574,-9.118412
89055,-25.890007,-16.716234
89152,15.383581,5.0810037
89249,-21.838377,10.1579275
89346,-9.762106,30.06463
89443,-6.71898,-20.300001
89540,21.116056,4.5363474
89637,-4.462165,-11.082306
89734,4.7860446,-19.000666
89831,-16.88452,-0.98333347
89928,-15.600649,-19.013243
90025,-11.664998,-5.428944
90121,5.0513206,-5.782149
90218,17.41324,11.020082
90315,39.787533,-17.515882
90412,-28.597492,-9.0078535
90509,3.5451965,-3.0097892
90606,-13.117776,-29.322104
90703,0.1626719,8.58082
90800,34.146805,9.761438
90897,29.127104,-13.307341
90994,2.0492785,29.256647
91090,-18.5306,-16.505806
91187,53.216026,-16.595816
91284,-8.1300335,-14.104158
91381,-9.213427,-30.65474
91478,-30.707169,25.655256
91575,50.852047,-14.126234
91672,29.872095,14.172152
91769,28.966955,-13.58299
91866,17.907917,11.893513
91963,20.955341,-16.070824
92060,-6.9890137,-15.402624
